,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Abernant, 466 feet," $172,887 ",35.8 years, 51.7 ,34.3 years, 86.7 ," $61,069 "," 7,599.", 147 
1,Alabaster, 499 feet," $169,534 ",39.0 years, 20.5 ,38.0 years, 88.1 ," $74,681 "," 31,545 (96% urban, 4% rural). "," 1,541 "
2,"Albertville, AL", 1088 feet," $111,707 ",39.0 years, 26.0 ,32.7 years, 81.2 ," $34,078 "," 21,458 (87% urban, 13% rural). ", 827 
3,Alexander City, 704 feet," $114,260 ",39.0 years, 38.8 ,39.9 years, 81.2 ," $31,462 "," 14,849 (62% urban, 38% rural). ", 383 
4,"Andalusia, AL", 348 feet," $103,766 ",39.0 years, 18.9 ,41.8 years, 80.6 ," $35,151 "," 9,081 (72% urban, 28% rural). ", 481 
5,"Anniston, AL", 740 feet," $105,529 ",39.0 years, 45.4 ,42.2 years, 81.9 ," $30,345 "," 22,457 (95% urban, 5% rural). ", 494 
6,Arab, 1087 feet," $157,042 ",39.0 years, 12.8 ,39.9 years, 80.9 ," $44,880 "," 8,284 (83% urban, 17% rural). ", 649 
7,"Athens, AL", 720 feet," $148,204 ",39.0 years, 39.3 ,39.2 years, 83.0 ," $45,702 "," 24,522 (87% urban, 13% rural). ", 624 
8,Atmore, 283 feet," $101,859 ",39.0 years, 8.32 ,40.5 years, 81.2 ," $26,341 "," 10,006 (88% urban, 12% rural). "," 1,203 "
9,"Auburn, AL", 702 feet," $236,742 ",39.0 years, 39.1 ,24.3 years, 86.8 ," $41,503 "," 60,258 (93% urban, 7% rural). "," 1,540 "
10,Bay Minette, 268 feet," $130,211 ",39.0 years, 8.00 ,32.5 years, 82.5 ," $35,720 "," 9,049 (92% urban, 8% rural). "," 1,131 "
11,Beauregard-Marvyn,," $155,182 ",35.8 years, 130.9 ,34.6 years, 87.2 ," $61,764 "," 10,469.", 80 
12,"Bessemer, AL", 510 feet," $88,988 ",39.0 years, 40.7 ,40.6 years, 87.3 ," $32,605 "," 26,949 (94% urban, 6% rural). ", 662 
13,"Beulah, AL",," $131,102 ",35.8 years, 70.3 ,33.7 years, 86.0 ," $61,019 "," 6,187.", 88 
14,Big Sandy-Duncanville,," $144,308 ",35.8 years, 139.3 ,33.2 years, 85.6 ," $54,699 "," 8,894.", 64 
15,"Birmingham, AL", 600 feet," $88,500 ",39.0 years, 149.9 ,36.0 years, 87.2 ," $36,241 "," 213,434"," 1,424 "
16,"Boaz, AL", 1086 feet," $113,180 ",39.0 years, 12.2 ,34.7 years, 81.2 ," $41,827 "," 9,689 (88% urban, 12% rural). ", 794 
17,"Bremen, AL", 567 feet," $121,783 ",35.8 years, 148.2 ,37.3 years, 85.8 ," $41,828 "," 8,517.", 57 
18,Brook Highland, 620 feet," $199,200
",39.0 years,,33.6 years, 89.8 ," $73,647"," 6,746.",
19,"Calera, AL", 497 feet," $140,888 ",39.0 years, 12.9 ,33.8 years, 88.6 ," $64,568 "," 12,972 (91% urban, 9% rural). "," 1,006 "
20,"Center Point, AL", 832 feet," $104,637 ",39.0 years, 8.05 ,33.6 years, 87.7 ," $41,587 "," 16,777 (100% urban, 0% rural). "," 2,084 "
21,"Chelsea, AL",," $220,506 ",39.0 years, 10.0 ,34.8 years, 86.8 ," $92,885 "," 11,758 (44% urban, 56% rural). "," 1,171 "
22,Clanton, 599 feet," $121,149 ",39.0 years, 20.3 ,39.7 years, 87.0 ," $42,205 "," 8,727 (63% urban, 37% rural). ", 429 
23,"Clay, AL", 937 feet," $158,364 ",39.0 years, 10.3 ,45.1 years, 87.2 ," $74,359 "," 9,700 (94% urban, 6% rural). ", 941 
24,"Cloverdale, AL",," $112,347 ",35.8 years, 83.9 ,35.9 years, 85.4 ," $40,869 "," 6,209.", 74 
25,Concord-Hopkins,," $179,087 ",35.8 years, 32.6 ,39.3 years, 87.9 ," $70,208 "," 7,259.", 223 
26,Craig-Tyler,," $51,723 ",35.8 years, 80.4 ,28.0 years, 83.5 ," $21,351 "," 6,843.", 85 
27,Cullman, 826 feet," $159,563 ",39.0 years, 18.3 ,39.2 years, 82.4 ," $40,245 "," 15,145 (97% urban, 3% rural). ", 828 
28,"Danville, AL",," $114,402 ",35.8 years, 81.3 ,35.0 years, 85.0 ," $45,746 "," 6,242.", 77 
29,Daphne, 157 feet," $201,314 ",39.0 years, 13.5 ,38.5 years, 86.0 ," $67,935 "," 24,395 (99% urban, 1% rural). "," 1,810 "
30,"Decatur, AL", 562 feet," $125,675 ",39.0 years, 53.4 ,39.5 years, 82.1 ," $40,326 "," 55,532 (95% urban, 5% rural). "," 1,040 "
31,Demopolis, 122 feet," $121,997 ",39.0 years, 12.2 ,37.1 years, 81.9 ," $26,811 "," 7,182 (86% urban, 14% rural). ", 587 
32,Dothan, 324 feet," $142,000 ",39.0 years, 86.6 ,38.9 years, 81.8 ," $42,336 "," 67,714", 782 
33,"Enterprise, AL", 356 feet," $176,477 ",39.0 years, 31.0 ,37.0 years, 83.3 ," $56,033 "," 27,772 (95% urban, 5% rural). ", 897 
