,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Arkadelphia, 245 feet," $113,733 ",38.0 years, 7.34 ,23.1 years, 80.9 ," $31,282 "," 10,649 (98% urban, 2% rural). "," 1,450 "
1,"Batesville, AR", 338 feet," $129,427 ",38.0 years, 10.4 ,38.3 years, 80.8 ," $44,132 "," 10,497 (88% urban, 12% rural). "," 1,008 "
2,Beebe, 246 feet," $126,911 ",38.0 years, 4.32 ,35.1 years, 83.0 ," $43,392 "," 7,971 (92% urban, 8% rural). "," 1,847 "
3,"Bella Vista, AR",," $168,344 ",38.0 years, 65.6 ,50.3 years, 83.7 ," $67,295 "," 27,688 (87% urban, 13% rural). ", 422 
4,"Bentonville, AR", 1291 feet," $201,751 ",38.0 years, 21.2 ,32.8 years, 82.7 ," $82,425 "," 41,613 (94% urban, 6% rural). "," 1,959 "
5,"Benton, AR", 407 feet," $148,424 ",38.0 years, 17.9 ,36.7 years, 84.1 ," $62,111 "," 33,625 (99% urban, 1% rural). "," 1,875 "
6,Blytheville, 256 feet," $83,526 ",38.0 years, 20.6 ,35.2 years, 80.1 ," $35,479 "," 14,884 (92% urban, 8% rural). ", 723 
7,"Bryant, AR", 412 feet," $160,311 ",38.0 years, 9.07 ,39.1 years, 84.7 ," $70,194 "," 19,625 (96% urban, 4% rural). "," 2,163 "
8,"Cabot, AR", 297 feet," $151,771 ",38.0 years, 19.1 ,35.3 years, 84.9 ," $58,377 "," 25,627 (97% urban, 3% rural). "," 1,340 "
9,"Camden, AR", 202 feet," $76,216 ",38.0 years, 16.5 ,39.4 years, 79.2 ," $26,788 "," 11,569 (93% urban, 7% rural). ", 703 
10,Centerton, 1254 feet," $157,536 ",38.0 years, 4.02 ,29.8 years, 83.3 ," $68,110 "," 11,193 (95% urban, 5% rural). "," 2,784 "
11,"Clarksville, AR", 370 feet," $99,220 ",38.0 years, 18.0 ,35.2 years, 81.6 ," $32,305 "," 9,391 (79% urban, 21% rural). ", 522 
12,"Conway, AR", 312 feet," $170,400 ",38.0 years, 35.0 ,29.6 years, 85.2 ," $49,183 "," 65,300"," 1,863 "
13,De Queen, 422 feet," $84,708 ",38.0 years, 5.63 ,28.5 years, 78.9 ," $35,945 "," 6,749 (94% urban, 6% rural). "," 1,200 "
14,East End, 350 feet," $120,474 ",38.0 years, 20.1 ,42.6 years, 79.0 ," $56,088 "," 6,998. ", 348 
15,"El Dorado, AR", 269 feet," $88,471 ",38.0 years, 16.3 ,36.3 years, 80.1 ," $38,466 "," 18,352 (95% urban, 5% rural). "," 1,128 "
16,"Farmington, AR", 1190 feet," $175,576 ",38.0 years, 4.80 ,33.7 years, 84.0 ," $51,578 "," 6,477 (83% urban, 17% rural). "," 1,349 "
17,"Fayetteville, AR", 1400 feet," $199,400 ",38.0 years, 43.4 ,25.9 years, 84.5 ," $38,202 "," 83,823"," 1,930 "
18,Forrest City, 252 feet," $75,786 ",38.0 years, 16.3 ,35.0 years, 79.1 ," $34,819 "," 14,823 (85% urban, 15% rural). ", 912 
19,"Fort Smith, AR", 440 feet," $115,400 ",38.0 years, 50.3 ,38.1 years, 80.1 ," $38,051 "," 88,122"," 1,750 "
20,"Greenwood, AR",," $125,254 ",38.0 years, 9.19 ,34.1 years, 79.7 ," $60,049 "," 9,263 (93% urban, 7% rural). "," 1,008 "
21,"Harrison, AR", 1048 feet," $99,543 ",38.0 years, 10.2 ,37.5 years, 80.2 ," $37,095 "," 13,130 (99% urban, 1% rural). "," 1,283 "
22,Heber Springs, 343 feet," $146,305 ",38.0 years, 6.96 ,43.3 years, 82.9 ," $44,821 "," 7,174 (86% urban, 14% rural). "," 1,030 "
23,Helena-West Helena,," $67,616
",38.0 years,,32.0 years, 83.0 ," $28,095"," 11,320 (87% urban, 13% rural).",
24,"Hope, AR", 350 feet," $81,053 ",38.0 years, 10.00 ,35.9 years, 80.5 ," $28,274 "," 10,004 (96% urban, 4% rural). "," 1,001 "
25,Hot Springs Village, 789 feet," $211,394 ",38.0 years, 37.9 ,67.8 years, 85.4 ," $57,137 "," 12,807. ", 338 
26,"Hot Springs, AR", 595 feet," $124,788 ",38.0 years, 32.9 ,42.0 years, 83.1 ," $32,898 "," 35,673 (98% urban, 2% rural). "," 1,085 "
27,"Jacksonville, AR", 284 feet," $122,079 ",38.0 years, 26.4 ,32.2 years, 85.2 ," $43,252 "," 28,808 (97% urban, 3% rural). "," 1,092 "
28,"Jonesboro, AR", 326 feet," $143,400 ",38.0 years, 79.6 ,34.9 years, 81.8 ," $41,434 "," 74,892", 940 
29,"Little Rock, AR", 335 feet," $161,000 ",38.0 years, 116.2 ,36.8 years, 86.0 ," $45,605 "," 198,546"," 1,709 "
30,"Lowell, AR", 1342 feet," $148,802 ",38.0 years, 6.26 ,31.2 years, 82.7 ," $60,980 "," 8,334 (88% urban, 12% rural). "," 1,331 "
31,"Magnolia, AR", 336 feet," $107,498 ",38.0 years, 9.32 ,26.7 years, 81.8 ," $36,223 "," 11,489 (91% urban, 9% rural). "," 1,233 "
32,"Malvern, AR", 314 feet," $78,903 ",38.0 years, 7.35 ,37.3 years, 80.6 ," $31,545 "," 10,826 (97% urban, 3% rural). "," 1,473 "
33,"Marion, AR", 225 feet," $158,237 ",38.0 years, 13.4 ,34.5 years, 85.9 ," $70,348 "," 12,321 (96% urban, 4% rural). ", 918 
34,Maumelle, 338 feet," $233,584 ",38.0 years, 8.80 ,39.4 years, 85.9 ," $79,257 "," 17,804 (96% urban, 4% rural). "," 2,023 "
35,"Monticello, AR", 291 feet," $104,273 ",38.0 years, 10.7 ,31.1 years, 82.6 ," $29,965 "," 9,696 (98% urban, 2% rural). ", 903 
36,Morrilton, 383 feet," $100,080 ",38.0 years, 8.22 ,37.2 years, 81.2 ," $29,060 "," 6,748 (91% urban, 9% rural). ", 821 
37,"Mountain Home, AR",," $124,805 ",38.0 years, 10.6 ,50.7 years, 82.4 ," $37,985 "," 12,278 (93% urban, 7% rural). "," 1,155 "
38,"Newport, AR",," $84,708 ",38.0 years, 13.0 ,36.5 years, 79.9 ," $28,120 "," 7,783 (94% urban, 6% rural). ", 597 
39,North Little Rock, 267 feet," $131,700 ",38.0 years, 44.8 ,32.1 years, 85.5 ," $40,507 "," 66,273"," 1,479 "
40,"Osceola, AR", 245 feet," $86,428 ",38.0 years, 7.81 ,35.1 years, 81.1 ," $27,260 "," 7,320 (92% urban, 8% rural). ", 937 
41,Paragould, 309 feet," $122,763 ",38.0 years, 30.8 ,36.4 years, 81.6 ," $43,686 "," 27,465 (94% urban, 6% rural). ", 891 
42,Pine Bluff, 220 feet," $80,801 ",38.0 years, 45.6 ,35.1 years, 80.6 ," $32,078 "," 45,332 (97% urban, 3% rural). ", 994 
43,"Pocahontas, AR", 305 feet," $79,871 ",38.0 years, 7.35 ,39.2 years, 78.8 ," $35,864 "," 6,474 (89% urban, 11% rural). ", 881 
44,"Rogers, AR", 1371 feet," $166,300 ",38.0 years, 33.5 ,34.2 years, 83.2 ," $53,179 "," 65,016"," 1,939 "
45,"Russellville, AR", 348 feet," $140,607 ",38.0 years, 25.9 ,28.3 years, 83.2 ," $37,242 "," 28,993 (94% urban, 6% rural). "," 1,118 "
46,Searcy, 263 feet," $144,997 ",38.0 years, 14.7 ,28.1 years, 82.7 ," $39,916 "," 23,983 (98% urban, 2% rural). "," 1,631 "
47,"Sherwood, AR", 325 feet," $156,791 ",38.0 years, 13.8 ,37.3 years, 85.1 ," $59,690 "," 30,407 (97% urban, 3% rural). "," 2,202 "
48,Siloam Springs, 1132 feet," $129,588 ",38.0 years, 10.6 ,29.1 years, 82.4 ," $48,233 "," 15,944 (96% urban, 4% rural). "," 1,511 "
49,"Springdale, AR", 1322 feet," $160,300 ",38.0 years, 31.3 ,32.6 years, 82.9 ," $47,523 "," 81,799"," 2,613 "
50,Stuttgart, 209 feet," $87,826 ",38.0 years, 6.16 ,38.4 years, 80.5 ," $37,586 "," 9,132 (97% urban, 3% rural). "," 1,483 "
51,"Texarkana, AR", 360 feet," $114,378 ",38.0 years, 31.8 ,37.9 years, 81.5 ," $39,436 "," 30,014 (87% urban, 13% rural). ", 942 
52,Trumann, 225 feet," $91,481 ",38.0 years, 4.79 ,37.2 years, 79.9 ," $35,433 "," 7,201 (97% urban, 3% rural). "," 1,505 "
53,"Van Buren, AR", 414 feet," $120,613 ",38.0 years, 15.1 ,34.0 years, 79.9 ," $42,090 "," 23,070 (98% urban, 2% rural). "," 1,532 "
54,West Helena, 255 feet," $70,253 ",36.0 years, 4.44 ,30.0 years, 85.4 ," $26,704 "," 7,249."," 1,632 "
55,West Memphis, 211 feet," $88,148 ",38.0 years, 26.5 ,34.3 years, 85.6 ," $32,078 "," 25,423 (100% urban, 0% rural). ", 960 
56,Wynne, 260 feet," $92,878 ",38.0 years, 8.15 ,37.4 years, 80.8 ," $41,978 "," 8,150 (90% urban, 10% rural). ", 999 
