,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Anthem,," $239,300
",37.5 years,,41.2 years, 95.7 ," $58,737"," 21,700.",
1,Apache Junction, 1722 feet," $104,785 ",37.5 years, 34.2 ,53.3 years, 91.7 ," $39,068 "," 38,131 (100% urban, 0% rural). "," 1,114 "
2,"Apache, AZ", 4381 feet," $52,203 ",34.2 years, 1022.8 ,21.3 years, 82.5 ," $24,895 "," 11,958.", 12 
3,Arivaca, 3629 feet," $154,034 ",34.2 years, 1318.5 ,45.9 years, 92.5 ," $48,873 "," 59,243.", 45 
4,Arizona City, 1510 feet," $111,919 ",37.5 years, 6.10 ,34.0 years, 91.4 ," $42,890 "," 10,475. "," 1,717 "
5,"Avondale, AZ", 974 feet," $204,300 ",37.5 years, 41.3 ,34.3 years, 93.2 ," $58,404 "," 82,875"," 2,009 "
6,Avra Valley, 2205 feet," $90,551 ",37.5 years, 22.1 ,47.2 years, 86.9 ," $46,931 "," 6,050. ", 274 
7,Big Park, 4105 feet," $428,025 ",34.2 years, 4.54 ,55.5 years, 107.3 ," $55,586 "," 6,584."," 1,449 "
8,"Buckeye, AZ", 869 feet," $194,920 ",37.5 years, 145.8 ,34.1 years, 93.0 ," $61,939 "," 59,470 (81% urban, 19% rural). ", 408 
9,Bullhead City, 566 feet," $123,764 ",37.5 years, 45.2 ,52.1 years, 86.5 ," $39,602 "," 39,364 (86% urban, 14% rural). ", 870 
10,Camp Verde, 3151 feet," $176,133 ",37.5 years, 42.6 ,46.2 years, 91.7 ," $36,559 "," 11,097 (52% urban, 48% rural). ", 261 
11,Casa Grande, 1397 feet," $143,729 ",37.5 years, 48.2 ,36.9 years, 91.9 ," $47,244 "," 51,478 (97% urban, 3% rural). "," 1,069 "
12,Casas Adobes, 2415 feet," $194,200 ",37.5 years, 22.6 ,41.7 years, 89.8 ," $63,407 "," 70,589"," 3,119 "
13,Catalina Foothills, 2560 feet," $423,844 ",37.5 years, 44.5 ,52.7 years, 91.6 ," $81,879 "," 50,796. "," 1,142 "
14,Catalina, 3122 feet," $160,874 ",37.5 years, 13.9 ,49.5 years, 88.5 ," $49,345 "," 7,569. ", 546 
15,"Chandler, AZ", 1215 feet," $275,400 ",37.5 years, 57.9 ,35.2 years, 94.1 ," $75,369 "," 247,459"," 4,275 "
16,Chino Valley, 4708 feet," $188,803 ",37.5 years, 18.6 ,52.1 years, 90.1 ," $51,895 "," 11,019 (75% urban, 25% rural). ", 593 
17,Coconino, 6395 feet," $327,840 ",34.2 years, 4737.5 ,29.9 years, 105.0 ," $58,636 "," 81,338.", 17 
18,"Coolidge, AZ", 1426 feet," $96,599 ",37.5 years, 5.03 ,35.0 years, 90.6 ," $37,917 "," 12,209 (91% urban, 9% rural). "," 2,429 "
19,Cottonwood-Verde Village,," $210,046 ",34.2 years, 8.77 ,42.0 years, 96.7 ," $50,671 "," 13,318."," 1,519 "
20,"Cottonwood, AZ", 3322 feet," $154,102 ",37.5 years, 10.7 ,47.3 years, 91.0 ," $36,077 "," 11,595 (98% urban, 2% rural). "," 1,087 "
21,"Deer Valley, AZ", 1375 feet," $345,416 ",34.2 years, 408.6 ,36.5 years, 101.7 ," $88,683 "," 186,030.", 455 
22,"Douglas, AZ", 4011 feet," $81,093 ",37.5 years, 7.72 ,33.7 years, 79.0 ," $29,287 "," 16,744 (96% urban, 4% rural). "," 2,168 "
23,Drexel Heights, 2522 feet," $115,546 ",37.5 years, 19.7 ,35.4 years, 88.1 ," $48,498 "," 27,749. "," 1,410 "
24,El Mirage,," $145,752 ",37.5 years, 9.67 ,29.2 years, 92.6 ," $52,226 "," 33,532 (100% urban, 0% rural). "," 3,467 "
25,Eloy, 1557 feet," $85,723 ",37.5 years, 71.7 ,34.9 years, 90.6 ," $31,480 "," 16,738 (68% urban, 32% rural). ", 234 
26,Flagstaff, 6903 feet," $331,400 ",37.5 years, 63.6 ,23.7 years, 97.6 ," $59,658 "," 71,455"," 1,124 "
27,"Florence, AZ", 1490 feet," $131,099 ",37.5 years, 8.29 ,41.8 years, 91.4 ," $50,223 "," 26,912 (64% urban, 36% rural). "," 3,245 "
28,Flowing Wells, 2270 feet," $64,498 ",37.5 years, 3.41 ,40.4 years, 87.2 ," $32,646 "," 16,419. "," 4,815 "
29,Fort Mohave,," $148,700
",37.5 years,,50.7 years, 87.7 ," $42,423"," 14,364.",
30,Fortuna Foothills, 334 feet," $127,975 ",37.5 years, 40.0 ,62.0 years, 88.1 ," $51,866 "," 26,265. ", 656 
31,Fountain Hills,," $421,607 ",37.5 years, 18.2 ,57.5 years, 96.9 ," $79,437 "," 23,573 (98% urban, 2% rural). "," 1,298 "
32,Gila River,," $88,054 ",34.2 years, 436.2 ,23.3 years, 87.7 ," $28,942 "," 14,341.", 33 
33,"Gilbert, AZ", 1236 feet," $307,000 ",37.5 years, 43.0 ,33.1 years, 94.2 ," $91,576 "," 237,120"," 5,520 "
34,"Glendale, AZ", 1153 feet," $200,900 ",37.5 years, 55.7 ,35.2 years, 93.1 ," $51,022 "," 245,849"," 4,415 "
35,Globe, 3524 feet," $137,228 ",37.5 years, 18.0 ,45.0 years, 83.1 ," $44,396 "," 7,375 (91% urban, 9% rural). ", 409 
36,Gold Camp, 4898 feet," $344,370 ",33.8 years, 22.3 ,60.9 years, 102.0 ," $84,580 "," 10,159. ", 455 
37,"Golden Valley, AZ", 2805 feet," $84,988 ",37.5 years, 28.0 ,56.5 years, 83.0 ," $33,533 "," 8,370. ", 298 
38,Goodyear, 967 feet," $262,600 ",37.5 years, 116.5 ,37.5 years, 94.0 ," $73,960 "," 77,266", 663 
39,"Green Valley, AZ", 2903 feet," $171,783 ",37.5 years, 26.2 ,72.6 years, 90.4 ," $47,356 "," 21,391. ", 815 
40,"Guadalupe, AZ", 1231 feet," $96,000 ",37.5 years, 0.77 ,31.6 years, 90.7 ," $31,993 "," 6,106 (100% urban, 0% rural). "," 7,958 "
41,"Humboldt, AZ", 4555 feet," $163,038 ",34.2 years, 1010.0 ,45.6 years, 87.9 ," $48,343 "," 6,646.", 6.6 
42,"Indian Wells, AZ", 5772 feet," $57,052 ",34.2 years, 1431.3 ,24.8 years, 83.4 ," $22,001 "," 8,247.", 5.8 
43,"Kingman, AZ",," $132,000 ",37.5 years, 30.0 ,43.7 years, 86.4 ," $45,393 "," 28,549 (95% urban, 5% rural). ", 953 
44,Lake Havasu City,," $238,835 ",37.5 years, 43.0 ,53.9 years, 89.2 ," $47,234 "," 53,103 (96% urban, 4% rural). "," 1,234 "
45,Little Colorado,," $85,578 ",34.2 years, 1766.3 ,30.5 years, 84.7 ," $40,287 "," 19,982.", 11 
46,Marana,," $233,209 ",37.5 years, 72.7 ,38.1 years, 90.2 ," $77,786 "," 39,888 (85% urban, 15% rural). ", 549 
47,"Maricopa, AZ",," $181,854 ",37.5 years, 4.04 ,35.6 years, 92.6 ," $70,725 "," 47,442 (96% urban, 4% rural). "," 11,752 "
48,"Mesa, AZ",," $209,000 ",37.5 years, 125.0 ,35.7 years, 93.6 ," $52,393 "," 484,622"," 3,877 "
49,Mingus Mountain,," $212,426 ",34.2 years, 547.7 ,42.4 years, 96.9 ," $46,716 "," 30,649.", 56 
50,New Kingman-Butler,," $59,480 ",37.5 years, 14.6 ,43.5 years, 84.9 ," $31,746 "," 12,134. ", 829 
