,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Acton, CA", 2720 feet," $531,075 ",36.4 years, 4.64 ,50.7 years, 120.5 ," $96,495 "," 7,596. "," 1,636 "
1,Adelanto, 2880 feet," $153,546 ",36.4 years, 53.5 ,26.6 years, 115.4 ," $30,664 "," 32,728 (98% urban, 2% rural). ", 611 
2,Agoura Hills, 1000 feet," $808,817 ",36.4 years, 8.18 ,45.1 years, 135.6 ," $120,992 "," 20,843 (98% urban, 2% rural). "," 2,549 "
3,Alameda,," $771,500 ",36.4 years, 10.8 ,42.2 years, 149.1 ," $92,377 "," 78,907"," 7,309 "
4,"Alamo, CA", 280 feet," over $1,000,000 ",36.4 years, 20.6 ,47.8 years, 154.8 ," $188,687 "," 14,570. ", 708 
5,"Albany, CA", 40 feet," $838,766 ",36.4 years, 1.70 ,35.6 years, 154.3 ," $96,321 "," 19,488 (100% urban, 0% rural). "," 11,455 "
6,"Alhambra, CA", 500 feet," $585,500 ",36.4 years, 7.62 ,41.6 years, 146.1 ," $52,819 "," 85,465"," 11,213 "
7,Aliso Viejo, 400 feet," $603,769 ",36.4 years, 10.2 ,36.9 years, 126.9 ," $108,140 "," 50,231 (100% urban, 0% rural). "," 4,912 "
8,Alondra Park, 50 feet," $529,340 ",36.4 years, 1.14 ,35.5 years, 137.7 ," $60,760 "," 8,592. "," 7,536 "
9,"Alpine, CA",," $569,961 ",36.4 years, 26.9 ,44.9 years, 133.9 ," $84,573 "," 14,236. ", 530 
10,Alta Sierra,," $339,124 ",36.4 years, 8.37 ,52.3 years, 95.2 ," $66,659 "," 6,911. ", 825 
11,Altadena, 1342 feet," $718,819 ",36.4 years, 8.70 ,43.8 years, 137.5 ," $93,391 "," 42,777. "," 4,918 "
12,Alum Rock, 149 feet," $569,643 ",36.4 years, 1.12 ,32.9 years, 151.3 ," $79,129 "," 15,536. "," 13,883 "
13,American Canyon, 60 feet," $445,752 ",36.4 years, 4.13 ,36.2 years, 137.6 ," $84,198 "," 20,470 (100% urban, 0% rural). "," 4,959 "
14,"Anaheim, CA", 160 feet," $548,100 ",36.4 years, 48.9 ,34.1 years, 129.3 ," $64,464 "," 351,066"," 7,173 "
