,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Air Force Academy,," $287,378 ",36.7 years, 10.0 ,21.0 years, 100.8 ," $76,067 "," 6,680. ", 667 
1,Alamosa, 7544 feet," $169,450 ",36.7 years, 3.99 ,27.7 years, 85.2 ," $29,593 "," 9,531 (99% urban, 1% rural). "," 2,389 "
2,Applewood, 5800 feet," $480,584 ",36.7 years, 4.83 ,42.2 years, 112.2 ," $82,009 "," 7,160. "," 1,481 "
3,"Arvada, CO", 5340 feet," $342,700 ",36.7 years, 32.7 ,38.4 years, 109.9 ," $75,082 "," 117,308"," 3,592 "
4,Aspen, 7907 feet," $573,540 ",36.7 years, 3.53 ,43.2 years, 102.2 ," $71,207 "," 6,805 (97% urban, 3% rural). "," 1,928 "
5,"Aurora, CO", 5435 feet," $253,400 ",36.7 years, 142.5 ,34.2 years, 109.3 ," $59,467 "," 362,249"," 2,542 "
6,"Avon, CO", 7430 feet," $439,001 ",36.7 years, 7.99 ,31.7 years, 97.9 ," $59,069 "," 6,447 (85% urban, 15% rural). ", 807 
7,Bald Mountain,," $624,074 ",34.3 years, 228.4 ,40.2 years, 120.1 ," $97,333 "," 12,449.", 54 
8,"Berkley, CO", 5220 feet," $242,855 ",36.7 years, 4.04 ,33.4 years, 109.5 ," $54,873 "," 11,207. "," 2,776 "
9,Black Forest-Peyton,," $418,573 ",34.3 years, 503.1 ,38.9 years, 107.7 ," $106,860 "," 42,682.", 85 
10,Black Forest, 7379 feet," $496,973 ",36.7 years, 127.5 ,47.4 years, 96.9 ," $119,390 "," 13,116. ", 103 
11,"Boulder, CO", 5344 feet," $685,500 ",36.7 years, 24.4 ,28.5 years, 121.8 ," $70,158 "," 108,108"," 4,435 "
12,"Brighton, CO", 4983 feet," $271,672 ",36.7 years, 17.1 ,33.3 years, 108.4 ," $66,970 "," 36,765 (97% urban, 3% rural). "," 2,153 "
13,Broomfield, 5400 feet," $383,600 ",36.7 years, 27.1 ,38.4 years, 110.1 ," $84,349 "," 66,529"," 2,454 "
14,Canon City, 5332 feet," $175,980 ",36.7 years, 12.0 ,42.6 years, 83.2 ," $42,652 "," 16,337 (99% urban, 1% rural). "," 1,359 "
15,"Carbondale, CO", 6170 feet," $531,979 ",36.7 years, 2.01 ,33.7 years, 98.8 ," $67,503 "," 6,574 (99% urban, 1% rural). "," 3,269 "
16,Castle Pines North,," $445,400
",36.7 years,,39.4 years, 109.6 ," $109,292"," 10,602 (99% urban, 1% rural).",
17,Castle Pines, 2000 feet," $597,970 ",36.7 years, 10.2 ,43.4 years, 109.7 ," $145,466 "," 10,796 (100% urban, 0% rural). "," 1,054 "
18,"Castle Rock, CO", 6210 feet," $389,059 ",36.7 years, 31.6 ,35.6 years, 108.7 ," $96,265 "," 55,747 (96% urban, 4% rural). "," 1,764 "
19,"Castlewood, CO", 5730 feet," $444,870 ",34.3 years, 6.15 ,38.9 years, 111.1 ," $107,257 "," 28,255."," 4,595 "
20,"Centennial, CO", 5830 feet," $319,000
",36.7 years,,43.7 years, 101.7 ," $70,950"," 109,935",
21,Central Jefferson,," $548,251 ",34.3 years, 92.9 ,41.1 years, 117.1 ," $102,845 "," 24,039.", 259 
22,"Cherry Creek, CO",," $319,000
",36.7 years,,39.4 years, 101.1 ," $70,950"," 11,120.",
23,Cherry Hills Village, 5395 feet," over $1,000,000 ",36.7 years, 6.22 ,47.8 years, 107.8 ," over $200,000 "," 6,423 (100% urban, 0% rural). "," 1,033 "
