,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Ansonia, CT", 141 feet," $217,969 ",40.9 years, 6.03 ,39.2 years, 132.9 ," $45,780 "," 18,959 (100% urban, 0% rural). "," 3,143 "
1,"Avon, CT", 202 feet," $403,858 ",39.2 years, 23.1 ,44.9 years, 114.3 ," $124,396 "," 18,098. ", 783 
2,Beacon Falls, 185 feet," $251,174 ",39.2 years, 9.78 ,41.5 years, 139.7 ," $76,689 "," 6,049. ", 619 
3,"Berlin, CT", 100 feet," $282,901 ",39.2 years, 26.5 ,45.5 years, 111.7 ," $93,115 "," 19,866. ", 751 
4,"Bethel, CT", 384 feet," $284,488 ",40.9 years, 4.08 ,42.9 years, 133.5 ," $75,551 "," 9,549. "," 2,339 "
5,"Bloomfield, CT", 121 feet," $223,009 ",39.2 years, 26.0 ,47.9 years, 111.7 ," $73,614 "," 20,486. ", 788 
6,"Branford, CT", 49 feet," $290,994 ",39.2 years, 22.0 ,47.0 years, 141.8 ," $78,609 "," 28,026. "," 1,275 "
7,"Bridgeport, CT", 25 feet," $177,400 ",40.9 years, 16.0 ,34.0 years, 133.1 ," $42,113 "," 145,934"," 9,121 "
8,"Bristol, CT", 289 feet," $195,368 ",40.9 years, 26.5 ,41.6 years, 105.2 ," $62,823 "," 60,570 (100% urban, 0% rural). "," 2,285 "
9,"Brookfield, CT", 292 feet," $386,324 ",39.2 years, 19.8 ,43.5 years, 143.8 ," $114,235 "," 16,452. ", 831 
10,"Brooklyn, CT", 280 feet," $220,795 ",39.2 years, 29.0 ,40.9 years, 126.5 ," $67,946 "," 8,210. ", 283 
11,"Burlington, CT", 840 feet," $331,920 ",39.2 years, 29.8 ,42.4 years, 105.6 ," $113,147 "," 9,301. ", 312 
12,"Canton, CT", 347 feet," $294,278 ",39.2 years, 24.6 ,44.0 years, 112.3 ," $88,936 "," 10,292. ", 419 
13,Central Manchester,," $188,211 ",37.4 years, 6.45 ,35.7 years, 111.5 ," $60,159 "," 31,154."," 4,827 "
14,"Cheshire, CT", 262 feet," $351,745 ",39.2 years, 32.9 ,42.2 years, 140.7 ," $109,041 "," 29,261. ", 889 
15,"Colchester, CT", 475 feet," $275,953 ",39.2 years, 49.1 ,40.6 years, 112.7 ," $90,467 "," 16,068. ", 327 
16,Conning Towers-Nautilus Park,," $226,568 ",40.9 years, 4.98 ,22.9 years, 109.2 ," $64,664 "," 8,834. "," 1,773 "
17,Cos Cob, 25 feet," $423,200
",40.9 years,,43.9 years, 134.5 ," $90,123"," 6,770.",
18,"Coventry, CT", 530 feet," $242,456 ",39.2 years, 37.7 ,41.5 years, 104.0 ," $89,008 "," 12,435. ", 330 
19,"Cromwell, CT", 35 feet," $245,477 ",39.2 years, 12.4 ,43.1 years, 134.5 ," $81,743 "," 14,005. "," 1,130 "
20,"Danbury, CT", 378 feet," $297,600 ",40.9 years, 42.1 ,39.7 years, 134.2 ," $70,187 "," 85,008"," 2,019 "
21,"Darien, CT", 60 feet," over $1,000,000 ",40.9 years, 12.9 ,39.4 years, 146.0 ," over $200,000 "," 20,732. "," 1,613 "
22,"Derby, CT", 200 feet," $202,342 ",40.9 years, 4.98 ,39.1 years, 131.0 ," $58,369 "," 12,768 (100% urban, 0% rural). "," 2,563 "
23,East Haddam, 35 feet," $307,297 ",39.2 years, 54.3 ,44.2 years, 130.2 ," $83,955 "," 9,126. ", 168 
24,East Hartford, 60 feet," $165,733 ",40.9 years, 18.0 ,38.3 years, 105.5 ," $51,799 "," 51,252. "," 2,844 "
25,"East Haven, CT", 25 feet," $210,054 ",40.9 years, 12.3 ,42.8 years, 130.9 ," $66,621 "," 29,257. "," 2,386 "
26,East Lyme,," $282,882 ",39.2 years, 34.0 ,44.3 years, 113.4 ," $92,885 "," 19,159. ", 563 
27,East Windsor,," $217,153 ",39.2 years, 26.3 ,43.2 years, 111.0 ," $69,893 "," 11,162. ", 425 
28,"Easton, CT", 393 feet," $732,419 ",39.2 years, 27.4 ,45.1 years, 148.3 ," $173,421 "," 7,490. ", 273 
29,"Ellington, CT", 240 feet," $259,738 ",39.2 years, 34.1 ,40.9 years, 111.1 ," $85,877 "," 15,602. ", 458 
30,"Enfield, CT", 154 feet," $206,613 ",39.2 years, 33.4 ,40.4 years, 110.6 ," $72,243 "," 44,654. "," 1,338 "
31,"Essex, CT", 100 feet," $414,174 ",39.2 years, 10.4 ,49.2 years, 142.8 ," $89,941 "," 6,683. ", 645 
32,"Fairfield, CT", 15 feet," $496,793 ",39.2 years, 30.0 ,40.0 years, 151.0 ," $115,348 "," 59,404. "," 1,978 "
33,"Farmington, CT", 245 feet," $309,167 ",39.2 years, 28.1 ,44.2 years, 113.3 ," $91,754 "," 25,340. ", 903 
34,Glastonbury Center,," $294,422 ",40.9 years, 4.77 ,45.1 years, 106.3 ," $88,647 "," 7,387. "," 1,548 "
35,Glastonbury, 90 feet," $357,349 ",39.2 years, 51.4 ,43.1 years, 112.9 ," $110,341 "," 34,427. ", 670 
36,"Granby, CT", 215 feet," $301,973 ",39.2 years, 40.7 ,44.6 years, 111.4 ," $111,013 "," 11,282. ", 277 
37,"Greenwich, CT", 140 feet," over $1,000,000 ",39.2 years, 47.8 ,42.8 years, 176.2 ," $136,859 "," 61,171. "," 1,279 "
38,"Griswold, CT",," $206,315 ",39.2 years, 34.9 ,39.6 years, 111.4 ," $70,015 "," 11,951. ", 342 
