,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Alachua, 85 feet," $172,932 ",42.1 years, 28.9 ,34.3 years, 88.7 ," $55,882 "," 9,561 (67% urban, 33% rural). ", 331 
1,Alafaya,," $214,000
",42.1 years,,32.5 years, 93.4 ," $51,335"," 91,779",
2,Altamonte Springs, 87 feet," $166,324 ",42.1 years, 8.90 ,39.4 years, 91.8 ," $52,313 "," 42,225 (100% urban, 0% rural). "," 4,746 "
3,"Andover, FL", 5 feet," $188,123 ",38.7 years, 1.68 ,33.5 years, 115.3 ," $40,587 "," 9,221."," 5,501 "
4,Apollo Beach,," $260,950 ",42.1 years, 5.69 ,46.7 years, 97.2 ," $77,100 "," 14,055. "," 2,470 "
5,Apopka, 130 feet," $206,485 ",42.1 years, 24.0 ,38.3 years, 91.3 ," $62,645 "," 47,084 (97% urban, 3% rural). "," 1,958 "
6,"Arcadia, FL", 57 feet," $94,820 ",42.1 years, 4.04 ,32.3 years, 81.6 ," $28,311 "," 7,722 (99% urban, 1% rural). "," 1,913 "
7,Asbury Lake, 30 feet," $185,644 ",42.1 years, 3.36 ,38.6 years, 88.7 ," $68,785 "," 8,700. "," 2,588 "
8,"Atlantic Beach, FL", 17 feet," $370,797 ",42.1 years, 3.73 ,46.3 years, 92.1 ," $74,934 "," 13,031 (100% urban, 0% rural). "," 3,494 "
9,"Auburndale, FL", 169 feet," $156,134 ",42.1 years, 5.22 ,37.0 years, 87.0 ," $45,623 "," 14,518 (99% urban, 1% rural). "," 2,781 "
10,Aventura, 5 feet," $372,192 ",42.1 years, 2.70 ,50.2 years, 116.9 ," $58,053 "," 37,451 (100% urban, 0% rural). "," 13,851 "
11,Avon Park, 149 feet," $65,193 ",42.1 years, 4.64 ,35.4 years, 79.2 ," $28,277 "," 8,879 (100% urban, 0% rural). "," 1,914 "
12,Azalea Park, 97 feet," $127,390 ",42.1 years, 3.21 ,35.7 years, 91.4 ," $39,355 "," 12,556. "," 3,912 "
13,"Baker, FL",," $140,177 ",38.7 years, 253.6 ,37.9 years, 86.4 ," $49,760 "," 7,134.", 28 
14,Bardmoor,," $186,500
",42.1 years,,48.5 years, 95.7 ," $50,036"," 9,732.",
15,"Bartow, FL", 116 feet," $118,265 ",42.1 years, 11.2 ,35.8 years, 86.1 ," $47,293 "," 18,420 (96% urban, 4% rural). "," 1,641 "
16,Bay Harbor Islands, 7 feet," $375,190 ",42.1 years, 0.37 ,43.0 years, 115.4 ," $63,594 "," 6,007 (100% urban, 0% rural). "," 16,197 "
17,Bayonet Point, 20 feet," $83,366 ",42.1 years, 5.60 ,50.3 years, 93.6 ," $33,892 "," 23,467. "," 4,188 "
18,Bayshore Gardens, 20 feet," $88,356 ",42.1 years, 3.56 ,45.9 years, 92.6 ," $40,365 "," 16,323. "," 4,586 "
19,Beacon Square, 9 feet," $74,341 ",42.1 years, 2.00 ,44.1 years, 93.5 ," $34,774 "," 7,224. "," 3,614 "
20,Bee Ridge, 35 feet," $276,303 ",42.1 years, 3.91 ,55.8 years, 97.5 ," $57,197 "," 9,598. "," 2,457 "
21,Bellair-Meadowbrook Terrace,," $114,758 ",42.1 years, 5.60 ,34.6 years, 87.6 ," $41,314 "," 13,343. "," 2,381 "
22,Belle Glade, 20 feet," $113,796 ",42.1 years, 4.65 ,32.6 years, 98.3 ," $27,978 "," 18,061 (96% urban, 4% rural). "," 3,885 "
23,Belle Isle, 97 feet," $310,466 ",42.1 years, 1.93 ,49.1 years, 94.4 ," $78,092 "," 6,528 (100% urban, 0% rural). "," 3,391 "
24,"Bellview, FL", 73 feet," $106,693 ",42.1 years, 11.8 ,41.0 years, 85.5 ," $48,437 "," 23,355. "," 1,976 "
25,"Beverly Hills, FL",," $70,495 ",42.1 years, 2.85 ,50.5 years, 81.0 ," $27,253 "," 8,445. "," 2,967 "
26,Bithlo, 68 feet," $220,160 ",42.1 years, 10.7 ,33.2 years, 91.1 ," $53,602 "," 8,268. ", 775 
27,"Bloomingdale, FL", 54 feet," $238,492 ",42.1 years, 7.83 ,42.6 years, 96.2 ," $89,898 "," 22,711. "," 2,901 "
28,Boca Ciega, 3 feet," $228,114 ",38.7 years, 16.8 ,47.7 years, 102.8 ," $54,256 "," 68,887."," 4,105 "
29,Boca Del Mar, 15 feet," $348,605 ",38.7 years, 4.02 ,46.6 years, 111.8 ," $66,873 "," 24,318."," 6,048 "
30,Boca Raton, 16 feet," $418,100 ",42.1 years, 27.2 ,50.5 years, 105.4 ," $68,804 "," 96,115"," 3,535 "
31,Bonita Springs, 12 feet," $305,934 ",42.1 years, 35.3 ,57.4 years, 95.3 ," $61,335 "," 49,299 (96% urban, 4% rural). "," 1,397 "
32,Boyette, 80 feet," $259,360 ",38.7 years, 6.60 ,35.6 years, 104.6 ," $74,013 "," 6,874."," 1,041 "
33,Boynton Beach, 30 feet," $206,100 ",42.1 years, 15.9 ,43.9 years, 102.1 ," $53,188 "," 75,569"," 4,760 "
34,Bradenton, 25 feet," $164,038 ",42.1 years, 12.1 ,43.4 years, 95.2 ," $41,305 "," 52,769 (100% urban, 0% rural). "," 4,358 "
35,"Brandon, FL", 48 feet," $170,900 ",42.1 years, 28.7 ,36.6 years, 94.8 ," $60,476 "," 109,582"," 3,816 "
36,"Brent, FL", 93 feet," $82,063 ",42.1 years, 10.4 ,29.1 years, 84.7 ," $37,022 "," 21,804. "," 2,089 "
37,Broadview Park, 17 feet," $169,946 ",42.1 years, 0.98 ,31.5 years, 113.0 ," $44,480 "," 7,125. "," 7,283 "
38,"Brooksville, FL", 209 feet," $51,939 ",42.1 years, 4.94 ,46.5 years, 91.5 ," $35,810 "," 7,778 (94% urban, 6% rural). "," 1,574 "
39,"Brownsville, FL",," $130,021 ",42.1 years, 2.29 ,36.8 years, 108.6 ," $20,562 "," 15,313. "," 6,676 "
40,Buenaventura Lakes, 75 feet," $184,900
",42.1 years,,35.0 years, 92.2 ," $51,436"," 26,079.",
41,"Callaway, FL", 33 feet," $158,126 ",42.1 years, 5.69 ,35.9 years, 87.5 ," $50,624 "," 15,006 (99% urban, 1% rural). "," 2,639 "
42,Cantonment, 150 feet," $161,786 ",38.7 years, 125.6 ,37.1 years, 89.5 ," $57,689 "," 44,893.", 357 
43,Cape Canaveral, 9 feet," $211,303 ",42.1 years, 2.33 ,58.8 years, 92.8 ," $42,196 "," 10,049 (100% urban, 0% rural). "," 4,311 "
44,"Cape Coral, FL", 5 feet," $212,600 ",42.1 years, 105.2 ,46.7 years, 92.9 ," $57,006 "," 179,795"," 1,709 "
45,Carol City, 8 feet," $200,774 ",38.7 years, 7.62 ,32.0 years, 115.1 ," $49,366 "," 64,569."," 8,468 "
46,Carrollwood, 40 feet," $195,800
",42.1 years,,42.5 years, 95.5 ," $54,588"," 33,365.",
47,Casselberry, 64 feet," $128,495 ",42.1 years, 6.66 ,38.7 years, 91.3 ," $43,771 "," 26,707 (100% urban, 0% rural). "," 4,009 "
48,Celebration, 80 feet," $506,613 ",42.1 years, 10.7 ,39.2 years, 96.3 ," $91,567 "," 7,427. ", 696 
49,Central Pasco,," $243,378 ",38.7 years, 267.0 ,36.8 years, 100.2 ," $76,327 "," 69,995.", 262 
