,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Acworth, GA", 913 feet," $179,902 ",36.5 years, 7.08 ,35.3 years, 95.9 ," $56,935 "," 21,867 (100% urban, 0% rural). "," 3,090 "
1,"Albany, GA", 208 feet," $88,800 ",36.5 years, 55.5 ,33.9 years, 88.5 ," $34,565 "," 74,904"," 1,349 "
2,Alpharetta, 1137 feet," $408,600 ",36.5 years, 21.4 ,38.7 years, 97.7 ," $95,919 "," 65,334"," 3,058 "
3,"Americus, GA", 420 feet," $93,360 ",36.5 years, 10.5 ,29.3 years, 81.3 ," $26,112 "," 16,283 (98% urban, 2% rural). "," 1,553 "
4,Appling, 295 feet," $157,248 ",33.4 years, 140.0 ,37.1 years, 85.0 ," $62,641 "," 8,141.", 58 
5,Armuchee, 643 feet," $136,256 ",33.4 years, 95.6 ,35.3 years, 85.2 ," $54,779 "," 9,817.", 103 
6,"Athens-Clarke County, GA",," $170,900 ",36.5 years, 117.8 ,27.4 years, 93.4 ," $34,592 "," 123,456"," 1,048 "
7,"Athens, GA", 758 feet," $178,040 ",33.4 years, 64.4 ,24.2 years, 101.7 ," $30,753 "," 85,116."," 1,321 "
8,"Atlanta, GA", 1050 feet," $262,600 ",36.5 years, 131.7 ,33.0 years, 98.7 ," $53,843 "," 472,506"," 3,586 "
9,"Auburn, GA", 1050 feet," $124,975 ",36.5 years, 5.34 ,32.8 years, 94.3 ," $54,381 "," 7,254 (94% urban, 6% rural). "," 1,359 "
10,"Augusta-Richmond County, GA",," $100,900 ",36.5 years, 302.1 ,34.0 years, 89.9 ," $41,273 "," 196,194", 649 
11,"Augusta, GA", 414 feet," $97,735 ",33.4 years, 94.5 ,34.3 years, 93.2 ," $38,238 "," 136,381."," 1,443 "
12,Austell, 920 feet," $123,996 ",36.5 years, 5.69 ,35.3 years, 94.7 ," $51,392 "," 6,985 (100% urban, 0% rural). "," 1,228 "
13,"Bainbridge, GA", 135 feet," $135,826 ",36.5 years, 17.7 ,34.6 years, 84.0 ," $26,098 "," 12,496 (88% urban, 12% rural). ", 706 
14,"Barnesville, GA", 850 feet," $112,732 ",36.5 years, 5.66 ,29.3 years, 93.0 ," $29,603 "," 6,670 (98% urban, 2% rural). "," 1,179 "
15,Barretts, 249 feet," $147,470 ",33.4 years, 54.3 ,28.8 years, 92.7 ," $54,591 "," 14,663.", 270 
16,Belvedere Park, 1000 feet," $126,550 ",36.5 years, 4.98 ,38.4 years, 95.8 ," $42,123 "," 15,152. "," 3,041 "
17,"Big Creek, GA",," $409,732 ",33.4 years, 44.1 ,33.8 years, 102.3 ," $133,364 "," 42,663.", 966 
18,Bill Arp,," $167,675 ",33.4 years, 48.5 ,34.9 years, 99.2 ," $72,012 "," 40,565.", 836 
19,Boynton Ridge,," $158,439 ",33.4 years, 31.3 ,36.9 years, 91.7 ," $64,985 "," 13,326.", 425 
20,Braselton, 900 feet," $275,811 ",36.5 years, 7.20 ,37.9 years, 87.0 ," $94,745 "," 8,727 (98% urban, 2% rural). "," 1,211 "
21,"Bremen, GA", 1424 feet," $156,621 ",36.5 years, 8.88 ,34.8 years, 92.0 ," $58,384 "," 6,290 (91% urban, 9% rural). ", 708 
22,"Brunswick, GA", 10 feet," $103,379 ",36.5 years, 17.2 ,36.8 years, 89.3 ," $25,596 "," 15,903 (100% urban, 0% rural). ", 924 
23,"Buford, GA", 1187 feet," $183,032 ",36.5 years, 14.7 ,35.2 years, 95.2 ," $55,864 "," 13,392 (99% urban, 1% rural). ", 909 
24,"Cairo, GA", 258 feet," $111,966 ",36.5 years, 9.31 ,36.5 years, 83.5 ," $26,404 "," 9,806 (93% urban, 7% rural). "," 1,053 "
25,"Calhoun, GA", 635 feet," $145,786 ",36.5 years, 11.7 ,33.3 years, 82.0 ," $36,897 "," 16,052 (99% urban, 1% rural). "," 1,378 "
26,"Campton, GA", 902 feet," $191,572 ",33.4 years, 48.3 ,35.8 years, 88.8 ," $63,160 "," 6,920.", 143 
27,Candler-McAfee,," $102,695 ",36.5 years, 6.98 ,42.4 years, 94.9 ," $38,659 "," 23,025. "," 3,299 "
28,"Canton, GA", 960 feet," $201,563 ",36.5 years, 14.3 ,33.2 years, 95.4 ," $59,274 "," 24,801 (96% urban, 4% rural). "," 1,739 "
29,"Carrollton, GA", 1110 feet," $146,093 ",36.5 years, 20.2 ,25.2 years, 94.7 ," $41,754 "," 26,690 (99% urban, 1% rural). "," 1,323 "
30,Carters Lake,," $150,541 ",33.4 years, 73.0 ,34.0 years, 86.8 ," $43,011 "," 7,684.", 105 
