,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Altoona, IA",," $179,265 ",38.0 years, 7.10 ,34.6 years, 90.5 ," $75,195 "," 16,105 (100% urban, 0% rural). "," 2,267 "
1,"Ames, IA",," $189,900 ",38.0 years, 21.6 ,23.5 years, 92.6 ," $43,737 "," 66,190"," 3,069 "
2,Ankeny,," $198,567 ",38.0 years, 16.8 ,32.3 years, 91.0 ," $79,725 "," 53,801 (99% urban, 1% rural). "," 3,207 "
3,"Atlantic, IA", 1215 feet," $98,581 ",38.0 years, 8.15 ,43.7 years, 77.8 ," $41,528 "," 6,842 (91% urban, 9% rural). ", 840 
4,Bettendorf, 560 feet," $209,129 ",38.0 years, 21.2 ,40.9 years, 87.7 ," $72,953 "," 35,122 (100% urban, 0% rural). "," 1,654 "
5,"Boone, IA", 1130 feet," $111,868 ",38.0 years, 8.93 ,38.4 years, 78.4 ," $49,614 "," 12,633 (100% urban, 0% rural). "," 1,415 "
6,"Burlington, IA",," $93,438 ",38.0 years, 14.1 ,40.7 years, 79.4 ," $41,622 "," 25,539 (99% urban, 1% rural). "," 1,818 "
7,"Carroll, IA", 1260 feet," $147,443 ",38.0 years, 5.54 ,41.4 years, 78.6 ," $46,558 "," 10,007 (99% urban, 1% rural). "," 1,805 "
8,Cedar Falls, 890 feet," $181,648 ",38.0 years, 28.3 ,26.9 years, 86.9 ," $58,686 "," 40,859 (95% urban, 5% rural). "," 1,444 "
9,"Cedar Rapids, IA", 727 feet," $137,900 ",38.0 years, 63.1 ,35.7 years, 87.9 ," $57,135 "," 131,118"," 2,077 "
10,"Charles City, IA",," $98,688 ",38.0 years, 6.15 ,44.7 years, 77.5 ," $42,166 "," 7,513 (98% urban, 2% rural). "," 1,221 "
11,"Clear Lake, IA", 1230 feet," $145,515 ",38.0 years, 10.4 ,44.3 years, 79.5 ," $52,571 "," 7,682 (95% urban, 5% rural). ", 736 
12,"Clinton, IA", 580 feet," $99,224 ",38.0 years, 35.6 ,42.1 years, 78.3 ," $43,803 "," 26,246 (92% urban, 8% rural). ", 738 
13,Clive, 830 feet," $252,954 ",38.0 years, 7.23 ,40.6 years, 91.2 ," $93,998 "," 17,052 (100% urban, 0% rural). "," 2,359 "
14,Coralville, 680 feet," $238,470 ",38.0 years, 10.2 ,32.4 years, 91.7 ," $61,444 "," 20,349 (100% urban, 0% rural). "," 1,997 "
15,Council Bluffs, 986 feet," $120,478 ",38.0 years, 37.4 ,36.8 years, 90.2 ," $49,495 "," 62,245 (98% urban, 2% rural). "," 1,665 "
