,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Ammon, 4720 feet," $175,717 ",36.1 years, 2.92 ,31.3 years, 87.3 ," $71,249 "," 14,685 (99% urban, 1% rural). "," 5,022 "
1,Blackfoot, 4498 feet," $137,058 ",36.1 years, 5.41 ,30.8 years, 83.1 ," $46,488 "," 11,814 (98% urban, 2% rural). "," 2,184 "
2,Blanchard-Glengary,," $245,889 ",33.2 years, 397.4 ,40.8 years, 95.0 ," $46,294 "," 13,946.", 35 
3,"Boise, ID", 2730 feet," $219,200 ",36.1 years, 63.8 ,35.3 years, 92.1 ," $55,199 "," 223,152"," 3,499 "
4,"Burley, ID", 4165 feet," $116,415 ",36.1 years, 4.12 ,28.9 years, 82.7 ," $40,301 "," 10,480 (99% urban, 1% rural). "," 2,545 "
5,"Caldwell, ID", 2385 feet," $131,762 ",36.1 years, 11.3 ,29.3 years, 90.4 ," $46,272 "," 50,224 (100% urban, 0% rural). "," 4,428 "
6,Chubbuck, 4470 feet," $157,660 ",36.1 years, 3.54 ,33.7 years, 86.9 ," $57,145 "," 14,229 (100% urban, 0% rural). "," 4,024 "
7,Coeur d'Alene, 2187 feet," $214,066 ",36.1 years, 13.1 ,36.2 years, 93.3 ," $44,493 "," 47,912 (100% urban, 0% rural). "," 3,649 "
8,"Eagle, ID",," $380,687 ",36.1 years, 9.19 ,45.7 years, 92.8 ," $87,128 "," 22,502 (98% urban, 2% rural). "," 2,449 "
9,Emmett Valley,," $154,178 ",33.2 years, 75.7 ,36.3 years, 95.9 ," $42,471 "," 12,022.", 159 
10,"Emmett, ID", 2375 feet," $116,866 ",36.1 years, 1.82 ,41.3 years, 91.2 ," $31,955 "," 6,599 (99% urban, 1% rural). "," 3,633 "
11,"Garden City, ID", 2660 feet," $218,448 ",36.1 years, 4.15 ,46.7 years, 92.5 ," $43,716 "," 11,420 (100% urban, 0% rural). "," 2,752 "
12,Hailey, 5329 feet," $300,626 ",36.1 years, 3.16 ,36.7 years, 92.2 ," $59,548 "," 8,076 (99% urban, 1% rural). "," 2,552 "
13,"Hayden, ID", 2278 feet," $239,724 ",36.1 years, 7.85 ,40.7 years, 92.9 ," $59,028 "," 13,870 (100% urban, 0% rural). "," 1,768 "
14,Idaho Falls, 4700 feet," $150,885 ",36.1 years, 17.1 ,33.5 years, 87.3 ," $54,468 "," 58,691 (100% urban, 0% rural). "," 3,439 "
15,"Jerome, ID", 3765 feet," $127,019 ",36.1 years, 3.20 ,28.5 years, 84.8 ," $40,241 "," 11,189 (99% urban, 1% rural). "," 3,497 "
16,Kuna, 2695 feet," $167,813 ",36.1 years, 2.39 ,31.0 years, 91.6 ," $61,763 "," 16,999 (97% urban, 3% rural). "," 7,106 "
17,"Lewiston, ID", 755 feet," $188,610 ",36.1 years, 16.5 ,40.5 years, 88.9 ," $50,514 "," 32,482 (99% urban, 1% rural). "," 1,969 "
18,"Meridian, ID", 2600 feet," $236,200 ",36.1 years, 11.8 ,36.5 years, 92.1 ," $68,623 "," 95,627"," 8,112 "
19,"Middleton, ID", 2398 feet," $158,930 ",36.1 years, 1.76 ,32.1 years, 90.8 ," $50,336 "," 6,420 (95% urban, 5% rural). "," 3,658 "
20,"Moreland, ID", 4460 feet," $182,085 ",33.2 years, 98.1 ,28.5 years, 90.3 ," $59,878 "," 9,573.", 98 
21,"Moscow, ID", 2583 feet," $236,553 ",36.1 years, 6.15 ,24.8 years, 89.4 ," $36,646 "," 24,767 (100% urban, 0% rural). "," 4,026 "
22,"Mountain Home, ID", 3143 feet," $149,354 ",36.1 years, 5.18 ,31.3 years, 84.0 ," $50,376 "," 13,780 (100% urban, 0% rural). "," 2,660 "
23,Nampa, 2490 feet," $142,900 ",36.1 years, 19.9 ,31.2 years, 90.8 ," $44,079 "," 91,375"," 4,602 "
24,"Orchard, ID", 3150 feet," $230,031 ",33.2 years, 662.8 ,31.8 years, 97.3 ," $75,676 "," 18,120.", 27 
25,Payette, 2150 feet," $118,333 ",36.1 years, 3.38 ,38.7 years, 82.7 ," $47,459 "," 7,422 (98% urban, 2% rural). "," 2,196 "
26,Pocatello, 4464 feet," $135,038 ",36.1 years, 28.2 ,32.4 years, 86.8 ," $44,098 "," 54,292 (100% urban, 0% rural). "," 1,923 "
27,Post Falls, 2200 feet," $208,488 ",36.1 years, 9.66 ,33.8 years, 93.2 ," $49,701 "," 29,896 (99% urban, 1% rural). "," 3,096 "
28,Rathdrum, 2220 feet," $192,622 ",36.1 years, 4.83 ,35.6 years, 93.6 ," $45,820 "," 7,283 (96% urban, 4% rural). "," 1,508 "
29,Rexburg, 4865 feet," $205,531 ",36.1 years, 4.88 ,23.3 years, 87.5 ," $27,861 "," 27,094 (98% urban, 2% rural). "," 5,549 "
30,Sandpoint, 2085 feet," $215,571 ",36.1 years, 3.90 ,42.9 years, 91.6 ," $36,518 "," 7,760 (99% urban, 1% rural). "," 1,988 "
31,"Star, ID", 2467 feet," $240,165 ",36.1 years, 0.86 ,34.0 years, 92.9 ," $57,830 "," 7,295 (98% urban, 2% rural). "," 8,504 "
32,"Thornton, ID", 4860 feet," $198,396 ",33.2 years, 75.4 ,20.4 years, 103.0 ," $29,903 "," 24,416.", 324 
33,Twin Falls, 3729 feet," $154,364 ",36.1 years, 12.0 ,33.0 years, 85.2 ," $49,917 "," 46,528 (100% urban, 0% rural). "," 3,874 "
