,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Addison, IL", 691 feet," $236,614 ",37.9 years, 9.43 ,35.2 years, 103.6 ," $58,538 "," 37,297 (100% urban, 0% rural). "," 3,954 "
1,"Algonquin, IL", 800 feet," $250,062 ",37.9 years, 9.83 ,39.5 years, 103.1 ," $101,564 "," 30,410 (100% urban, 0% rural). "," 3,093 "
2,Alsip, 600 feet," $174,574 ",37.9 years, 6.37 ,33.8 years, 102.1 ," $56,591 "," 19,427 (100% urban, 0% rural). "," 3,052 "
3,"Alton, IL", 520 feet," $84,837 ",37.9 years, 15.6 ,38.2 years, 88.4 ," $38,102 "," 27,177 (100% urban, 0% rural). "," 1,737 "
4,"Antioch, IL", 770 feet," $212,715 ",37.9 years, 7.38 ,37.8 years, 96.4 ," $84,734 "," 14,411 (100% urban, 0% rural). "," 1,952 "
5,"Arlington Heights, IL", 700 feet," $332,700 ",37.9 years, 16.4 ,43.1 years, 105.9 ," $77,106 "," 74,397"," 4,534 "
6,"Aurora, IL", 676 feet," $176,200 ",37.9 years, 38.5 ,33.5 years, 101.7 ," $66,540 "," 197,107"," 5,116 "
7,"Barrington, IL", 830 feet," $525,747 ",37.9 years, 4.60 ,44.1 years, 105.0 ," $126,301 "," 10,373 (100% urban, 0% rural). "," 2,256 "
8,"Bartlett, IL", 810 feet," $277,803 ",37.9 years, 14.8 ,39.3 years, 103.4 ," $106,009 "," 41,632 (100% urban, 0% rural). "," 2,810 "
9,"Bartonville, IL", 550 feet," $113,276 ",37.9 years, 8.03 ,42.3 years, 85.1 ," $46,630 "," 6,423 (95% urban, 5% rural). ", 800 
10,"Batavia, IL", 716 feet," $300,418 ",37.9 years, 9.05 ,41.8 years, 102.6 ," $92,124 "," 26,424 (100% urban, 0% rural). "," 2,921 "
11,Beach Park, 690 feet," $163,363 ",37.9 years, 6.42 ,40.0 years, 100.7 ," $71,652 "," 13,988 (100% urban, 0% rural). "," 2,179 "
12,"Belleville, IL", 529 feet," $107,041 ",37.9 years, 18.9 ,38.0 years, 88.8 ," $42,569 "," 42,529 (100% urban, 0% rural). "," 2,256 "
13,"Bellwood, IL", 630 feet," $123,705 ",37.9 years, 2.39 ,36.1 years, 102.1 ," $54,000 "," 19,152 (100% urban, 0% rural). "," 8,028 "
14,"Belvidere, IL", 770 feet," $110,214 ",37.9 years, 9.07 ,35.7 years, 85.3 ," $49,004 "," 25,282 (99% urban, 1% rural). "," 2,787 "
