,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Anderson, IN", 887 feet," $72,233 ",37.6 years, 40.0 ,38.2 years, 85.1 ," $34,979 "," 55,455 (99% urban, 1% rural). "," 1,385 "
1,"Angola, IN", 950 feet," $126,701 ",37.6 years, 4.23 ,29.8 years, 79.1 ," $43,285 "," 8,624 (98% urban, 2% rural). "," 2,039 "
2,"Auburn, IN", 869 feet," $111,357 ",37.6 years, 6.65 ,39.9 years, 78.0 ," $47,662 "," 12,834 (99% urban, 1% rural). "," 1,931 "
3,"Avon, IN", 840 feet," $192,648 ",37.6 years, 6.38 ,34.1 years, 88.4 ," $99,828 "," 15,971 (99% urban, 1% rural). "," 2,503 "
4,Bargersville, 819 feet," $164,314 ",37.6 years, 1.09 ,34.0 years, 88.1 ," $75,491 "," 6,627 (97% urban, 3% rural). "," 6,069 "
5,"Batesville, IN", 983 feet," $181,367 ",37.6 years, 5.82 ,42.8 years, 80.6 ," $55,167 "," 6,541 (95% urban, 5% rural). "," 1,123 "
6,"Bedford, IN", 710 feet," $93,561 ",37.6 years, 11.9 ,41.0 years, 78.6 ," $38,260 "," 13,355 (96% urban, 4% rural). "," 1,122 "
7,"Beech Grove, IN", 800 feet," $100,404 ",37.6 years, 4.30 ,36.2 years, 87.9 ," $39,268 "," 14,514 (100% urban, 0% rural). "," 3,377 "
8,"Bloomington, IN", 745 feet," $185,900 ",37.6 years, 19.7 ,23.6 years, 89.4 ," $32,136 "," 86,654"," 4,391 "
9,"Bluffton, IN", 828 feet," $98,143 ",37.6 years, 6.61 ,38.1 years, 82.7 ," $40,436 "," 9,969 (98% urban, 2% rural). "," 1,508 "
10,"Boonville, IN", 430 feet," $92,069 ",37.6 years, 2.95 ,40.9 years, 82.5 ," $42,404 "," 6,164 (97% urban, 3% rural). "," 2,092 "
11,Brazil, 659 feet," $75,126 ",37.6 years, 3.34 ,34.2 years, 83.1 ," $30,632 "," 8,114 (100% urban, 0% rural). "," 2,428 "
12,Brownsburg, 884 feet," $161,243 ",37.6 years, 7.32 ,36.3 years, 89.0 ," $73,595 "," 23,322 (99% urban, 1% rural). "," 3,186 "
13,"Carmel, IN", 829 feet," $315,200 ",37.6 years, 17.8 ,38.4 years, 89.8 ," $113,194 "," 90,533"," 5,083 "
14,"Cedar Lake, IN", 725 feet," $174,431 ",37.6 years, 6.79 ,35.7 years, 96.5 ," $66,548 "," 11,854 (98% urban, 2% rural). "," 1,745 "
15,"Charlestown, IN", 590 feet," $106,165 ",37.6 years, 2.33 ,36.4 years, 86.1 ," $41,889 "," 8,054 (97% urban, 3% rural). "," 3,454 "
16,Chesterton,," $180,773 ",37.6 years, 8.51 ,38.8 years, 96.0 ," $74,123 "," 13,403 (99% urban, 1% rural). "," 1,574 "
17,"Clarksville, IN", 455 feet," $118,314 ",37.6 years, 10.1 ,41.1 years, 86.8 ," $42,157 "," 21,879 (100% urban, 0% rural). "," 2,168 "
18,"Columbia City, IN", 861 feet," $106,881 ",37.6 years, 5.21 ,38.0 years, 83.2 ," $44,770 "," 8,829 (98% urban, 2% rural). "," 1,696 "
19,"Columbus, IN", 640 feet," $156,618 ",37.6 years, 25.9 ,35.4 years, 88.6 ," $59,286 "," 46,124 (98% urban, 2% rural). "," 1,778 "
20,Connersville, 828 feet," $71,503 ",37.6 years, 8.13 ,42.5 years, 77.7 ," $33,356 "," 13,032 (100% urban, 0% rural). "," 1,602 "
21,"Crawfordsville, IN", 769 feet," $93,348 ",37.6 years, 8.38 ,37.0 years, 78.5 ," $38,711 "," 15,988 (100% urban, 0% rural). "," 1,908 "
22,"Crown Point, IN", 735 feet," $186,039 ",37.6 years, 16.6 ,41.4 years, 96.8 ," $69,565 "," 28,623 (98% urban, 2% rural). "," 1,722 "
23,"Danville, IN", 954 feet," $157,133 ",37.6 years, 6.13 ,35.5 years, 88.2 ," $58,623 "," 9,593 (99% urban, 1% rural). "," 1,566 "
24,"Decatur, IN", 794 feet," $97,184 ",37.6 years, 4.92 ,38.9 years, 77.1 ," $42,363 "," 9,432 (98% urban, 2% rural). "," 1,916 "
25,"Dunlap, IN", 777 feet," $134,666 ",37.6 years, 4.23 ,39.5 years, 88.0 ," $69,819 "," 6,235. "," 1,473 "
26,"Dyer, IN", 630 feet," $205,706 ",37.6 years, 5.96 ,45.3 years, 96.9 ," $82,299 "," 16,169 (100% urban, 0% rural). "," 2,713 "
27,East Chicago, 592 feet," $80,606 ",37.6 years, 12.0 ,31.6 years, 95.3 ," $28,751 "," 28,990 (100% urban, 0% rural). "," 2,420 "
28,"Elkhart, IN", 750 feet," $88,229 ",37.6 years, 21.4 ,33.3 years, 87.0 ," $38,792 "," 51,421 (100% urban, 0% rural). "," 2,407 "
29,Ellettsville, 722 feet," $126,671 ",37.6 years, 2.15 ,34.2 years, 86.2 ," $45,559 "," 6,475 (99% urban, 1% rural). "," 3,005 "
30,"Elwood, IN", 865 feet," $70,391 ",37.6 years, 3.55 ,37.0 years, 85.0 ," $36,952 "," 8,480 (100% urban, 0% rural). "," 2,389 "
31,"Evansville, IN", 388 feet," $92,800 ",37.6 years, 40.7 ,35.6 years, 83.1 ," $38,865 "," 119,407"," 2,934 "
32,Fishers, 824 feet," $260,800 ",37.6 years, 21.7 ,35.8 years, 89.6 ," $97,906 "," 88,930"," 4,100 "
33,"Fort Wayne, IN", 781 feet," $108,400 ",37.6 years, 79.0 ,34.9 years, 83.4 ," $45,232 "," 261,342"," 3,310 "
34,"Frankfort, IN", 855 feet," $85,142 ",37.6 years, 5.14 ,34.3 years, 77.6 ," $42,351 "," 16,153 (100% urban, 0% rural). "," 3,142 "
35,"Franklin, IN",," $118,327 ",37.6 years, 11.3 ,38.5 years, 87.7 ," $55,713 "," 24,356 (99% urban, 1% rural). "," 2,163 "
36,"Garrett, IN", 880 feet," $89,618 ",37.6 years, 3.13 ,37.2 years, 78.2 ," $43,536 "," 6,319 (100% urban, 0% rural). "," 2,022 "
37,"Gary, IN", 600 feet," $64,800 ",37.6 years, 50.2 ,38.2 years, 94.8 ," $29,522 "," 74,186"," 1,477 "
38,Gas City, 853 feet," $88,205 ",37.6 years, 3.71 ,40.4 years, 78.9 ," $37,892 "," 6,032 (99% urban, 1% rural). "," 1,624 "
39,"Goshen, IN", 806 feet," $115,059 ",37.6 years, 13.2 ,36.3 years, 87.1 ," $47,809 "," 32,267 (100% urban, 0% rural). "," 2,446 "
40,"Granger, IN", 805 feet," $215,448 ",37.6 years, 26.2 ,42.3 years, 88.4 ," $98,263 "," 30,465. "," 1,162 "
41,"Greencastle, IN", 849 feet," $105,709 ",37.6 years, 5.30 ,26.9 years, 87.5 ," $46,999 "," 10,362 (98% urban, 2% rural). "," 1,956 "
42,"Greenfield, IN", 888 feet," $131,923 ",37.6 years, 8.03 ,37.0 years, 88.0 ," $52,014 "," 21,398 (99% urban, 1% rural). "," 2,664 "
43,"Greensburg, IN", 971 feet," $120,414 ",37.6 years, 4.79 ,37.3 years, 79.7 ," $50,730 "," 11,817 (99% urban, 1% rural). "," 2,465 "
44,"Greenwood, IN",," $143,543 ",37.6 years, 14.3 ,35.5 years, 88.4 ," $56,116 "," 54,491 (99% urban, 1% rural). "," 3,818 "
45,Griffith, 625 feet," $143,694 ",37.6 years, 7.17 ,36.8 years, 96.3 ," $58,614 "," 16,516 (100% urban, 0% rural). "," 2,304 "
46,"Hammond, IN", 585 feet," $87,000 ",37.6 years, 22.9 ,31.7 years, 95.7 ," $46,260 "," 77,131"," 3,371 "
47,"Hartford City, IN", 922 feet," $60,953 ",37.6 years, 3.72 ,40.3 years, 75.6 ," $38,415 "," 6,042 (96% urban, 4% rural). "," 1,624 "
48,"Highland, IN",," $164,974 ",37.6 years, 6.87 ,42.7 years, 97.3 ," $65,634 "," 23,127 (100% urban, 0% rural). "," 3,367 "
49,"Hobart, IN", 632 feet," $146,380 ",37.6 years, 26.2 ,39.6 years, 96.3 ," $62,665 "," 28,635 (94% urban, 6% rural). "," 1,092 "
50,Huntingburg, 475 feet," $105,389 ",37.6 years, 3.63 ,33.1 years, 77.2 ," $48,982 "," 6,042 (91% urban, 9% rural). "," 1,666 "
51,"Huntington, IN", 743 feet," $82,372 ",37.6 years, 8.35 ,35.8 years, 78.0 ," $40,466 "," 17,166 (100% urban, 0% rural). "," 2,057 "
52,"Indianapolis, IN", 717 feet," $128,200 ",37.6 years, 361.5 ,34.1 years, 88.3 ," $44,615 "," 852,506"," 2,358 "
53,"Jasper, IN", 472 feet," $157,924 ",37.6 years, 9.22 ,41.9 years, 78.4 ," $57,268 "," 15,325 (98% urban, 2% rural). "," 1,661 "
54,"Jeffersonville, IN", 450 feet," $133,631 ",37.6 years, 13.6 ,37.9 years, 86.7 ," $50,693 "," 46,440 (100% urban, 0% rural). "," 3,419 "
55,Kendallville, 982 feet," $96,758 ",37.6 years, 5.09 ,37.5 years, 78.4 ," $38,802 "," 9,905 (98% urban, 2% rural). "," 1,947 "
56,Kokomo, 810 feet," $92,750 ",37.6 years, 16.2 ,39.8 years, 85.8 ," $39,771 "," 57,085 (100% urban, 0% rural). "," 3,525 "
57,"La Porte, IN",," $93,376 ",37.6 years, 11.5 ,37.3 years, 85.4 ," $41,184 "," 22,007 (99% urban, 1% rural). "," 1,920 "
58,"Lafayette, IN", 567 feet," $112,800 ",37.6 years, 20.1 ,32.9 years, 88.5 ," $44,734 "," 71,311"," 3,549 "
59,Lake Station, 614 feet," $87,054 ",37.6 years, 8.30 ,35.7 years, 95.7 ," $43,699 "," 12,175 (100% urban, 0% rural). "," 1,467 "
60,Lakes of the Four Seasons, 750 feet," $190,260 ",37.6 years, 2.68 ,42.6 years, 97.7 ," $92,312 "," 7,033. "," 2,624 "
61,"Lawrence, IN", 860 feet," $138,096 ",37.6 years, 20.1 ,34.9 years, 88.0 ," $50,338 "," 47,550 (100% urban, 0% rural). "," 2,368 "
62,"Lebanon, IN", 948 feet," $120,840 ",37.6 years, 7.28 ,40.2 years, 87.5 ," $48,694 "," 15,836 (96% urban, 4% rural). "," 2,175 "
63,"Logansport, IN", 602 feet," $70,330 ",37.6 years, 8.26 ,35.7 years, 77.4 ," $35,356 "," 18,019 (100% urban, 0% rural). "," 2,181 "
64,"Lowell, IN", 684 feet," $161,857 ",37.6 years, 4.08 ,35.4 years, 96.7 ," $66,615 "," 9,402 (97% urban, 3% rural). "," 2,304 "
65,"Madison, IN", 497 feet," $127,447 ",37.6 years, 8.56 ,42.5 years, 79.9 ," $46,693 "," 12,035 (99% urban, 1% rural). "," 1,407 "
66,"Marion, IN", 815 feet," $71,632 ",37.6 years, 13.3 ,35.8 years, 77.9 ," $29,113 "," 29,308 (99% urban, 1% rural). "," 2,204 "
67,"Martinsville, IN", 607 feet," $95,656 ",37.6 years, 4.46 ,40.5 years, 87.4 ," $43,029 "," 11,744 (100% urban, 0% rural). "," 2,631 "
68,Merrillville, 650 feet," $136,923 ",37.6 years, 33.3 ,38.4 years, 96.8 ," $55,287 "," 35,450 (97% urban, 3% rural). "," 1,065 "
69,"Michigan City, IN", 625 feet," $90,565 ",37.6 years, 19.6 ,38.4 years, 85.6 ," $41,928 "," 31,487 (98% urban, 2% rural). "," 1,607 "
70,Mishawaka, 722 feet," $99,955 ",37.6 years, 15.7 ,36.1 years, 85.1 ," $39,989 "," 48,174 (100% urban, 0% rural). "," 3,066 "
71,"Mooresville, IN", 690 feet," $126,624 ",37.6 years, 5.54 ,42.7 years, 87.5 ," $54,097 "," 9,576 (100% urban, 0% rural). "," 1,730 "
72,"Mount Vernon, IN", 398 feet," $98,249 ",37.6 years, 2.46 ,40.9 years, 82.4 ," $52,146 "," 6,573 (100% urban, 0% rural). "," 2,669 "
73,"Muncie, IN", 952 feet," $71,900 ",37.6 years, 24.2 ,29.8 years, 85.2 ," $32,500 "," 68,707"," 2,841 "
74,Munster, 600 feet," $228,813 ",37.6 years, 7.54 ,44.6 years, 98.2 ," $74,760 "," 23,103 (100% urban, 0% rural). "," 3,064 "
75,Nappanee, 878 feet," $123,315 ",37.6 years, 3.69 ,32.6 years, 86.8 ," $51,875 "," 6,715 (100% urban, 0% rural). "," 1,820 "
76,"New Albany, IN", 467 feet," $115,107 ",37.6 years, 14.6 ,38.4 years, 87.0 ," $42,243 "," 36,589 (100% urban, 0% rural). "," 2,502 "
77,"New Castle, IN", 1058 feet," $73,314 ",37.6 years, 5.95 ,42.1 years, 77.6 ," $36,227 "," 17,653 (100% urban, 0% rural). "," 2,966 "
78,"New Haven, IN", 758 feet," $100,041 ",37.6 years, 8.15 ,36.8 years, 83.6 ," $48,197 "," 15,608 (100% urban, 0% rural). "," 1,915 "
79,Noblesville, 772 feet," $188,382 ",37.6 years, 17.9 ,33.7 years, 88.9 ," $71,910 "," 57,584 (99% urban, 1% rural). "," 3,214 "
80,North Vernon, 725 feet," $90,684 ",37.6 years, 4.39 ,37.8 years, 77.6 ," $42,789 "," 6,636 (99% urban, 1% rural). "," 1,512 "
81,"Peru, IN", 656 feet," $65,322 ",37.6 years, 4.62 ,37.2 years, 77.1 ," $33,613 "," 11,079 (99% urban, 1% rural). "," 2,401 "
82,"Plainfield, IN",," $155,130 ",37.6 years, 18.0 ,37.0 years, 88.8 ," $65,837 "," 30,409 (99% urban, 1% rural). "," 1,691 "
83,"Plymouth, IN", 799 feet," $95,585 ",37.6 years, 6.96 ,33.8 years, 78.6 ," $34,730 "," 10,095 (99% urban, 1% rural). "," 1,451 "
84,"Portage, IN", 644 feet," $143,354 ",37.6 years, 25.5 ,39.0 years, 96.7 ," $55,171 "," 36,760 (100% urban, 0% rural). "," 1,444 "
85,"Portland, IN", 908 feet," $73,847 ",37.6 years, 4.11 ,34.8 years, 76.7 ," $36,713 "," 6,204 (94% urban, 6% rural). "," 1,510 "
86,"Princeton, IN", 500 feet," $85,036 ",37.6 years, 4.85 ,34.8 years, 82.3 ," $41,483 "," 8,608 (99% urban, 1% rural). "," 1,775 "
87,Purdue University,," $151,100
",37.6 years,,19.9 years, 89.6 ," $51,361"," 12,183.",
88,"Richmond, IN", 966 feet," $85,721 ",37.6 years, 23.2 ,38.7 years, 77.9 ," $33,727 "," 36,159 (99% urban, 1% rural). "," 1,558 "
89,"Rochester, IN", 779 feet," $92,921 ",37.6 years, 4.56 ,44.1 years, 77.8 ," $40,533 "," 6,119 (98% urban, 2% rural). "," 1,343 "
90,"Rushville, IN", 966 feet," $87,167 ",37.6 years, 2.25 ,39.9 years, 78.0 ," $38,760 "," 6,158 (100% urban, 0% rural). "," 2,741 "
91,"Salem, IN",," $89,192 ",37.6 years, 3.89 ,39.7 years, 85.6 ," $34,254 "," 6,236 (98% urban, 2% rural). "," 1,603 "
92,Schererville, 626 feet," $223,547 ",37.6 years, 13.6 ,42.1 years, 97.2 ," $73,316 "," 28,926 (100% urban, 0% rural). "," 2,125 "
93,"Scottsburg, IN", 570 feet," $105,389 ",37.6 years, 4.80 ,38.9 years, 79.4 ," $45,506 "," 6,662 (99% urban, 1% rural). "," 1,387 "
94,Sellersburg, 500 feet," $161,519 ",37.6 years, 4.01 ,35.1 years, 87.5 ," $65,106 "," 8,066 (94% urban, 6% rural). "," 2,014 "
95,"Seymour, IN", 605 feet," $115,512 ",37.6 years, 10.8 ,36.9 years, 79.8 ," $45,789 "," 19,094 (100% urban, 0% rural). "," 1,762 "
96,"Shelbyville, IN", 764 feet," $103,258 ",37.6 years, 8.87 ,36.9 years, 87.6 ," $43,860 "," 19,163 (100% urban, 0% rural). "," 2,160 "
