,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Alexandria, KY",," $166,318 ",38.7 years, 5.38 ,39.6 years, 89.6 ," $81,964 "," 8,790 (99% urban, 1% rural). "," 1,632 "
1,Ashland Rural,," $119,346 ",35.9 years, 30.1 ,38.2 years, 86.5 ," $51,237 "," 7,942.", 264 
2,"Ashland, KY", 558 feet," $100,436 ",38.7 years, 11.1 ,39.3 years, 82.7 ," $41,381 "," 21,335 (100% urban, 0% rural). "," 1,926 "
3,Bardstown, 647 feet," $131,944 ",38.7 years, 7.18 ,33.1 years, 88.0 ," $42,017 "," 12,998 (99% urban, 1% rural). "," 1,811 "
4,"Berea, KY", 1034 feet," $136,689 ",38.7 years, 9.33 ,30.4 years, 83.5 ," $40,263 "," 14,658 (94% urban, 6% rural). "," 1,570 "
5,"Bowling Green, KY",," $145,800 ",38.7 years, 35.4 ,28.3 years, 88.2 ," $37,305 "," 65,239"," 1,843 "
6,Buechel, 500 feet," $144,427 ",35.9 years, 2.52 ,36.5 years, 93.9 ," $46,975 "," 7,457."," 2,964 "
7,"Burlington, KY", 846 feet," $162,974 ",38.7 years, 8.45 ,35.5 years, 90.2 ," $67,231 "," 15,926. "," 1,885 "
8,Campbellsville,," $94,845 ",38.7 years, 5.96 ,32.8 years, 81.8 ," $27,835 "," 11,282 (99% urban, 1% rural). "," 1,892 "
9,Cannonsburg, 600 feet," $120,832 ",35.9 years, 76.0 ,37.4 years, 85.9 ," $57,298 "," 7,592.", 100 
10,"Cold Spring, KY", 859 feet," $204,691 ",38.7 years, 4.75 ,47.1 years, 91.4 ," $75,436 "," 6,161 (97% urban, 3% rural). "," 1,298 "
11,Corbin,," $98,286 ",38.7 years, 7.40 ,37.7 years, 81.5 ," $30,834 "," 7,308 (99% urban, 1% rural). ", 987 
12,"Covington, KY",," $103,145 ",38.7 years, 13.1 ,36.3 years, 89.6 ," $41,102 "," 40,944 (100% urban, 0% rural). "," 3,117 "
