,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Abbeville, LA", 18 feet," $85,233 ",36.5 years, 5.65 ,32.1 years, 81.0 ," $29,435 "," 12,446 (98% urban, 2% rural). "," 2,203 "
1,"Alexandria, LA", 82 feet," $139,294 ",36.5 years, 26.4 ,38.4 years, 84.5 ," $36,315 "," 48,175 (100% urban, 0% rural). "," 1,824 "
2,"Baker, LA", 80 feet," $125,822 ",36.5 years, 7.89 ,36.4 years, 90.3 ," $41,386 "," 13,776 (98% urban, 2% rural). "," 1,745 "
3,"Bastrop, LA", 126 feet," $68,186 ",36.5 years, 8.41 ,34.1 years, 79.4 ," $21,660 "," 10,881 (99% urban, 1% rural). "," 1,293 "
4,"Baton Rouge, LA", 53 feet," $166,100 ",36.5 years, 76.8 ,31.0 years, 91.1 ," $38,470 "," 227,707"," 2,963 "
5,Bayou Blue,," $153,700
",36.5 years,,34.4 years, 86.0 ," $51,772"," 12,352.",
6,Bayou Cane, 5 feet," $168,451 ",36.5 years, 7.64 ,34.7 years, 86.4 ," $49,736 "," 19,355. "," 2,534 "
7,Belle Chasse, 3 feet," $270,507 ",36.5 years, 25.0 ,34.6 years, 98.5 ," $56,600 "," 12,679. ", 507 
8,Bogalusa, 101 feet," $71,382 ",36.5 years, 9.49 ,36.4 years, 79.2 ," $23,342 "," 11,926 (97% urban, 3% rural). "," 1,256 "
9,Bossier City, 170 feet," $163,900 ",36.5 years, 40.8 ,33.0 years, 86.6 ," $46,268 "," 68,485"," 1,677 "
10,Breaux Bridge, 23 feet," $175,047 ",36.5 years, 6.55 ,35.6 years, 86.5 ," $35,248 "," 8,327 (94% urban, 6% rural). "," 1,271 "
11,"Bridge City, LA", 5 feet," $94,918 ",36.5 years, 4.37 ,35.2 years, 95.7 ," $30,692 "," 7,706. "," 1,763 "
12,Broussard,," $207,786 ",36.5 years, 11.4 ,35.9 years, 85.4 ," $67,899 "," 10,356 (91% urban, 9% rural). ", 909 
13,Brownsville-Bawcomville,," $81,146 ",34.0 years, 6.65 ,34.6 years, 87.0 ," $29,496 "," 7,751."," 1,166 "
14,Carencro, 40 feet," $159,148 ",36.5 years, 6.08 ,33.5 years, 85.7 ," $36,658 "," 8,453 (99% urban, 1% rural). "," 1,389 "
15,"Central, LA",," $180,400
",36.5 years,,41.1 years, 90.6 ," $50,508"," 28,119 (66% urban, 34% rural).",
16,Chalmette, 7 feet," $143,617 ",36.5 years, 7.34 ,32.3 years, 96.0 ," $42,109 "," 16,751. "," 2,282 "
17,Claiborne, 140 feet," $156,551 ",36.5 years, 10.1 ,37.8 years, 85.8 ," $51,108 "," 11,507. "," 1,138 "
18,"Covington, LA", 26 feet," $216,958 ",36.5 years, 6.80 ,35.3 years, 96.8 ," $56,555 "," 9,686 (97% urban, 3% rural). "," 1,425 "
