,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Abington, 108 feet," $327,153 ",39.5 years, 9.94 ,41.1 years, 134.1 ," $81,412 "," 15,985. "," 1,608 "
1,"Acton, MA", 260 feet," $620,906 ",39.2 years, 20.0 ,41.9 years, 148.7 ," $143,488 "," 21,924. "," 1,098 "
2,Acushnet, 72 feet," $271,124 ",39.2 years, 18.5 ,43.6 years, 137.9 ," $78,177 "," 10,303. ", 558 
3,Agawam Town,," $198,700
",39.5 years,,45.3 years, 119.8 ," $51,544"," 28,772 (96% urban, 4% rural).",
4,Agawam, 90 feet," $224,914 ",36.5 years, 23.2 ,40.3 years, 127.8 ," $64,096 "," 28,616. "," 1,231 "
5,Amesbury Town,," $384,400
",39.5 years,,44.0 years, 131.8 ," $73,901"," 16,794 (100% urban, 0% rural).",
6,Amesbury, 50 feet," $309,862 ",36.5 years, 5.31 ,36.1 years, 145.2 ," $71,696 "," 12,457."," 2,346 "
7,Amherst Center,," $362,772 ",39.5 years, 4.89 ,20.7 years, 116.8 ," $33,017 "," 19,065. "," 3,896 "
8,"Amherst, MA", 295 feet," $356,117 ",39.2 years, 27.7 ,21.6 years, 122.5 ," $55,865 "," 37,819. "," 1,364 "
9,"Andover, MA", 180 feet," $530,115 ",39.5 years, 3.70 ,39.6 years, 137.3 ," $87,431 "," 8,762. "," 2,366 "
10,"Arlington, MA", 46 feet," $603,972 ",39.5 years, 5.18 ,41.6 years, 140.7 ," $104,969 "," 42,844. "," 8,267 "
11,Ashburnham, 1028 feet," $250,030 ",39.2 years, 38.7 ,40.8 years, 127.8 ," $80,432 "," 6,081. ", 157 
12,"Ashland, MA", 188 feet," $409,509 ",39.2 years, 12.4 ,40.1 years, 143.7 ," $107,106 "," 16,593. "," 1,334 "
13,"Athol, MA", 546 feet," $140,528 ",39.5 years, 8.30 ,39.5 years, 124.9 ," $45,110 "," 8,265. ", 995 
14,Attleboro, 138 feet," $288,030 ",39.5 years, 27.5 ,40.0 years, 131.3 ," $77,586 "," 43,970 (100% urban, 0% rural). "," 1,598 "
15,"Auburn, MA", 603 feet," $255,893 ",39.2 years, 15.4 ,43.7 years, 134.7 ," $74,910 "," 16,188. "," 1,054 "
16,Barnstable Town,," $367,269 ",36.5 years, 60.0 ,42.3 years, 128.2 ," $69,196 "," 47,607.", 793 
17,"Bedford, MA", 135 feet," $641,030 ",39.2 years, 13.7 ,45.1 years, 151.4 ," $137,753 "," 13,320. ", 970 
18,"Belmont, MA", 44 feet," $785,561 ",39.5 years, 4.66 ,41.3 years, 142.2 ," $122,129 "," 24,729. "," 5,305 "
19,"Berkley, MA", 80 feet," $330,451 ",39.2 years, 16.5 ,40.1 years, 131.9 ," $100,636 "," 6,411. ", 388 
20,"Beverly, MA", 26 feet," $401,275 ",39.5 years, 16.6 ,40.6 years, 136.2 ," $76,980 "," 40,952 (99% urban, 1% rural). "," 2,467 "
21,Billerica, 250 feet," $393,488 ",39.2 years, 25.9 ,40.1 years, 144.6 ," $106,177 "," 40,243. "," 1,555 "
22,"Blackstone, MA", 186 feet," $274,050 ",39.2 years, 10.9 ,39.8 years, 134.0 ," $79,845 "," 9,026. ", 828 
23,"Boston, MA", 20 feet," $495,400 ",39.5 years, 48.4 ,32.1 years, 145.6 ," $63,621 "," 672,840"," 13,894 "
24,Braintree Town,," $446,100
",39.5 years,,41.8 years, 133.3 ," $92,696"," 37,362 (100% urban, 0% rural).",
25,"Braintree, MA", 90 feet," $413,828 ",36.5 years, 13.4 ,40.0 years, 147.2 ," $90,343 "," 33,951."," 2,533 "
26,"Bridgewater, MA", 104 feet," $298,502 ",39.5 years, 2.20 ,22.3 years, 136.4 ," $59,224 "," 7,841. "," 3,564 "
27,"Brockton, MA", 112 feet," $242,300 ",39.5 years, 21.5 ,35.6 years, 134.5 ," $50,034 "," 95,623"," 4,454 "
28,"Brookline, MA", 50 feet," $817,203 ",39.5 years, 6.79 ,33.6 years, 147.4 ," $104,972 "," 58,732. "," 8,649 "
29,"Burlington, MA", 218 feet," $485,342 ",39.5 years, 11.8 ,42.5 years, 138.0 ," $98,589 "," 24,498. "," 2,074 "
30,"Cambridge, MA", 30 feet," $739,800 ",39.5 years, 6.43 ,30.2 years, 151.0 ," $86,657 "," 110,644"," 17,211 "
31,"Canton, MA", 100 feet," $500,608 ",39.2 years, 18.9 ,42.3 years, 150.1 ," $101,213 "," 21,561. "," 1,139 "
