,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Aberdeen, MD", 83 feet," $196,753 ",38.5 years, 6.39 ,40.6 years, 105.8 ," $53,958 "," 15,434 (99% urban, 1% rural). "," 2,415 "
1,Accokeek, 190 feet," $371,417 ",38.5 years, 22.4 ,43.2 years, 132.2 ," $126,961 "," 10,573. ", 472 
2,"Adelphi, MD", 174 feet," $274,450 ",38.5 years, 2.96 ,35.6 years, 133.7 ," $66,117 "," 15,086. "," 5,098 "
3,Annapolis Neck,," $359,600
",38.5 years,,49.1 years, 109.5 ," $96,483"," 10,950.",
4,"Annapolis, MD", 40 feet," $400,712 ",38.5 years, 6.73 ,37.3 years, 110.4 ," $77,871 "," 38,856 (100% urban, 0% rural). "," 5,774 "
5,Arbutus, 140 feet," $234,958 ",38.5 years, 6.50 ,34.8 years, 106.1 ," $76,588 "," 20,483. "," 3,150 "
6,"Arnold, MD", 120 feet," $430,245 ",38.5 years, 10.8 ,40.4 years, 108.5 ," $115,392 "," 23,106. "," 2,139 "
7,Aspen Hill, 330 feet," $413,938 ",38.5 years, 10.5 ,38.0 years, 119.2 ," $80,103 "," 48,759. "," 4,659 "
8,Ballenger Creek,," $254,933 ",38.5 years, 5.59 ,34.9 years, 113.0 ," $80,888 "," 18,274. "," 3,269 "
9,Baltimore Highlands, 83 feet," $256,800
",38.5 years,,31.1 years, 106.1 ," $72,764"," 7,019.",
10,"Baltimore, MD", 100 feet," $153,500 ",38.5 years, 80.8 ,34.9 years, 105.7 ," $47,350 "," 614,664"," 7,607 "
11,Bel Air North,," $312,888 ",38.5 years, 16.4 ,41.1 years, 106.5 ," $102,194 "," 30,568. "," 1,869 "
12,Bel Air South,," $273,638 ",38.5 years, 15.7 ,39.3 years, 105.5 ," $90,785 "," 47,709. "," 3,037 "
13,Bel Air, 385 feet," $243,873 ",38.5 years, 2.81 ,42.6 years, 106.2 ," $72,420 "," 10,264 (100% urban, 0% rural). "," 3,649 "
14,Beltsville, 172 feet," $285,998 ",38.5 years, 6.63 ,36.6 years, 132.9 ," $79,168 "," 16,772. "," 2,530 "
15,Bennsville, 180 feet," $390,630 ",34.4 years, 17.0 ,37.8 years, 142.8 ," $128,349 "," 11,923. ", 703 
16,"Bethesda, MD", 303 feet," $887,172 ",38.5 years, 13.1 ,43.8 years, 127.2 ," $145,803 "," 60,858. "," 4,630 "
