,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Adrian, MI", 770 feet," $79,109 ",39.7 years, 7.14 ,34.4 years, 81.5 ," $35,722 "," 20,840 (100% urban, 0% rural). "," 2,921 "
1,"Albion, MI", 959 feet," $65,200 ",39.7 years, 4.46 ,29.7 years, 81.9 ," $29,273 "," 8,267 (99% urban, 1% rural). "," 1,854 "
2,Allen Park, 595 feet," $122,197 ",39.7 years, 7.01 ,42.6 years, 88.7 ," $68,074 "," 27,566 (100% urban, 0% rural). "," 3,932 "
3,"Allendale, MI", 650 feet," $176,694 ",39.7 years, 22.8 ,21.2 years, 85.9 ," $46,139 "," 17,579. ", 770 
4,"Alma, MI", 736 feet," $91,736 ",39.7 years, 5.36 ,32.2 years, 78.0 ," $36,302 "," 9,232 (96% urban, 4% rural). "," 1,722 "
5,"Alpena, MI", 590 feet," $88,053 ",39.7 years, 8.38 ,41.8 years, 77.3 ," $36,670 "," 10,247 (98% urban, 2% rural). "," 1,223 "
6,"Ann Arbor, MI",," $297,700 ",39.7 years, 27.0 ,28.0 years, 96.3 ," $60,745 "," 120,777"," 4,471 "
7,Auburn Hills, 975 feet," $141,788 ",39.7 years, 16.6 ,30.3 years, 89.7 ," $55,277 "," 21,845 (100% urban, 0% rural). "," 1,315 "
8,"Battle Creek, MI", 840 feet," $92,358 ",39.7 years, 42.8 ,36.0 years, 82.7 ," $39,260 "," 51,833 (99% urban, 1% rural). "," 1,210 "
9,"Bay City, MI", 600 feet," $70,899 ",39.7 years, 10.4 ,37.0 years, 80.5 ," $33,288 "," 34,149 (100% urban, 0% rural). "," 3,281 "
10,"Beecher, MI", 800 feet," $38,545 ",39.7 years, 5.92 ,30.7 years, 79.9 ," $24,376 "," 10,232. "," 1,727 "
11,Benton Harbor, 590 feet," $55,161 ",39.7 years, 4.39 ,32.5 years, 81.7 ," $19,417 "," 10,018 (100% urban, 0% rural). "," 2,281 "
12,"Berkley, MI", 660 feet," $186,785 ",39.7 years, 2.62 ,37.8 years, 90.7 ," $76,370 "," 15,273 (100% urban, 0% rural). "," 5,827 "
13,"Beverly Hills, MI",," $375,211 ",39.7 years, 4.01 ,44.0 years, 92.1 ," $111,421 "," 10,448 (100% urban, 0% rural). "," 2,606 "
14,Big Rapids, 282 feet," $101,750 ",39.7 years, 4.25 ,22.3 years, 79.3 ," $25,339 "," 10,443 (98% urban, 2% rural). "," 2,460 "
15,"Birmingham, MI", 770 feet," $514,421 ",39.7 years, 4.78 ,41.1 years, 94.3 ," $115,880 "," 20,757 (100% urban, 0% rural). "," 4,345 "
16,Bloomfield Township,," $442,086 ",35.5 years, 24.9 ,45.2 years, 100.3 ," $120,702 "," 43,211."," 1,733 "
17,"Bridgeport, MI", 600 feet," $76,815 ",39.7 years, 8.34 ,46.7 years, 82.5 ," $40,190 "," 6,950. ", 834 
