,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Albert Lea,," $105,292 ",37.9 years, 10.8 ,44.0 years, 76.9 ," $43,715 "," 17,815 (98% urban, 2% rural). "," 1,652 "
1,"Albertville, MN", 960 feet," $214,347 ",37.9 years, 4.38 ,32.1 years, 110.9 ," $91,183 "," 7,281 (99% urban, 1% rural). "," 1,662 "
2,"Alexandria, MN", 1400 feet," $177,514 ",37.9 years, 8.89 ,38.4 years, 80.3 ," $45,803 "," 11,680 (98% urban, 2% rural). "," 1,314 "
3,"Andover, MN", 891 feet," $269,334 ",37.9 years, 34.1 ,38.7 years, 114.1 ," $104,387 "," 31,996 (90% urban, 10% rural). ", 938 
4,"Anoka, MN", 870 feet," $186,908 ",37.9 years, 6.67 ,40.8 years, 112.5 ," $50,811 "," 17,276 (100% urban, 0% rural). "," 2,589 "
5,"Apple Valley, MN", 955 feet," $239,055 ",37.9 years, 17.3 ,39.2 years, 112.9 ," $84,897 "," 50,487 (100% urban, 0% rural). "," 2,912 "
6,Arden Hills,," $311,808 ",37.9 years, 8.88 ,36.3 years, 114.5 ," $96,097 "," 9,876 (100% urban, 0% rural). "," 1,113 "
7,"Austin, MN", 1210 feet," $109,052 ",37.9 years, 10.8 ,37.8 years, 77.5 ," $47,234 "," 24,716 (100% urban, 0% rural). "," 2,299 "
8,"Baxter, MN", 1208 feet," $211,136 ",37.9 years, 17.3 ,41.3 years, 80.8 ," $63,387 "," 7,826 (77% urban, 23% rural). ", 452 
9,"Belle Plaine, MN", 850 feet," $193,477 ",37.9 years, 4.06 ,35.6 years, 111.0 ," $73,449 "," 6,902 (93% urban, 7% rural). "," 1,699 "
10,Bemidji, 1360 feet," $138,582 ",37.9 years, 11.8 ,27.9 years, 80.5 ," $34,949 "," 14,453 (92% urban, 8% rural). "," 1,227 "
11,"Big Lake, MN", 942 feet," $177,576 ",37.9 years, 3.59 ,30.6 years, 103.1 ," $69,797 "," 10,360 (97% urban, 3% rural). "," 2,885 "
12,"Blaine, MN", 900 feet," $210,633 ",37.9 years, 33.9 ,37.4 years, 112.4 ," $83,123 "," 61,190 (98% urban, 2% rural). "," 1,808 "
13,"Bloomington, MN", 830 feet," $237,600 ",37.9 years, 35.5 ,42.6 years, 113.2 ," $68,108 "," 85,337"," 2,405 "
14,Brainerd, 1210 feet," $117,679 ",37.9 years, 7.97 ,32.8 years, 79.7 ," $33,366 "," 13,425 (95% urban, 5% rural). "," 1,684 "
15,Brooklyn Center, 860 feet," $153,003 ",37.9 years, 7.94 ,32.4 years, 112.6 ," $48,591 "," 30,729 (100% urban, 0% rural). "," 3,868 "
16,"Brooklyn Park, MN", 870 feet," $204,700 ",37.9 years, 26.1 ,33.4 years, 112.4 ," $61,734 "," 79,708"," 3,059 "
17,"Buffalo, MN", 967 feet," $204,172 ",37.9 years, 6.03 ,34.7 years, 111.6 ," $65,659 "," 15,912 (100% urban, 0% rural). "," 2,641 "
18,"Burnsville, MN", 975 feet," $235,986 ",37.9 years, 24.9 ,36.3 years, 113.2 ," $67,374 "," 61,630 (100% urban, 0% rural). "," 2,478 "
19,"Cambridge, MN", 962 feet," $144,997 ",37.9 years, 6.17 ,36.1 years, 112.2 ," $45,871 "," 8,323 (99% urban, 1% rural). "," 1,348 "
20,Champlin, 850 feet," $224,804 ",37.9 years, 8.18 ,37.5 years, 112.4 ," $88,011 "," 23,828 (100% urban, 0% rural). "," 2,914 "
21,Chanhassen, 976 feet," $363,914 ",37.9 years, 20.8 ,39.3 years, 113.2 ," $120,421 "," 24,967 (97% urban, 3% rural). "," 1,202 "
22,Chaska, 728 feet," $260,994 ",37.9 years, 13.7 ,36.7 years, 112.4 ," $79,975 "," 24,838 (96% urban, 4% rural). "," 1,809 "
23,Cloquet, 1204 feet," $157,716 ",37.9 years, 35.2 ,35.9 years, 97.5 ," $50,748 "," 12,081 (84% urban, 16% rural). ", 343 
24,Columbia Heights,," $172,984 ",37.9 years, 3.45 ,36.2 years, 113.4 ," $50,750 "," 19,675 (100% urban, 0% rural). "," 5,704 "
25,"Coon Rapids, MN", 850 feet," $190,695 ",37.9 years, 22.7 ,38.1 years, 112.6 ," $68,975 "," 62,112 (100% urban, 0% rural). "," 2,740 "
26,"Cottage Grove, MN", 810 feet," $234,705 ",37.9 years, 34.0 ,35.6 years, 112.6 ," $89,035 "," 35,630 (93% urban, 7% rural). "," 1,048 "
27,"Crookston, MN",," $110,269 ",37.9 years, 4.94 ,31.9 years, 96.5 ," $51,005 "," 7,920 (99% urban, 1% rural). "," 1,604 "
28,"Crystal, MN", 890 feet," $174,423 ",37.9 years, 5.78 ,39.3 years, 112.5 ," $63,351 "," 22,605 (100% urban, 0% rural). "," 3,913 "
29,Detroit Lakes, 1330 feet," $179,173 ",37.9 years, 7.50 ,39.8 years, 82.0 ," $38,501 "," 8,961 (90% urban, 10% rural). "," 1,196 "
30,"Duluth, MN", 700 feet," $154,500 ",37.9 years, 68.0 ,32.6 years, 97.9 ," $48,126 "," 86,300"," 1,269 "
31,Eagan, 955 feet," $274,400 ",37.9 years, 32.3 ,38.6 years, 113.1 ," $81,552 "," 66,431"," 2,057 "
32,East Bethel, 910 feet," $234,247 ",37.9 years, 44.9 ,39.2 years, 97.2 ," $93,753 "," 11,642 (9% urban, 91% rural). ", 260 
33,East Grand Forks,," $188,795 ",37.9 years, 5.00 ,34.4 years, 98.1 ," $56,515 "," 8,651 (97% urban, 3% rural). "," 1,732 "
34,Eden Prairie, 880 feet," $349,064 ",37.9 years, 32.4 ,39.8 years, 113.7 ," $105,868 "," 63,228 (99% urban, 1% rural). "," 1,952 "
35,"Edina, MN", 900 feet," $463,926 ",37.9 years, 15.7 ,45.0 years, 116.5 ," $96,185 "," 49,596 (100% urban, 0% rural). "," 3,149 "
36,"Elk River, MN", 900 feet," $238,358 ",37.9 years, 42.7 ,36.4 years, 103.8 ," $89,573 "," 23,746 (82% urban, 18% rural). ", 557 
37,"Fairmont, MN", 1180 feet," $129,292 ",37.9 years, 14.6 ,46.1 years, 76.8 ," $49,359 "," 10,328 (90% urban, 10% rural). ", 709 
38,Faribault,," $154,198 ",37.9 years, 12.7 ,37.6 years, 75.7 ," $56,580 "," 23,594 (98% urban, 2% rural). "," 1,864 "
