,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Affton, 609 feet," $148,644 ",38.4 years, 4.58 ,40.7 years, 89.2 ," $59,226 "," 20,307. "," 4,430 "
1,"Arnold, MO", 605 feet," $151,658 ",38.4 years, 11.2 ,39.5 years, 89.0 ," $63,994 "," 21,243 (100% urban, 0% rural). "," 1,889 "
2,"Aurora, MO", 1368 feet," $81,919 ",38.4 years, 5.49 ,38.4 years, 77.4 ," $36,852 "," 7,450 (97% urban, 3% rural). "," 1,358 "
3,Ballwin, 659 feet," $256,415 ",38.4 years, 8.95 ,42.2 years, 90.4 ," $88,573 "," 30,505 (100% urban, 0% rural). "," 3,408 "
4,Bellefontaine Neighbors, 453 feet," $74,860 ",38.4 years, 4.38 ,37.6 years, 88.9 ," $39,397 "," 10,807 (100% urban, 0% rural). "," 2,467 "
5,"Belton, MO", 1102 feet," $129,622 ",38.4 years, 13.4 ,35.2 years, 86.8 ," $60,222 "," 23,165 (98% urban, 2% rural). "," 1,729 "
6,"Berkeley, MO", 535 feet," $70,880 ",38.4 years, 4.93 ,32.8 years, 89.1 ," $30,990 "," 9,084 (100% urban, 0% rural). "," 1,842 "
7,Black Jack, 596 feet," $128,746 ",38.4 years, 2.66 ,39.5 years, 88.0 ," $54,792 "," 6,935 (100% urban, 0% rural). "," 2,607 "
8,"Blue Springs, MO", 972 feet," $160,282 ",38.4 years, 18.2 ,34.6 years, 86.9 ," $69,480 "," 53,573 (100% urban, 0% rural). "," 2,945 "
9,"Bolivar, MO", 1056 feet," $122,664 ",38.4 years, 6.27 ,28.8 years, 82.5 ," $40,165 "," 10,572 (94% urban, 6% rural). "," 1,687 "
10,Bonne Terre, 830 feet," $83,761 ",38.4 years, 4.04 ,32.3 years, 77.0 ," $51,992 "," 7,031 (96% urban, 4% rural). "," 1,741 "
