,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Amory, 243 feet," $117,779 ",37.2 years, 7.50 ,41.3 years, 80.8 ," $37,325 "," 7,107 (90% urban, 10% rural). ", 947 
1,"Batesville, MS", 221 feet," $135,128 ",37.2 years, 11.1 ,34.3 years, 81.2 ," $51,873 "," 7,439 (90% urban, 10% rural). ", 667 
2,Bay St. Louis, 25 feet," $162,499 ",37.2 years, 6.12 ,39.6 years, 88.3 ," $42,048 "," 11,388 (95% urban, 5% rural). "," 1,862 "
3,Biloxi, 25 feet," $151,470 ",37.2 years, 38.0 ,34.2 years, 88.1 ," $39,150 "," 44,984 (91% urban, 9% rural). "," 1,183 "
4,"Booneville, MS", 546 feet," $110,560 ",37.2 years, 25.7 ,31.0 years, 81.7 ," $31,258 "," 8,804 (69% urban, 31% rural). ", 343 
5,"Brandon, MS", 486 feet," $171,747 ",37.2 years, 21.3 ,38.3 years, 85.1 ," $75,051 "," 23,156 (95% urban, 5% rural). "," 1,089 "
6,"Brookhaven, MS", 487 feet," $113,146 ",37.2 years, 7.33 ,36.3 years, 82.6 ," $30,945 "," 12,470 (85% urban, 15% rural). "," 1,702 "
7,"Byram, MS", 265 feet," $127,744 ",37.2 years, 17.8 ,34.3 years, 86.2 ," $64,144 "," 11,556 (88% urban, 12% rural). ", 648 
8,"Canton, MS", 250 feet," $126,473 ",37.2 years, 18.6 ,35.6 years, 84.8 ," $41,390 "," 13,713 (93% urban, 7% rural). ", 737 
9,"Clarksdale, MS", 180 feet," $66,918 ",37.2 years, 13.8 ,32.9 years, 78.7 ," $30,058 "," 17,011 (96% urban, 4% rural). "," 1,229 "
10,"Cleveland, MS", 140 feet," $110,236 ",37.2 years, 7.31 ,34.4 years, 83.4 ," $32,019 "," 12,412 (98% urban, 2% rural). "," 1,697 "
