,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Aberdeen, NC", 339 feet," $180,503 ",38.7 years, 6.16 ,34.6 years, 83.6 ," $49,488 "," 7,131 (98% urban, 2% rural). "," 1,157 "
1,Albemarle, 520 feet," $122,550 ",38.7 years, 15.7 ,42.8 years, 82.3 ," $36,545 "," 15,976 (99% urban, 1% rural). "," 1,018 "
2,Apex, 550 feet," $309,282 ",38.7 years, 10.5 ,36.3 years, 95.4 ," $102,673 "," 43,907 (100% urban, 0% rural). "," 4,167 "
3,Archdale, 869 feet," $132,223 ",38.7 years, 7.83 ,43.3 years, 90.6 ," $54,933 "," 11,539 (100% urban, 0% rural). "," 1,475 "
4,Asheboro, 800 feet," $109,432 ",38.7 years, 15.3 ,39.6 years, 90.8 ," $35,548 "," 25,886 (99% urban, 1% rural). "," 1,687 "
5,Asheville, 2134 feet," $251,300 ",38.7 years, 40.9 ,39.8 years, 94.2 ," $45,814 "," 89,098"," 2,177 "
6,"Belmont, NC",," $169,634 ",38.7 years, 8.08 ,39.9 years, 90.8 ," $66,338 "," 10,456 (99% urban, 1% rural). "," 1,294 "
7,Black Mountain, 2400 feet," $229,702 ",38.7 years, 6.44 ,51.9 years, 92.6 ," $45,179 "," 8,145 (96% urban, 4% rural). "," 1,264 "
8,"Boone, NC", 3266 feet," $270,578 ",38.7 years, 5.84 ,21.4 years, 103.1 ," $15,435 "," 18,130 (99% urban, 1% rural). "," 3,105 "
9,Brevard, 2230 feet," $208,882 ",38.7 years, 4.81 ,45.5 years, 86.9 ," $40,221 "," 7,692 (97% urban, 3% rural). "," 1,601 "
10,"Burlington, NC", 663 feet," $128,908 ",38.7 years, 21.3 ,38.9 years, 91.9 ," $39,519 "," 51,812 (100% urban, 0% rural). "," 2,435 "
11,Butner, 340 feet," $133,920 ",38.7 years, 6.63 ,41.5 years, 82.9 ," $48,892 "," 7,718 (91% urban, 9% rural). "," 1,164 "
12,Carolina Beach, 5 feet," $306,603 ",38.7 years, 2.25 ,45.0 years, 97.2 ," $59,733 "," 6,042 (100% urban, 0% rural). "," 2,682 "
13,Carrboro, 460 feet," $352,562 ",38.7 years, 4.47 ,31.6 years, 96.8 ," $58,146 "," 20,984 (100% urban, 0% rural). "," 4,694 "
14,"Cary, NC", 480 feet," $332,800 ",38.7 years, 42.1 ,40.5 years, 95.4 ," $100,167 "," 164,007"," 3,896 "
15,"Chapel Hill, NC",," $421,197 ",38.7 years, 19.8 ,26.6 years, 97.2 ," $71,033 "," 59,376 (99% urban, 1% rural). "," 3,006 "
16,"Charlotte, NC", 850 feet," $201,500 ",38.7 years, 242.3 ,34.0 years, 92.9 ," $61,017 "," 842,029"," 3,476 "
17,"Clayton, NC", 440 feet," $167,711 ",38.7 years, 5.40 ,36.3 years, 94.4 ," $64,203 "," 18,445 (86% urban, 14% rural). "," 3,419 "
18,Clemmons, 832 feet," $204,739 ",38.7 years, 10.7 ,42.5 years, 89.0 ," $70,694 "," 19,522 (100% urban, 0% rural). "," 1,823 "
19,"Clinton, NC", 152 feet," $123,392 ",38.7 years, 7.05 ,40.2 years, 82.4 ," $30,852 "," 8,787 (98% urban, 2% rural). "," 1,246 "
20,"Concord, NC",," $197,200 ",38.7 years, 51.6 ,37.3 years, 91.9 ," $60,107 "," 89,895"," 1,743 "
21,"Conover, NC", 1062 feet," $146,658 ",38.7 years, 10.2 ,39.4 years, 86.9 ," $46,726 "," 8,215 (97% urban, 3% rural). ", 803 
22,"Cornelius, NC", 831 feet," $297,345 ",38.7 years, 8.46 ,40.2 years, 94.1 ," $91,761 "," 27,481 (100% urban, 0% rural). "," 3,250 "
23,Cullowhee, 2400 feet," $204,250 ",38.7 years, 3.64 ,20.2 years, 89.4 ," $24,449 "," 6,228. "," 1,711 "
24,"Davidson, NC", 750 feet," $451,877 ",38.7 years, 4.86 ,36.4 years, 94.4 ," $116,787 "," 11,981 (98% urban, 2% rural). "," 2,464 "
25,"Dunn, NC", 200 feet," $122,836 ",38.7 years, 6.20 ,44.0 years, 83.1 ," $31,838 "," 9,710 (99% urban, 1% rural). "," 1,565 "
26,"Durham, NC", 394 feet," $196,100 ",38.7 years, 94.6 ,33.3 years, 94.0 ," $52,208 "," 262,989"," 2,779 "
27,"Eden, NC", 589 feet," $83,759 ",38.7 years, 15.0 ,40.5 years, 90.6 ," $29,618 "," 15,407 (98% urban, 2% rural). "," 1,027 "
28,Elizabeth City,," $135,815 ",38.7 years, 8.94 ,33.0 years, 85.3 ," $35,009 "," 18,047 (98% urban, 2% rural). "," 2,019 "
29,Elon College,," $229,542 ",35.3 years, 3.38 ,21.7 years, 101.6 ," $47,266 "," 7,419."," 2,193 "
30,Elon, 710 feet," $148,700
",38.7 years,,22.1 years, 94.3 ," $45,100"," 9,630 (100% urban, 0% rural).",
31,"Etowah, NC", 2080 feet," $203,111 ",38.7 years, 4.58 ,50.8 years, 92.2 ," $52,206 "," 6,944. "," 1,515 "
32,"Fayetteville, NC", 240 feet," $130,900 ",38.7 years, 58.8 ,30.7 years, 89.8 ," $42,918 "," 204,777"," 3,485 "
33,"Fletcher, NC", 2120 feet," $202,351 ",38.7 years, 5.29 ,41.1 years, 92.8 ," $66,563 "," 7,487 (99% urban, 1% rural). "," 1,415 "
34,"Forest City, NC", 999 feet," $94,241 ",38.7 years, 8.22 ,34.8 years, 82.1 ," $25,673 "," 7,324 (99% urban, 1% rural). ", 891 
35,"Fort Bragg, NC",," $132,560 ",35.3 years, 18.9 ,22.0 years, 95.7 ," $36,325 "," 29,731."," 1,569 "
36,Fuquay-Varina, 380 feet," $231,184 ",38.7 years, 6.83 ,34.3 years, 94.9 ," $75,672 "," 22,644 (99% urban, 1% rural). "," 3,314 "
