,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Bismarck, ND", 1700 feet," $235,900 ",35.0 years, 26.9 ,37.9 years, 83.6 ," $58,522 "," 68,780"," 2,558 "
1,Devils Lake, 1475 feet," $104,174 ",35.0 years, 6.28 ,41.9 years, 77.2 ," $41,508 "," 7,288 (100% urban, 0% rural). "," 1,160 "
2,"Dickinson, ND", 2417 feet," $252,352 ",35.0 years, 9.47 ,33.5 years, 83.5 ," $76,790 "," 22,322 (98% urban, 2% rural). "," 2,357 "
3,"Fargo, ND", 900 feet," $196,400 ",35.0 years, 37.9 ,31.0 years, 100.1 ," $52,699 "," 120,235"," 3,169 "
4,Grand Forks, 834 feet," $203,477 ",35.0 years, 19.2 ,29.2 years, 99.9 ," $46,988 "," 56,057 (100% urban, 0% rural). "," 2,913 "
5,"Jamestown, ND", 1413 feet," $134,820 ",35.0 years, 12.5 ,38.3 years, 78.5 ," $50,366 "," 15,446 (98% urban, 2% rural). "," 1,240 "
6,Mandan, 1651 feet," $196,897 ",35.0 years, 10.2 ,36.3 years, 82.6 ," $61,600 "," 20,820 (100% urban, 0% rural). "," 2,046 "
7,"Minot, ND", 1555 feet," $208,902 ",35.0 years, 14.6 ,31.5 years, 82.6 ," $61,865 "," 47,997 (100% urban, 0% rural). "," 3,299 "
8,"Valley City, ND", 1222 feet," $100,806 ",35.0 years, 3.31 ,42.1 years, 77.4 ," $53,537 "," 6,676 (100% urban, 0% rural). "," 2,017 "
9,"Wahpeton, ND", 963 feet," $116,073 ",35.0 years, 5.00 ,31.8 years, 76.6 ," $50,663 "," 7,903 (100% urban, 0% rural). "," 1,581 "
10,West Fargo, 900 feet," $210,393 ",35.0 years, 7.29 ,33.8 years, 99.3 ," $77,133 "," 31,771 (100% urban, 0% rural). "," 4,358 "
11,"Williston, ND", 1882 feet," $251,229 ",35.0 years, 6.97 ,31.0 years, 83.2 ," $93,245 "," 24,562 (100% urban, 0% rural). "," 3,522 "
