,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Alliance, NE", 3960 feet," $102,904 ",36.3 years, 4.77 ,39.0 years, 76.6 ," $55,069 "," 8,519 (100% urban, 0% rural). "," 1,787 "
1,"Beatrice, NE", 1284 feet," $104,954 ",36.3 years, 7.50 ,44.9 years, 78.3 ," $43,131 "," 12,055 (98% urban, 2% rural). "," 1,608 "
2,"Bellevue, NE", 1050 feet," $148,144 ",36.3 years, 13.3 ,34.6 years, 90.7 ," $59,097 "," 53,936 (100% urban, 0% rural). "," 4,067 "
3,"Blair, NE", 1090 feet," $154,140 ",36.3 years, 4.64 ,37.3 years, 90.1 ," $50,224 "," 7,986 (98% urban, 2% rural). "," 1,719 "
4,Chalco, 1077 feet," $151,355 ",36.3 years, 2.90 ,34.4 years, 89.8 ," $69,841 "," 10,994. "," 3,792 "
5,"Columbus, NE", 1449 feet," $136,666 ",36.3 years, 8.97 ,36.6 years, 79.1 ," $56,375 "," 22,630 (98% urban, 2% rural). "," 2,522 "
6,"Crete, NE",," $113,691 ",36.3 years, 2.37 ,33.4 years, 79.5 ," $46,380 "," 7,034 (100% urban, 0% rural). "," 2,966 "
7,"Elkhorn, NE", 1170 feet," $213,367 ",35.3 years, 3.74 ,36.4 years, 94.4 ," $91,790 "," 6,486."," 1,733 "
8,"Fremont, NE", 1198 feet," $125,664 ",36.3 years, 7.42 ,37.1 years, 79.8 ," $50,303 "," 26,500 (100% urban, 0% rural). "," 3,572 "
9,Gering, 3914 feet," $128,037 ",36.3 years, 3.75 ,36.6 years, 79.2 ," $54,938 "," 8,372 (99% urban, 1% rural). "," 2,233 "
10,"Grand Island, NE", 1856 feet," $130,626 ",36.3 years, 21.5 ,34.9 years, 79.4 ," $51,415 "," 51,236 (99% urban, 1% rural). "," 2,387 "
11,"Hastings, NE", 1923 feet," $111,965 ",36.3 years, 9.83 ,36.0 years, 78.2 ," $49,096 "," 24,915 (98% urban, 2% rural). "," 2,535 "
12,"Kearney, NE", 2153 feet," $171,938 ",36.3 years, 11.0 ,30.7 years, 80.5 ," $53,733 "," 32,469 (99% urban, 1% rural). "," 2,957 "
13,La Vista, 1050 feet," $151,569 ",36.3 years, 2.84 ,35.6 years, 90.9 ," $60,470 "," 17,636 (100% urban, 0% rural). "," 6,203 "
14,"Lexington, NE", 2390 feet," $90,176 ",36.3 years, 2.94 ,29.8 years, 78.4 ," $46,930 "," 10,146 (100% urban, 0% rural). "," 3,448 "
15,"Lincoln, NE", 1189 feet," $160,600 ",36.3 years, 74.6 ,32.6 years, 85.2 ," $55,792 "," 280,369"," 3,756 "
16,"McCook, NE", 2570 feet," $90,500 ",36.3 years, 5.38 ,38.1 years, 76.7 ," $42,147 "," 7,611 (98% urban, 2% rural). "," 1,414 "
17,Nebraska City, 1029 feet," $112,612 ",36.3 years, 4.42 ,38.0 years, 79.1 ," $44,430 "," 7,265 (97% urban, 3% rural). "," 1,642 "
18,"Norfolk, NE", 1525 feet," $132,891 ",36.3 years, 9.97 ,35.4 years, 78.8 ," $47,524 "," 24,444 (100% urban, 0% rural). "," 2,451 "
19,North Platte, 2800 feet," $113,475 ",36.3 years, 10.5 ,37.2 years, 78.9 ," $48,574 "," 24,327 (100% urban, 0% rural). "," 2,324 "
20,"Omaha, NE", 1060 feet," $149,900 ",36.3 years, 115.7 ,34.7 years, 90.3 ," $52,672 "," 446,956"," 3,863 "
21,Papillion, 1029 feet," $178,972 ",36.3 years, 4.17 ,38.6 years, 90.0 ," $78,730 "," 23,270 (99% urban, 1% rural). "," 5,586 "
22,Plattsmouth, 980 feet," $118,545 ",36.3 years, 2.89 ,39.1 years, 89.8 ," $49,384 "," 6,487 (99% urban, 1% rural). "," 2,243 "
23,"Ralston, NE", 1100 feet," $142,774 ",36.3 years, 1.69 ,40.1 years, 90.4 ," $56,035 "," 7,216 (100% urban, 0% rural). "," 4,258 "
24,"Schuyler, NE", 1350 feet," $95,461 ",36.3 years, 2.07 ,29.8 years, 76.8 ," $47,946 "," 6,169 (99% urban, 1% rural). "," 2,975 "
25,Scottsbluff, 3883 feet," $105,924 ",36.3 years, 5.88 ,36.1 years, 79.9 ," $39,426 "," 14,875 (100% urban, 0% rural). "," 2,529 "
26,"Seward, NE", 1494 feet," $155,219 ",36.3 years, 3.27 ,33.2 years, 84.4 ," $64,206 "," 7,128 (96% urban, 4% rural). "," 2,178 "
27,"Sidney, NE", 4090 feet," $135,588 ",36.3 years, 6.17 ,40.3 years, 78.3 ," $60,303 "," 6,914 (94% urban, 6% rural). "," 1,121 "
28,South Sioux City, 1097 feet," $113,367 ",36.3 years, 4.90 ,32.2 years, 87.1 ," $50,703 "," 13,360 (100% urban, 0% rural). "," 2,724 "
29,"York, NE", 1609 feet," $125,448 ",36.3 years, 5.64 ,37.2 years, 77.9 ," $52,902 "," 7,957 (99% urban, 1% rural). "," 1,412 "
