,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Amherst, NH", 268 feet," $404,751 ",43.9 years, 34.3 ,44.4 years, 128.9 ," $127,677 "," 11,201. ", 327 
1,"Atkinson, NH", 310 feet," $379,842 ",43.9 years, 11.1 ,46.7 years, 141.1 ," $98,000 "," 6,751. ", 607 
2,"Barrington, NH", 381 feet," $233,791 ",43.9 years, 46.6 ,40.7 years, 118.6 ," $80,568 "," 8,576. ", 184 
3,"Bedford, NH", 309 feet," $427,840 ",43.9 years, 32.8 ,42.3 years, 130.3 ," $120,546 "," 21,203. ", 646 
4,"Belmont, NH", 552 feet," $190,582 ",43.9 years, 30.6 ,42.1 years, 104.4 ," $69,419 "," 7,356. ", 240 
5,"Berlin, NH", 1010 feet," $92,919 ",42.7 years, 61.7 ,41.9 years, 85.7 ," $40,254 "," 9,501 (89% urban, 11% rural). ", 154 
6,"Bow, NH",," $344,743 ",43.9 years, 28.1 ,44.9 years, 120.6 ," $113,634 "," 7,519. ", 268 
7,"Claremont, NH", 561 feet," $143,830 ",42.7 years, 43.1 ,41.6 years, 88.5 ," $49,257 "," 13,074 (74% urban, 26% rural). ", 303 
8,"Concord, NH", 288 feet," $209,960 ",42.7 years, 64.3 ,39.0 years, 115.0 ," $59,557 "," 42,444 (92% urban, 8% rural). ", 660 
9,"Derry, NH", 290 feet," $215,675 ",42.7 years, 15.4 ,40.0 years, 132.7 ," $60,488 "," 22,015. "," 1,427 "
10,"Dover, NH", 80 feet," $229,422 ",42.7 years, 26.7 ,36.2 years, 132.5 ," $70,805 "," 30,665 (99% urban, 1% rural). "," 1,148 "
11,"Durham, NH", 82 feet," $310,649 ",42.7 years, 2.66 ,20.2 years, 134.5 ," $54,767 "," 10,345. "," 3,896 "
12,"Exeter, NH", 45 feet," $242,953 ",42.7 years, 4.38 ,45.4 years, 133.6 ," $66,418 "," 9,242. "," 2,112 "
13,"Franklin, NH", 335 feet," $164,294 ",42.7 years, 27.6 ,42.0 years, 113.0 ," $46,029 "," 8,428 (73% urban, 27% rural). ", 306 
14,Gilford, 741 feet," $273,080 ",43.9 years, 39.0 ,47.9 years, 108.7 ," $70,788 "," 7,126. ", 183 
15,Goffstown, 306 feet," $239,180 ",43.9 years, 36.9 ,39.0 years, 123.0 ," $79,752 "," 17,651. ", 478 
16,"Hampstead, NH", 329 feet," $349,493 ",43.9 years, 13.3 ,45.7 years, 140.2 ," $96,319 "," 8,523. ", 640 
