,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Absecon, 25 feet," $191,576 ",39.5 years, 5.72 ,45.8 years, 102.7 ," $64,829 "," 8,376 (97% urban, 3% rural). "," 1,465 "
1,"Allendale, NJ", 375 feet," $709,752 ",39.5 years, 3.12 ,45.4 years, 122.9 ," $160,545 "," 6,789 (100% urban, 0% rural). "," 2,173 "
2,Asbury Park, 21 feet," $339,973 ",39.5 years, 1.43 ,35.0 years, 128.7 ," $37,737 "," 15,778 (100% urban, 0% rural). "," 11,036 "
3,"Ashland, NJ", 80 feet," $232,493 ",39.5 years, 2.92 ,42.7 years, 102.4 ," $97,986 "," 8,302. "," 2,844 "
4,"Atlantic City, NJ", 8 feet," $177,056 ",39.5 years, 11.3 ,35.5 years, 105.3 ," $27,199 "," 39,415 (100% urban, 0% rural). "," 3,473 "
5,"Audubon, NJ", 60 feet," $215,151 ",39.5 years, 1.49 ,43.4 years, 101.1 ," $81,143 "," 8,710 (100% urban, 0% rural). "," 5,846 "
6,Avenel, 84 feet," $275,288 ",39.5 years, 3.44 ,40.9 years, 123.1 ," $66,878 "," 17,011. "," 4,942 "
7,Barclay-Kingston,," $262,066 ",36.7 years, 2.85 ,42.0 years, 108.1 ," $94,597 "," 10,937."," 3,838 "
8,"Barrington, NJ", 81 feet," $208,826 ",39.5 years, 1.61 ,40.2 years, 100.9 ," $71,773 "," 6,826 (100% urban, 0% rural). "," 4,251 "
9,Bayonne, 49 feet," $298,100 ",39.5 years, 5.63 ,37.5 years, 121.1 ," $59,628 "," 66,224"," 11,771 "
10,"Beachwood, NJ", 40 feet," $245,217 ",39.5 years, 2.76 ,35.6 years, 120.4 ," $69,595 "," 11,253 (100% urban, 0% rural). "," 4,075 "
11,"Belleville, NJ", 140 feet," $294,005 ",36.7 years, 3.34 ,36.2 years, 128.7 ," $58,663 "," 34,877."," 10,430 "
12,Bellmawr, 70 feet," $166,999 ",39.5 years, 3.03 ,41.7 years, 101.2 ," $50,085 "," 11,454 (100% urban, 0% rural). "," 3,779 "
13,Bergenfield, 93 feet," $347,257 ",39.5 years, 2.90 ,39.4 years, 120.9 ," $85,801 "," 27,406 (100% urban, 0% rural). "," 9,466 "
14,Berkeley Heights, 220 feet," $627,116 ",36.7 years, 6.26 ,39.7 years, 133.7 ," $140,201 "," 13,319."," 2,127 "
15,"Berlin, NJ", 155 feet," $235,146 ",39.5 years, 3.58 ,40.6 years, 100.7 ," $92,336 "," 7,546 (100% urban, 0% rural). "," 2,109 "
16,Bernardsville, 400 feet," $702,260 ",39.5 years, 12.9 ,40.1 years, 125.0 ," $139,327 "," 7,756 (75% urban, 25% rural). ", 600 
17,"Bloomfield, NJ", 131 feet," $328,850 ",36.7 years, 5.32 ,37.1 years, 130.1 ," $64,355 "," 46,288."," 8,699 "
18,"Bloomingdale, NJ",," $312,781 ",39.5 years, 8.80 ,41.4 years, 120.8 ," $77,489 "," 8,178 (92% urban, 8% rural). ", 929 
19,Bogota, 100 feet," $327,112 ",39.5 years, 0.76 ,38.1 years, 120.6 ," $82,643 "," 8,332 (100% urban, 0% rural). "," 10,950 "
20,Boonton, 431 feet," $380,080 ",39.5 years, 2.35 ,39.1 years, 117.7 ," $93,751 "," 8,412 (100% urban, 0% rural). "," 3,584 "
21,Bound Brook, 48 feet," $288,458 ",39.5 years, 1.71 ,34.6 years, 122.6 ," $67,642 "," 11,116 (100% urban, 0% rural). "," 6,517 "
22,Bradley Gardens, 60 feet," $422,800
",39.5 years,,40.9 years, 122.7 ," $104,478"," 14,206.",
23,"Bridgeton, NJ", 40 feet," $111,181 ",39.5 years, 6.22 ,29.9 years, 100.5 ," $35,112 "," 25,347 (100% urban, 0% rural). "," 4,074 "
24,Brigantine, 6 feet," $333,008 ",39.5 years, 6.43 ,53.2 years, 106.1 ," $63,788 "," 9,336 (100% urban, 0% rural). "," 1,452 "
25,"Brookdale, NJ", 169 feet," $373,000
",39.5 years,,40.4 years, 114.8 ," $54,277"," 9,239.",
26,Browns Mills, 61 feet," $159,104 ",39.5 years, 5.44 ,36.4 years, 101.4 ," $57,438 "," 11,223. "," 2,065 "
27,Budd Lake, 1060 feet," $301,977 ",39.5 years, 5.85 ,36.6 years, 113.5 ," $89,556 "," 8,968. "," 1,532 "
28,"Burlington, NJ", 10 feet," $166,004 ",39.5 years, 3.00 ,41.1 years, 101.2 ," $52,681 "," 9,799 (100% urban, 0% rural). "," 3,266 "
29,"Butler, NJ", 480 feet," $356,526 ",39.5 years, 2.08 ,37.7 years, 115.6 ," $100,583 "," 7,690 (100% urban, 0% rural). "," 3,699 "
30,"Caldwell, NJ", 411 feet," $432,791 ",36.7 years, 1.19 ,39.1 years, 135.2 ," $73,969 "," 7,362."," 6,209 "
31,"Camden, NJ", 33 feet," $79,300 ",39.5 years, 8.82 ,31.1 years, 100.7 ," $26,783 "," 74,417"," 8,435 "
32,Carlstadt, 187 feet," $403,097 ",39.5 years, 3.95 ,40.2 years, 122.2 ," $89,216 "," 6,248 (100% urban, 0% rural). "," 1,580 "
33,Carneys Point, 19 feet," $156,708 ",39.5 years, 8.75 ,41.0 years, 101.7 ," $46,326 "," 7,382. ", 844 
34,Carteret, 16 feet," $266,868 ",39.5 years, 4.36 ,35.6 years, 122.5 ," $69,169 "," 24,114 (100% urban, 0% rural). "," 5,528 "
35,"Cedar Grove, NJ", 300 feet," $468,824 ",36.7 years, 4.22 ,44.0 years, 132.1 ," $95,240 "," 11,940."," 2,828 "
36,"Chatham, NJ", 244 feet," $753,136 ",39.5 years, 2.41 ,38.8 years, 120.5 ," $156,760 "," 9,022 (100% urban, 0% rural). "," 3,739 "
37,Cherry Hill Mall, 60 feet," $236,472 ",39.5 years, 3.70 ,39.1 years, 102.4 ," $91,844 "," 14,171. "," 3,834 "
38,"Clark, NJ", 80 feet," $417,111 ",36.7 years, 4.34 ,42.7 years, 130.8 ," $84,627 "," 14,501."," 3,337 "
39,"Clayton, NJ", 135 feet," $182,611 ",39.5 years, 7.18 ,38.8 years, 101.6 ," $65,887 "," 8,307 (96% urban, 4% rural). "," 1,157 "
40,Cliffside Park, 250 feet," $433,992 ",39.5 years, 0.96 ,43.8 years, 126.7 ," $64,175 "," 25,503 (100% urban, 0% rural). "," 26,435 "
41,"Clifton, NJ", 233 feet," $345,100 ",39.5 years, 11.3 ,39.4 years, 122.0 ," $77,923 "," 85,847"," 7,600 "
42,Closter, 62 feet," $665,079 ",39.5 years, 3.17 ,43.1 years, 125.1 ," $136,230 "," 8,592 (100% urban, 0% rural). "," 2,710 "
43,Collingswood, 20 feet," $263,098 ",39.5 years, 1.83 ,39.5 years, 103.1 ," $65,831 "," 13,962 (100% urban, 0% rural). "," 7,636 "
