,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Alamogordo, 4334 feet," $110,720 ",37.7 years, 19.3 ,36.0 years, 81.4 ," $48,759 "," 31,060 (99% urban, 1% rural). "," 1,605 "
1,"Albuquerque, NM", 4955 feet," $191,600 ",37.7 years, 180.6 ,36.5 years, 92.4 ," $50,522 "," 559,270"," 3,096 "
2,"Anthony, NM", 3801 feet," $88,608 ",37.7 years, 3.95 ,27.4 years, 83.6 ," $22,054 "," 9,318 (95% urban, 5% rural). "," 2,361 "
3,"Artesia, NM", 3379 feet," $150,709 ",37.7 years, 7.97 ,33.6 years, 81.9 ," $50,680 "," 11,842 (99% urban, 1% rural). "," 1,486 "
4,"Aztec, NM", 5623 feet," $166,960 ",37.7 years, 9.73 ,37.3 years, 87.2 ," $41,149 "," 6,419 (91% urban, 9% rural). ", 660 
5,Belen, 4808 feet," $104,262 ",37.7 years, 4.72 ,33.7 years, 91.9 ," $32,557 "," 7,175 (91% urban, 9% rural). "," 1,521 "
6,Bernalillo, 5052 feet," $150,320 ",37.7 years, 4.60 ,41.5 years, 92.1 ," $39,988 "," 8,564 (99% urban, 1% rural). "," 1,861 "
7,"Bloomfield, NM", 5453 feet," $142,678 ",37.7 years, 5.01 ,33.6 years, 85.4 ," $59,450 "," 7,638 (95% urban, 5% rural). "," 1,524 "
8,"Carlsbad, NM", 3111 feet," $129,875 ",37.7 years, 28.4 ,36.8 years, 82.2 ," $59,663 "," 28,103 (98% urban, 2% rural). ", 991 
9,Chaparral,," $69,878 ",37.7 years, 38.8 ,32.0 years, 84.2 ," $24,733 "," 14,631. ", 377 
10,"Clovis, NM", 4266 feet," $131,637 ",37.7 years, 22.4 ,31.4 years, 83.4 ," $42,395 "," 39,860 (100% urban, 0% rural). "," 1,780 "
11,Corrales, 5015 feet," $441,679 ",37.7 years, 10.7 ,52.5 years, 95.2 ," $76,641 "," 8,374 (100% urban, 0% rural). ", 781 
12,"Deming, NM", 4337 feet," $87,378 ",37.7 years, 9.34 ,33.4 years, 80.7 ," $26,656 "," 14,605 (97% urban, 3% rural). "," 1,564 "
13,Dona Ana-Hill,," $155,239 ",34.6 years, 473.1 ,32.7 years, 89.0 ," $45,090 "," 28,982.", 61 
14,Eldorado at Santa Fe,," $376,231 ",37.7 years, 20.7 ,59.7 years, 100.1 ," $75,055 "," 6,130. ", 296 
15,Espanola,," $152,056 ",37.7 years, 8.38 ,38.7 years, 86.1 ," $27,927 "," 10,130 (99% urban, 1% rural). "," 1,208 "
16,Fairacres, 3897 feet," $234,291 ",34.6 years, 612.3 ,39.7 years, 92.6 ," $55,270 "," 6,061.", 9.9 
17,"Farmington, NM", 5292 feet," $187,910 ",37.7 years, 26.6 ,35.0 years, 86.7 ," $56,253 "," 44,445 (97% urban, 3% rural). "," 1,673 "
18,Gallup, 6508 feet," $132,971 ",37.7 years, 13.4 ,30.1 years, 83.0 ," $41,622 "," 22,469 (98% urban, 2% rural). "," 1,683 "
19,Grants, 6450 feet," $106,968 ",37.7 years, 13.7 ,36.2 years, 80.0 ," $36,606 "," 9,241 (94% urban, 6% rural). ", 676 
20,Hobbs, 3621 feet," $125,487 ",37.7 years, 18.9 ,31.0 years, 82.3 ," $55,046 "," 37,118 (98% urban, 2% rural). "," 1,961 "
