,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Airmont, 586 feet," $472,021 ",38.4 years, 4.58 ,39.5 years, 141.1 ," $89,098 "," 8,878 (100% urban, 0% rural). "," 1,937 "
1,"Albany, NY", 127 feet," $183,200 ",38.4 years, 21.4 ,30.3 years, 108.8 ," $42,302 "," 98,106"," 4,589 "
2,"Albion, NY", 540 feet," $76,577 ",38.4 years, 2.97 ,41.7 years, 102.4 ," $30,441 "," 6,007 (99% urban, 1% rural). "," 2,020 "
3,"Amherst, NY", 600 feet," $193,208 ",40.7 years, 53.2 ,40.2 years, 107.5 ," $77,960 "," 122,366. "," 2,298 "
4,Amityville, 25 feet," $388,969 ",38.4 years, 2.09 ,45.5 years, 154.1 ," $90,844 "," 9,522 (100% urban, 0% rural). "," 4,547 "
5,"Amsterdam, NY",," $91,364 ",38.4 years, 5.95 ,36.7 years, 86.1 ," $36,564 "," 18,135 (100% urban, 0% rural). "," 3,050 "
6,"Arcadia, NY",," $102,647 ",40.7 years, 52.0 ,42.4 years, 106.1 ," $50,906 "," 14,244. ", 274 
7,"Auburn, NY",," $104,791 ",38.4 years, 8.39 ,37.9 years, 86.4 ," $41,422 "," 27,019 (100% urban, 0% rural). "," 3,220 "
8,Babylon, 5 feet," $452,581 ",38.4 years, 2.41 ,43.3 years, 154.9 ," $113,620 "," 12,172 (100% urban, 0% rural). "," 5,043 "
9,Baldwin Harbor,," $415,694 ",38.4 years, 1.23 ,45.0 years, 156.0 ," $116,718 "," 8,102. "," 6,605 "
10,Baldwinsville, 360 feet," $121,636 ",38.4 years, 3.08 ,46.4 years, 102.7 ," $53,230 "," 7,681 (100% urban, 0% rural). "," 2,496 "
11,"Baldwin, NY",," $372,234 ",38.4 years, 2.95 ,39.3 years, 153.5 ," $97,150 "," 24,033. "," 8,150 "
12,Ballston,," $277,753 ",40.7 years, 29.6 ,42.7 years, 114.5 ," $84,382 "," 9,776. ", 330 
13,"Barton, NY", 800 feet," $105,273 ",40.7 years, 59.4 ,40.9 years, 104.5 ," $50,120 "," 8,858. ", 149 
14,"Batavia, NY", 895 feet," $99,180 ",38.4 years, 5.19 ,39.9 years, 85.4 ," $44,332 "," 15,077 (100% urban, 0% rural). "," 2,907 "
15,"Bay Shore, NY", 15 feet," $317,650 ",38.4 years, 5.27 ,34.1 years, 153.1 ," $69,040 "," 26,337. "," 4,996 "
16,"Bayport, NY", 15 feet," $437,886 ",38.4 years, 3.71 ,45.7 years, 154.6 ," $90,505 "," 8,896. "," 2,396 "
17,Bayville, 40 feet," $529,569 ",38.4 years, 1.41 ,46.7 years, 154.6 ," $103,830 "," 6,748 (100% urban, 0% rural). "," 4,791 "
18,Baywood,," $289,389 ",38.4 years, 2.25 ,40.1 years, 152.7 ," $78,326 "," 7,350. "," 3,273 "
19,"Beacon, NY",," $249,059 ",38.4 years, 4.78 ,41.7 years, 137.7 ," $64,136 "," 14,238 (100% urban, 0% rural). "," 2,982 "
20,Beekman,," $337,642 ",40.7 years, 30.0 ,40.3 years, 147.8 ," $91,600 "," 14,621. ", 487 
21,Bellmore, 24 feet," $480,153 ",38.4 years, 2.48 ,43.4 years, 154.9 ," $128,699 "," 16,218. "," 6,550 "
22,"Bethlehem, NY",," $280,645 ",40.7 years, 48.8 ,43.6 years, 114.6 ," $90,857 "," 33,656. ", 690 
23,"Bethpage, NY",," $445,573 ",38.4 years, 3.62 ,46.4 years, 153.8 ," $111,261 "," 16,429. "," 4,533 "
24,Binghamton University,," $121,600
",38.4 years,,19.5 years, 95.5 ," $50,463"," 6,177.",
25,Binghamton,," $94,746 ",38.4 years, 10.4 ,35.4 years, 101.7 ," $31,902 "," 46,299 (100% urban, 0% rural). "," 4,436 "
26,"Blooming Grove, NY", 360 feet," $294,831 ",40.7 years, 34.8 ,40.8 years, 145.2 ," $92,638 "," 18,028. ", 518 
27,Bohemia, 65 feet," $392,669 ",38.4 years, 8.73 ,42.5 years, 154.3 ," $87,162 "," 10,180. "," 1,167 "
28,"Boston, NY",," $181,423 ",40.7 years, 35.8 ,44.3 years, 107.2 ," $67,957 "," 8,023. ", 224 
29,"Brentwood, NY", 80 feet," $290,500 ",38.4 years, 10.1 ,32.9 years, 152.7 ," $67,670 "," 62,132"," 6,174 "
30,Briarcliff Manor, 266 feet," $690,397 ",38.4 years, 5.93 ,47.4 years, 152.3 ," $153,573 "," 7,991 (98% urban, 2% rural). "," 1,349 "
31,"Brighton, NY",," $174,741 ",38.4 years, 15.4 ,39.2 years, 104.3 ," $68,158 "," 36,609. "," 2,370 "
32,Brockport,," $113,398 ",38.4 years, 2.16 ,22.0 years, 103.3 ," $43,233 "," 8,377 (100% urban, 0% rural). "," 3,879 "
33,Bronxville, 100 feet," over $1,000,000 ",38.4 years, 0.95 ,41.7 years, 161.4 ," over $200,000 "," 6,418 (100% urban, 0% rural). "," 6,738 "
34,"Bronx, NY", 120 feet," $378,000 ",35.9 years, 42.0 ,31.2 years, 178.5 ," $37,525 "," 1,383,871."," 32,928 "
35,"Brooklyn, NY",," $667,000 ",35.9 years, 70.6 ,33.1 years, 196.5 ," $55,150 "," 2,538,705."," 35,956 "
36,"Brunswick, NY", 517 feet," $214,160 ",40.7 years, 44.5 ,44.7 years, 112.3 ," $86,910 "," 11,941. ", 268 
37,"Buffalo, NY",," $83,500 ",38.4 years, 40.6 ,32.8 years, 101.5 ," $32,883 "," 256,908"," 6,326 "
38,Busti, 1368 feet," $105,038 ",40.7 years, 47.8 ,47.3 years, 91.3 ," $52,285 "," 7,351. ", 154 
39,"Calverton, NY", 20 feet," $247,769 ",38.4 years, 28.0 ,51.5 years, 153.7 ," $50,752 "," 6,510. ", 232 
40,Canandaigua, 767 feet," $167,609 ",38.4 years, 4.60 ,43.3 years, 104.8 ," $43,168 "," 10,488 (100% urban, 0% rural). "," 2,279 "
41,"Canton, NY", 409 feet," $164,262 ",38.4 years, 3.24 ,22.3 years, 87.6 ," $56,309 "," 6,601 (97% urban, 3% rural). "," 2,040 "
42,Carmel Hamlet,," $312,468 ",38.4 years, 8.49 ,47.5 years, 144.8 ," $86,982 "," 6,817. ", 803 
43,"Carmel, NY",," $403,731 ",40.7 years, 36.1 ,41.3 years, 158.0 ," $103,872 "," 34,305. ", 950 
44,Cedarhurst,," $554,224 ",38.4 years, 0.68 ,28.5 years, 156.2 ," $97,957 "," 6,672 (100% urban, 0% rural). "," 9,787 "
45,Center Moriches, 25 feet," $394,107 ",38.4 years, 5.01 ,39.4 years, 152.1 ," $95,932 "," 7,580. "," 1,512 "
46,Centereach,," $338,922 ",38.4 years, 7.96 ,38.9 years, 154.1 ," $98,850 "," 31,578. "," 3,969 "
