,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Akron, OH", 1050 feet," $78,000 ",39.3 years, 62.1 ,36.6 years, 94.9 ," $35,184 "," 197,634"," 3,184 "
1,"Alliance, OH", 1174 feet," $83,323 ",39.3 years, 8.61 ,35.5 years, 90.2 ," $33,558 "," 22,078 (100% urban, 0% rural). "," 2,564 "
2,"Amherst, OH", 676 feet," $154,428 ",39.3 years, 7.17 ,44.6 years, 94.8 ," $68,035 "," 12,143 (100% urban, 0% rural). "," 1,694 "
3,"Ashland, OH", 1080 feet," $105,580 ",39.3 years, 10.4 ,37.6 years, 79.4 ," $40,708 "," 20,218 (99% urban, 1% rural). "," 1,952 "
4,Ashtabula, 680 feet," $75,118 ",39.3 years, 7.55 ,39.9 years, 79.1 ," $30,132 "," 18,508 (100% urban, 0% rural). "," 2,451 "
5,"Athens, OH", 723 feet," $156,366 ",39.3 years, 8.34 ,21.2 years, 86.5 ," $23,484 "," 24,024 (98% urban, 2% rural). "," 2,882 "
6,"Aurora, OH", 1130 feet," $242,282 ",39.3 years, 23.2 ,47.8 years, 98.8 ," $79,751 "," 15,734 (88% urban, 12% rural). ", 678 
7,Austintown, 1030 feet," $96,090 ",39.3 years, 11.7 ,43.1 years, 90.1 ," $42,211 "," 29,677. "," 2,542 "
8,Avon Lake, 600 feet," $238,296 ",39.3 years, 11.1 ,43.5 years, 96.7 ," $82,465 "," 23,204 (100% urban, 0% rural). "," 2,084 "
9,"Avon, OH", 670 feet," $276,850 ",39.3 years, 20.9 ,40.6 years, 96.9 ," $92,622 "," 22,302 (100% urban, 0% rural). "," 1,069 "
10,"Barberton, OH", 969 feet," $90,655 ",39.3 years, 9.01 ,40.1 years, 95.3 ," $39,819 "," 26,302 (100% urban, 0% rural). "," 2,918 "
11,Bay Village, 645 feet," $223,021 ",39.3 years, 4.63 ,43.6 years, 95.8 ," $95,921 "," 15,435 (100% urban, 0% rural). "," 3,333 "
12,"Beachwood, OH", 1190 feet," $284,505 ",39.3 years, 5.28 ,50.1 years, 99.2 ," $90,845 "," 11,797 (100% urban, 0% rural). "," 2,234 "
13,"Beavercreek, OH", 850 feet," $182,576 ",39.3 years, 26.4 ,41.7 years, 96.1 ," $84,180 "," 45,934 (100% urban, 0% rural). "," 1,740 "
14,Beckett Ridge,," $215,189 ",39.3 years, 4.86 ,41.3 years, 91.1 ," $90,115 "," 9,187. "," 1,889 "
15,Bedford Heights, 1040 feet," $101,401 ",39.3 years, 4.54 ,45.3 years, 94.6 ," $38,784 "," 10,675 (100% urban, 0% rural). "," 2,353 "
16,"Bedford, OH", 960 feet," $94,869 ",39.3 years, 5.36 ,40.0 years, 94.6 ," $42,481 "," 12,805 (100% urban, 0% rural). "," 2,390 "
17,Bellbrook, 796 feet," $167,040 ",39.3 years, 3.12 ,42.9 years, 95.6 ," $77,706 "," 7,031 (99% urban, 1% rural). "," 2,251 "
