,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Ada, OK", 1010 feet," $110,185 ",36.4 years, 15.7 ,31.6 years, 81.0 ," $35,625 "," 17,130 (96% urban, 4% rural). "," 1,091 "
1,"Altus, OK", 1398 feet," $94,491 ",36.4 years, 16.8 ,33.4 years, 80.0 ," $42,210 "," 19,531 (99% urban, 1% rural). "," 1,160 "
2,Anadarko,," $69,860 ",36.4 years, 7.09 ,33.8 years, 78.5 ," $30,153 "," 6,723 (89% urban, 11% rural). ", 948 
3,"Ardmore, OK", 870 feet," $108,877 ",36.4 years, 49.1 ,37.0 years, 80.4 ," $46,656 "," 25,226 (87% urban, 13% rural). ", 514 
4,Bartlesville, 700 feet," $123,590 ",36.4 years, 21.1 ,38.7 years, 80.4 ," $51,612 "," 36,498 (98% urban, 2% rural). "," 1,729 "
5,"Bethany, OK", 1300 feet," $128,034 ",36.4 years, 5.21 ,35.1 years, 85.6 ," $47,386 "," 19,580 (100% urban, 0% rural). "," 3,757 "
6,"Bixby, OK", 600 feet," $207,407 ",36.4 years, 24.1 ,35.0 years, 87.2 ," $77,529 "," 24,008 (89% urban, 11% rural). ", 998 
7,"Blackwell, OK", 1014 feet," $55,910 ",36.4 years, 5.45 ,42.2 years, 77.8 ," $39,494 "," 6,917 (97% urban, 3% rural). "," 1,270 "
8,"Blanchard, OK", 1276 feet," $193,668 ",36.4 years, 11.1 ,39.3 years, 80.6 ," $69,961 "," 8,049 (47% urban, 53% rural). ", 724 
9,"Broken Arrow, OK", 753 feet," $160,900 ",36.4 years, 45.0 ,38.0 years, 87.3 ," $70,221 "," 109,439"," 2,433 "
10,Catoosa, 620 feet," $118,597 ",36.4 years, 6.96 ,35.3 years, 86.9 ," $54,573 "," 7,114 (96% urban, 4% rural). "," 1,022 "
11,Central Atoka,," $103,400 ",35.5 years, 363.0 ,38.3 years, 83.2 ," $33,130 "," 8,598.", 24 
12,Chickasha, 1096 feet," $91,984 ",36.4 years, 18.1 ,36.1 years, 81.5 ," $42,121 "," 16,334 (97% urban, 3% rural). ", 904 
13,"Choctaw, OK", 1140 feet," $177,571 ",36.4 years, 27.1 ,39.5 years, 86.0 ," $71,848 "," 11,992 (64% urban, 36% rural). ", 443 
14,Claremore, 590 feet," $126,688 ",36.4 years, 12.0 ,36.4 years, 87.4 ," $41,957 "," 18,971 (99% urban, 1% rural). "," 1,577 "
