,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Agate Beach, 123 feet," $252,681 ",36.3 years, 59.0 ,42.9 years, 105.1 ," $45,103 "," 12,351.", 209 
1,"Albany, OR", 212 feet," $198,191 ",39.2 years, 15.9 ,35.7 years, 85.7 ," $54,988 "," 51,980 (100% urban, 0% rural). "," 3,272 "
2,Aloha, 214 feet," $291,061 ",39.2 years, 7.37 ,33.7 years, 104.5 ," $73,389 "," 49,425. "," 6,702 "
3,"Altamont, OR", 4133 feet," $140,170 ",39.2 years, 8.72 ,40.2 years, 82.7 ," $46,892 "," 19,257. "," 2,209 "
4,"Ashland, OR", 1951 feet," $419,660 ",39.2 years, 6.50 ,44.7 years, 101.4 ," $49,581 "," 20,684 (100% urban, 0% rural). "," 3,182 "
5,"Astoria, OR", 18 feet," $271,305 ",39.2 years, 6.14 ,44.3 years, 91.4 ," $47,433 "," 9,521 (97% urban, 3% rural). "," 1,550 "
6,Badger Mountain,," $273,579 ",36.3 years, 153.0 ,39.4 years, 96.2 ," $55,111 "," 11,715.", 77 
7,Baker City, 3443 feet," $139,485 ",39.2 years, 6.91 ,43.7 years, 83.2 ," $43,329 "," 9,801 (96% urban, 4% rural). "," 1,419 "
8,"Beaver Creek, OR", 550 feet," $419,222 ",36.3 years, 28.4 ,39.9 years, 107.4 ," $89,658 "," 7,848.", 276 
9,"Beaverton, OR", 189 feet," $363,100 ",39.2 years, 16.3 ,40.7 years, 105.7 ," $64,636 "," 97,602"," 5,980 "
10,"Bend, OR", 3629 feet," $347,300 ",39.2 years, 32.0 ,39.3 years, 100.4 ," $60,784 "," 91,123"," 2,846 "
11,"Bethany, OR",," $361,400
",39.2 years,,37.9 years, 104.2 ," $75,634"," 20,646.",
12,"Brookings, OR", 203 feet," $307,076 ",39.2 years, 2.79 ,46.7 years, 94.5 ," $43,542 "," 6,407 (99% urban, 1% rural). "," 2,296 "
13,Bull Mountain,," $361,400
",39.2 years,,38.7 years, 104.6 ," $75,634"," 9,133.",
14,Calapooia, 625 feet," $196,566 ",36.3 years, 327.5 ,43.2 years, 98.7 ," $43,200 "," 14,947.", 46 
15,"Canby, OR", 153 feet," $301,823 ",39.2 years, 3.77 ,36.0 years, 103.3 ," $67,414 "," 17,010 (100% urban, 0% rural). "," 4,508 "
16,"Cedar Hills, OR", 640 feet," $386,923 ",39.2 years, 2.31 ,38.6 years, 105.5 ," $76,079 "," 8,300. "," 3,599 "
17,Cedar Mill, 274 feet," $591,469 ",39.2 years, 3.72 ,38.4 years, 104.2 ," $114,245 "," 14,546. "," 3,913 "
18,Central Point,," $217,992 ",39.2 years, 3.07 ,37.5 years, 96.0 ," $51,151 "," 17,724 (100% urban, 0% rural). "," 5,779 "
19,Chehalem Mountain,," $484,004 ",36.3 years, 58.0 ,39.0 years, 110.5 ," $75,770 "," 6,472.", 112 
20,City of The Dalles,," $213,403 ",36.3 years, 5.26 ,39.3 years, 100.0 ," $49,816 "," 12,113."," 2,303 "
21,Coast Range,," $424,505 ",36.3 years, 324.2 ,37.6 years, 106.9 ," $81,322 "," 9,013.", 28 
22,Coos Bay, 11 feet," $193,026 ",39.2 years, 10.6 ,43.4 years, 87.6 ," $42,930 "," 16,039 (99% urban, 1% rural). "," 1,515 "
23,"Cornelius, OR", 179 feet," $231,627 ",39.2 years, 1.89 ,29.9 years, 102.7 ," $63,355 "," 12,185 (100% urban, 0% rural). "," 6,433 "
24,"Corvallis, OR", 225 feet," $312,400 ",39.2 years, 13.6 ,27.0 years, 99.4 ," $46,830 "," 54,953 (100% urban, 0% rural). "," 4,040 "
25,"Cottage Grove, OR", 641 feet," $177,391 ",39.2 years, 3.30 ,38.2 years, 95.3 ," $41,197 "," 9,845 (100% urban, 0% rural). "," 2,986 "
26,"Dallas, OR", 326 feet," $201,345 ",39.2 years, 4.45 ,41.0 years, 95.8 ," $49,899 "," 15,102 (100% urban, 0% rural). "," 3,391 "
27,"Damascus, OR", 527 feet," $374,900
",39.2 years,,45.2 years, 103.5 ," $74,891"," 10,893 (78% urban, 22% rural).",
28,De Lake,," $240,386 ",36.3 years, 142.5 ,43.4 years, 106.4 ," $39,348 "," 12,365.", 87 
29,"Eagle Point, OR", 1305 feet," $223,317 ",39.2 years, 2.57 ,35.8 years, 96.6 ," $62,041 "," 8,753 (99% urban, 1% rural). "," 3,412 "
30,"Eugene, OR", 419 feet," $267,300 ",39.2 years, 40.5 ,34.3 years, 97.3 ," $46,189 "," 166,581"," 4,111 "
31,"Fairview, OR",," $261,706 ",39.2 years, 3.20 ,37.2 years, 103.9 ," $59,743 "," 9,218 (100% urban, 0% rural). "," 2,878 "
32,"Florence, OR", 23 feet," $199,317 ",39.2 years, 4.92 ,60.3 years, 96.4 ," $34,698 "," 8,506 (100% urban, 0% rural). "," 1,729 "
33,Forest Grove, 211 feet," $278,479 ",39.2 years, 4.60 ,33.5 years, 103.5 ," $54,068 "," 23,096 (99% urban, 1% rural). "," 5,022 "
34,"Four Corners, OR",," $171,277 ",39.2 years, 2.76 ,33.7 years, 96.4 ," $49,165 "," 15,947. "," 5,783 "
35,Garden Home-Whitford,," $424,909 ",39.2 years, 1.90 ,44.3 years, 106.2 ," $86,509 "," 6,674. "," 3,521 "
36,"Gladstone, OR", 250 feet," $272,922 ",39.2 years, 2.48 ,39.6 years, 104.0 ," $62,126 "," 11,888 (100% urban, 0% rural). "," 4,801 "
37,Grants Pass, 948 feet," $207,624 ",39.2 years, 7.58 ,38.4 years, 89.9 ," $34,689 "," 35,272 (99% urban, 1% rural). "," 4,650 "
38,"Green, OR", 495 feet," $133,774 ",39.2 years, 4.55 ,39.1 years, 84.5 ," $41,837 "," 7,515. "," 1,653 "
39,"Gresham, OR", 323 feet," $264,600 ",39.2 years, 22.2 ,37.8 years, 103.8 ," $58,042 "," 111,521"," 5,034 "
40,"Happy Valley, OR", 150 feet," $499,671 ",39.2 years, 2.70 ,38.5 years, 104.0 ," $115,406 "," 17,319 (100% urban, 0% rural). "," 6,416 "
41,"Hayesville, OR", 180 feet," $188,952 ",39.2 years, 3.93 ,32.1 years, 95.9 ," $47,860 "," 19,936. "," 5,072 "
42,Hermiston, 457 feet," $147,005 ",39.2 years, 6.46 ,30.7 years, 82.8 ," $49,887 "," 17,137 (99% urban, 1% rural). "," 2,652 "
43,"Hillsboro, OR", 150 feet," $313,400 ",39.2 years, 21.6 ,32.3 years, 104.5 ," $75,466 "," 105,171"," 4,876 "
44,Hood River, 400 feet," $376,993 ",39.2 years, 2.05 ,36.4 years, 97.3 ," $51,805 "," 7,476 (100% urban, 0% rural). "," 3,640 "
45,"Independence, OR", 168 feet," $168,686 ",39.2 years, 2.33 ,28.8 years, 96.5 ," $41,539 "," 8,768 (100% urban, 0% rural). "," 3,757 "
46,Jennings Lodge, 80 feet," $273,626 ",39.2 years, 1.61 ,34.3 years, 104.3 ," $57,706 "," 7,315. "," 4,541 "
47,Keizer, 134 feet," $236,742 ",39.2 years, 7.23 ,37.9 years, 96.3 ," $63,296 "," 37,303 (100% urban, 0% rural). "," 5,161 "
48,Klamath Falls, 4340 feet," $146,260 ",39.2 years, 17.9 ,34.6 years, 83.8 ," $40,197 "," 21,119 (96% urban, 4% rural). "," 1,182 "
49,"La Grande, OR", 2771 feet," $174,211 ",39.2 years, 4.35 ,34.3 years, 85.3 ," $43,752 "," 13,026 (100% urban, 0% rural). "," 2,994 "
50,Lake Oswego, 100 feet," $597,420 ",39.2 years, 10.3 ,45.1 years, 107.6 ," $97,782 "," 37,999 (100% urban, 0% rural). "," 3,673 "
51,"Lebanon, OR", 346 feet," $157,650 ",39.2 years, 5.25 ,38.4 years, 86.0 ," $40,802 "," 15,982 (97% urban, 3% rural). "," 3,045 "
52,Lincoln City, 4 feet," $256,555 ",39.2 years, 5.33 ,47.3 years, 92.3 ," $41,721 "," 8,036 (99% urban, 1% rural). "," 1,507 "
53,Madras, 2280 feet," $122,412 ",39.2 years, 2.18 ,32.6 years, 84.8 ," $37,596 "," 6,533 (97% urban, 3% rural). "," 2,994 "
54,"McMinnville, OR", 160 feet," $234,111 ",39.2 years, 9.90 ,35.3 years, 102.1 ," $53,199 "," 33,393 (100% urban, 0% rural). "," 3,372 "
55,"Medford, OR", 1383 feet," $238,100 ",39.2 years, 21.7 ,39.6 years, 97.3 ," $44,697 "," 81,621"," 3,762 "
56,Milton-Freewater, 1033 feet," $111,380 ",39.2 years, 1.88 ,32.8 years, 82.0 ," $41,221 "," 7,088 (99% urban, 1% rural). "," 3,762 "
57,Milwaukie, 300 feet," $287,842 ",39.2 years, 4.81 ,41.5 years, 104.4 ," $60,726 "," 20,640 (100% urban, 0% rural). "," 4,288 "
58,Molalla, 373 feet," $243,432 ",39.2 years, 1.92 ,33.4 years, 103.1 ," $59,858 "," 8,422 (100% urban, 0% rural). "," 4,384 "
59,"Monmouth, OR", 201 feet," $222,333 ",39.2 years, 1.93 ,23.7 years, 98.3 ," $34,298 "," 9,950 (99% urban, 1% rural). "," 5,147 "
60,Mount Hood,," $359,997 ",36.3 years, 357.3 ,39.3 years, 104.9 ," $73,043 "," 11,559.", 32 
