,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Aliquippa, 700 feet," $72,468 ",40.6 years, 4.09 ,42.2 years, 92.1 ," $34,487 "," 9,244 (100% urban, 0% rural). "," 2,259 "
1,"Allentown, PA", 350 feet," $121,800 ",40.6 years, 17.7 ,30.5 years, 100.7 ," $35,813 "," 120,440"," 6,790 "
2,Allison Park, 1100 feet," $147,100
",40.6 years,,45.1 years, 97.2 ," $56,140"," 21,552.",
3,"Altoona, PA", 1170 feet," $86,993 ",40.6 years, 9.77 ,38.9 years, 92.0 ," $36,249 "," 45,558 (100% urban, 0% rural). "," 4,664 "
4,"Ambler, PA", 250 feet," $276,729 ",40.6 years, 0.84 ,35.0 years, 106.7 ," $58,754 "," 6,506 (100% urban, 0% rural). "," 7,701 "
5,Ambridge, 800 feet," $73,579 ",40.6 years, 1.48 ,40.0 years, 92.1 ," $35,927 "," 6,895 (100% urban, 0% rural). "," 4,644 "
6,Ancient Oaks, 400 feet," $281,091 ",40.6 years, 2.20 ,39.6 years, 102.5 ," $97,865 "," 6,661. "," 3,034 "
7,Archbald, 1000 feet," $144,457 ",40.6 years, 16.8 ,42.3 years, 95.0 ," $50,542 "," 7,075 (87% urban, 13% rural). ", 421 
8,"Ardmore, PA", 350 feet," $324,037 ",40.6 years, 1.91 ,39.9 years, 107.3 ," $82,802 "," 12,455. "," 6,504 "
9,"Arlington Heights, PA", 460 feet," $167,184 ",40.6 years, 5.28 ,43.3 years, 93.3 ," $55,515 "," 6,333. "," 1,200 "
10,"Audubon, PA", 192 feet," $351,772 ",40.6 years, 4.48 ,36.2 years, 107.5 ," $85,676 "," 8,433. "," 1,881 "
11,Back Mountain, 1260 feet," $175,420 ",38.0 years, 107.0 ,40.1 years, 99.8 ," $67,996 "," 26,134.", 244 
12,"Baldwin, PA",," $131,996 ",40.6 years, 5.77 ,42.1 years, 94.5 ," $57,396 "," 19,740 (100% urban, 0% rural). "," 3,421 "
13,Beaver Falls, 780 feet," $67,022 ",40.6 years, 2.12 ,32.8 years, 91.9 ," $32,324 "," 8,740 (100% urban, 0% rural). "," 4,125 "
14,"Bellefonte, PA", 809 feet," $189,215 ",40.6 years, 1.82 ,42.0 years, 99.4 ," $56,571 "," 6,227 (100% urban, 0% rural). "," 3,418 "
15,"Bellevue, PA",," $115,469 ",40.6 years, 1.00 ,38.2 years, 94.4 ," $42,420 "," 8,300 (100% urban, 0% rural). "," 8,298 "
16,"Berwick, PA", 569 feet," $101,637 ",40.6 years, 3.10 ,39.5 years, 88.1 ," $40,278 "," 10,316 (100% urban, 0% rural). "," 3,329 "
17,Bethel Park, 1250 feet," $182,452 ",40.6 years, 11.7 ,45.9 years, 95.5 ," $74,447 "," 32,257 (100% urban, 0% rural). "," 2,759 "
18,"Bethlehem, PA", 360 feet," $167,700 ",40.6 years, 19.3 ,35.9 years, 100.9 ," $52,588 "," 76,427"," 3,969 "
19,"Blakely, PA", 802 feet," $147,350 ",40.6 years, 3.86 ,51.5 years, 95.6 ," $39,840 "," 6,475 (100% urban, 0% rural). "," 1,675 "
20,Blandon, 370 feet," $174,800
",40.6 years,,40.9 years, 98.7 ," $59,286"," 7,152.",
21,Bloomsburg, 530 feet," $127,565 ",40.6 years, 4.39 ,22.8 years, 91.9 ," $31,577 "," 14,727 (100% urban, 0% rural). "," 3,354 "
22,Blue Bell, 360 feet," $446,597 ",40.6 years, 5.41 ,49.7 years, 106.3 ," $133,678 "," 6,067. "," 1,122 "
23,"Bradford, PA", 1442 feet," $57,410 ",40.6 years, 3.45 ,37.1 years, 84.4 ," $36,854 "," 8,552 (100% urban, 0% rural). "," 2,479 "
24,"Brentwood, PA", 1255 feet," $105,400 ",40.6 years, 1.45 ,36.5 years, 94.0 ," $52,876 "," 9,563 (100% urban, 0% rural). "," 6,613 "
