,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Barrington, RI", 50 feet," $416,831 ",36.7 years, 8.42 ,40.2 years, 113.1 ," $111,528 "," 16,572."," 1,969 "
1,"Bristol, RI", 75 feet," $328,469 ",36.7 years, 10.1 ,38.2 years, 113.3 ," $65,323 "," 22,139."," 2,190 "
2,Burrillville,," $241,252 ",42.3 years, 55.6 ,42.4 years, 102.6 ," $74,531 "," 15,955. ", 287 
3,Central Falls, 100 feet," $161,015 ",40.2 years, 1.21 ,28.8 years, 95.9 ," $29,890 "," 19,328 (100% urban, 0% rural). "," 15,983 "
4,"Charlestown, RI", 19 feet," $307,986 ",42.3 years, 36.8 ,47.0 years, 109.6 ," $75,451 "," 7,827. ", 212 
5,"Coventry, RI", 414 feet," $233,585 ",42.3 years, 59.5 ,42.7 years, 102.5 ," $68,892 "," 35,014. ", 588 
6,Cranston, 60 feet," $224,200 ",40.2 years, 28.6 ,41.9 years, 92.6 ," $67,275 "," 81,025"," 2,836 "
7,Cumberland Hill, 213 feet," $257,688 ",40.2 years, 3.29 ,45.2 years, 91.1 ," $83,383 "," 7,934. "," 2,415 "
8,"Cumberland, RI", 326 feet," $257,611 ",42.3 years, 26.8 ,42.5 years, 103.2 ," $77,464 "," 33,506. "," 1,251 "
9,East Greenwich, 100 feet," $448,884 ",42.3 years, 16.6 ,44.6 years, 115.2 ," $92,846 "," 13,146. ", 793 
10,East Providence, 59 feet," $216,257 ",40.2 years, 13.4 ,41.9 years, 93.9 ," $54,347 "," 47,331 (100% urban, 0% rural). "," 3,531 "
11,"Exeter, RI", 266 feet," $338,825 ",42.3 years, 57.7 ,44.2 years, 105.7 ," $94,443 "," 6,425. ", 111 
12,Glocester,," $266,959 ",42.3 years, 54.8 ,44.7 years, 103.3 ," $81,547 "," 9,746. ", 178 
13,"Greenville, RI", 322 feet," $278,508 ",40.2 years, 5.21 ,49.7 years, 95.2 ," $80,022 "," 8,658. "," 1,661 "
14,"Hopkinton, RI", 170 feet," $287,632 ",42.3 years, 43.0 ,43.2 years, 106.1 ," $76,462 "," 8,188. ", 190 
15,"Johnston, RI",," $233,163 ",42.3 years, 23.7 ,43.9 years, 104.9 ," $61,672 "," 28,769. "," 1,216 "
