,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Aiken, 530 feet," $193,856 ",39.1 years, 16.2 ,46.2 years, 91.5 ," $53,845 "," 30,258 (98% urban, 2% rural). "," 1,871 "
1,"Anderson, SC", 771 feet," $125,352 ",39.1 years, 13.8 ,37.2 years, 84.7 ," $32,755 "," 27,181 (100% urban, 0% rural). "," 1,964 "
2,Bear Swamp,," $331,682 ",35.4 years, 40.5 ,36.7 years, 101.9 ," $83,610 "," 13,204.", 326 
3,"Beaufort, SC", 11 feet," $200,059 ",39.1 years, 18.6 ,34.3 years, 85.7 ," $52,296 "," 13,130 (94% urban, 6% rural). ", 705 
4,Beech Island, 237 feet," $126,695 ",35.4 years, 67.7 ,34.5 years, 84.1 ," $46,884 "," 8,468.", 125 
5,Bennettsville, 155 feet," $89,168 ",39.1 years, 5.59 ,38.8 years, 79.2 ," $31,357 "," 8,833 (98% urban, 2% rural). "," 1,580 "
6,"Berea, SC", 1040 feet," $117,037 ",39.1 years, 7.61 ,34.4 years, 86.2 ," $34,043 "," 14,295. "," 1,880 "
7,"Bluffton, SC", 25 feet," $220,714 ",39.1 years, 34.0 ,36.1 years, 89.2 ," $74,745 "," 15,199 (80% urban, 20% rural). ", 447 
8,"Boiling Springs, SC",," $159,819 ",39.1 years, 6.81 ,36.9 years, 84.0 ," $59,862 "," 8,219. "," 1,206 "
9,"Brushy Creek, SC",," $181,064 ",35.4 years, 68.2 ,36.7 years, 88.6 ," $59,684 "," 21,300.", 312 
10,"Burton, SC", 32 feet," $124,326 ",39.1 years, 11.0 ,35.4 years, 83.0 ," $53,861 "," 6,976. ", 632 
11,"Camden, SC", 200 feet," $156,901 ",39.1 years, 9.65 ,49.0 years, 87.4 ," $47,085 "," 7,030 (98% urban, 2% rural). ", 728 
12,"Cayce, SC",," $125,837 ",39.1 years, 10.9 ,32.2 years, 87.4 ," $47,220 "," 12,951 (100% urban, 0% rural). "," 1,188 "
13,"Centerville, SC",," $136,266 ",39.1 years, 5.88 ,41.1 years, 83.8 ," $52,065 "," 6,586. "," 1,120 "
14,"Charleston, SC", 118 feet," $297,700 ",39.1 years, 97.0 ,35.7 years, 94.5 ," $61,467 "," 137,539"," 1,418 "
15,Clemson, 758 feet," $226,279 ",39.1 years, 7.37 ,23.4 years, 88.3 ," $39,401 "," 15,072 (99% urban, 1% rural). "," 2,046 "
16,"Clinton, SC", 676 feet," $90,965 ",39.1 years, 9.09 ,31.8 years, 85.9 ," $33,200 "," 8,619 (96% urban, 4% rural). ", 948 
17,"Columbia, SC", 314 feet," $164,600 ",39.1 years, 125.2 ,28.5 years, 87.9 ," $48,577 "," 133,972"," 1,070 "
18,"Conway, SC", 40 feet," $157,961 ",39.1 years, 12.7 ,32.3 years, 89.5 ," $38,164 "," 20,175 (87% urban, 13% rural). "," 1,588 "
19,"Cross, SC", 83 feet," $136,936 ",35.4 years, 147.4 ,35.8 years, 85.0 ," $42,414 "," 8,326.", 56 
20,Danwood, 110 feet," $133,436 ",35.4 years, 69.2 ,35.8 years, 84.4 ," $50,762 "," 13,038.", 189 
21,"Darlington, SC", 157 feet," $86,203 ",39.1 years, 4.29 ,42.2 years, 81.2 ," $27,565 "," 6,206 (98% urban, 2% rural). "," 1,446 "
22,Dentsville, 220 feet," $114,857 ",39.1 years, 7.05 ,33.5 years, 87.2 ," $39,077 "," 14,062. "," 1,994 "
23,"Dillon, SC", 113 feet," $106,208 ",39.1 years, 4.82 ,37.2 years, 78.8 ," $38,756 "," 6,658 (98% urban, 2% rural). "," 1,381 "
24,Dutch Fork, 980 feet," $155,863 ",35.4 years, 83.5 ,31.5 years, 91.4 ," $56,325 "," 66,450.", 796 
25,Easley, 1091 feet," $160,515 ",39.1 years, 10.6 ,41.6 years, 86.1 ," $46,252 "," 20,549 (100% urban, 0% rural). "," 1,932 "
26,Fairmont Mills, 772 feet," $200,229 ",35.4 years, 29.9 ,36.6 years, 88.7 ," $70,163 "," 8,641.", 289 
27,Five Forks,," $292,808 ",39.1 years, 7.71 ,37.9 years, 88.1 ," $118,938 "," 14,140. "," 1,834 "
28,"Florence, SC", 149 feet," $159,651 ",39.1 years, 17.7 ,39.6 years, 82.6 ," $49,222 "," 37,961 (99% urban, 1% rural). "," 2,145 "
29,Forest Acres, 248 feet," $190,478 ",39.1 years, 4.59 ,44.5 years, 87.7 ," $60,019 "," 10,603 (100% urban, 0% rural). "," 2,311 "
30,Fort Mill, 668 feet," $226,661 ",39.1 years, 4.56 ,38.3 years, 91.3 ," $71,812 "," 13,087 (99% urban, 1% rural). "," 2,868 "
31,Fountain Inn, 872 feet," $128,676 ",39.1 years, 5.51 ,35.5 years, 85.9 ," $55,460 "," 8,134 (98% urban, 2% rural). "," 1,476 "
32,Gaffney, 769 feet," $109,745 ",39.1 years, 7.86 ,38.8 years, 81.1 ," $31,755 "," 12,597 (100% urban, 0% rural). "," 1,602 "
33,"Gantt, SC", 985 feet," $106,583 ",39.1 years, 10.1 ,35.2 years, 85.8 ," $34,995 "," 14,229. "," 1,414 "
34,"Garden City, SC",," $130,461 ",39.1 years, 5.36 ,60.8 years, 89.7 ," $43,756 "," 9,209. "," 1,718 "
35,"Georgetown, SC",," $129,250 ",39.1 years, 6.54 ,37.1 years, 83.2 ," $27,554 "," 9,054 (99% urban, 1% rural). "," 1,384 "
36,"Goose Creek, SC", 41 feet," $184,152 ",39.1 years, 31.7 ,32.0 years, 92.5 ," $66,816 "," 40,370 (97% urban, 3% rural). "," 1,274 "
37,Gramling, 989 feet," $126,445 ",35.4 years, 29.1 ,37.0 years, 83.9 ," $52,742 "," 6,304.", 217 
38,"Greenville, SC", 966 feet," $266,400 ",39.1 years, 26.1 ,34.4 years, 89.3 ," $49,000 "," 67,447"," 2,587 "
39,"Greenwood, SC",," $106,474 ",39.1 years, 13.7 ,32.4 years, 81.7 ," $28,421 "," 23,236 (99% urban, 1% rural). "," 1,697 "
40,"Greer, SC", 1016 feet," $161,007 ",39.1 years, 16.1 ,34.0 years, 86.4 ," $51,414 "," 27,676 (99% urban, 1% rural). "," 1,716 "
