,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Alcoa, 895 feet," $125,528 ",38.6 years, 13.8 ,41.2 years, 86.3 ," $38,241 "," 8,753 (99% urban, 1% rural). ", 635 
1,Almaville, 620 feet," $201,419 ",35.9 years, 74.0 ,33.2 years, 86.7 ," $74,060 "," 20,899.", 282 
2,"Alpha, TN", 1280 feet," $160,388 ",35.9 years, 27.8 ,38.0 years, 84.9 ," $55,775 "," 11,323.", 407 
3,"Arlington, TN", 295 feet," $221,947 ",38.6 years, 20.4 ,32.7 years, 89.9 ," $98,082 "," 11,634 (91% urban, 9% rural). ", 570 
4,"Athens, TN", 867 feet," $142,254 ",38.6 years, 13.5 ,39.1 years, 83.8 ," $30,492 "," 13,664 (97% urban, 3% rural). "," 1,009 "
5,"Atoka, TN", 434 feet," $186,216 ",38.6 years, 6.67 ,38.4 years, 87.1 ," $90,735 "," 8,935 (93% urban, 7% rural). "," 1,340 "
6,"Barnard, TN",," $144,413 ",35.9 years, 100.8 ,40.5 years, 84.3 ," $45,884 "," 6,335.", 63 
7,"Bartlett, TN", 290 feet," $182,962 ",38.6 years, 19.1 ,42.1 years, 87.6 ," $83,039 "," 58,264 (99% urban, 1% rural). "," 3,053 "
8,Bean Station, 1150 feet," $112,023 ",35.9 years, 52.4 ,36.9 years, 82.8 ," $40,978 "," 7,818.", 149 
9,Beech Springs, 995 feet," $153,726 ",35.9 years, 34.7 ,35.1 years, 84.2 ," $48,067 "," 10,760.", 310 
10,"Belleview, TN",," $128,439 ",35.9 years, 62.2 ,37.1 years, 83.1 ," $50,353 "," 7,914.", 127 
11,"Bethesda, TN",," $151,814 ",35.9 years, 58.5 ,39.0 years, 85.1 ," $47,162 "," 6,697.", 114 
12,Binfield, 950 feet," $189,476 ",35.9 years, 28.9 ,37.5 years, 85.6 ," $57,453 "," 7,793.", 269 
13,"Bloomingdale, TN", 1500 feet," $97,018 ",38.6 years, 10.3 ,46.3 years, 81.1 ," $36,494 "," 9,888. ", 959 
14,Bluff City-Piney Flats,," $121,249 ",35.9 years, 107.6 ,38.7 years, 83.3 ," $45,058 "," 19,335.", 180 
15,"Boston, TN", 730 feet," $322,470 ",35.9 years, 118.9 ,32.2 years, 88.9 ," $87,762 "," 12,703.", 107 
16,"Brentwood, TN", 725 feet," $645,942 ",38.6 years, 34.6 ,41.4 years, 95.4 ," $157,101 "," 40,982 (99% urban, 1% rural). "," 1,183 "
17,"Bristol, TN", 1672 feet," $114,760 ",38.6 years, 29.3 ,44.2 years, 81.6 ," $40,770 "," 26,729 (95% urban, 5% rural). ", 911 
18,"Brownsville, TN", 390 feet," $101,749 ",38.6 years, 9.12 ,38.2 years, 80.6 ," $29,285 "," 9,974 (96% urban, 4% rural). "," 1,093 "
19,Calhoun-Riceville,," $138,199 ",35.9 years, 105.3 ,37.9 years, 84.1 ," $48,620 "," 6,863.", 65 
20,Cedars,," $239,214 ",35.9 years, 131.7 ,35.8 years, 86.9 ," $77,752 "," 15,507.", 118 
21,"Chattanooga, TN", 685 feet," $164,400 ",38.6 years, 135.2 ,36.7 years, 89.7 ," $41,226 "," 177,582"," 1,313 "
22,"Chilhowee, TN", 900 feet," $168,220 ",35.9 years, 36.8 ,37.5 years, 91.6 ," $54,826 "," 14,680.", 399 
23,"Christiana, TN", 720 feet," $172,485 ",35.9 years, 93.3 ,32.3 years, 85.0 ," $64,271 "," 9,830.", 105 
24,"Church Hill, TN", 1249 feet," $133,181 ",38.6 years, 8.89 ,42.8 years, 81.6 ," $44,062 "," 6,752 (91% urban, 9% rural). ", 760 
25,"Clarksville, TN", 493 feet," $150,100 ",38.6 years, 94.9 ,29.8 years, 87.9 ," $51,696 "," 150,280"," 1,584 "
26,"Cleveland, TN", 980 feet," $157,464 ",38.6 years, 24.9 ,33.9 years, 84.5 ," $40,165 "," 43,182 (100% urban, 0% rural). "," 1,731 "
27,"Clinton, TN", 846 feet," $144,671 ",38.6 years, 10.9 ,46.5 years, 86.1 ," $42,762 "," 9,889 (90% urban, 10% rural). ", 907 
28,Collegedale, 800 feet," $206,214 ",38.6 years, 8.33 ,36.2 years, 89.9 ," $50,544 "," 10,729 (93% urban, 7% rural). "," 1,287 "
29,"Collierville, TN", 387 feet," $297,567 ",38.6 years, 24.5 ,40.7 years, 87.5 ," $112,564 "," 48,655 (100% urban, 0% rural). "," 1,982 "
30,"Colonial Heights, TN", 420 feet," $138,040 ",38.6 years, 6.50 ,46.7 years, 83.1 ," $45,179 "," 6,934. "," 1,066 "
31,"Columbia, TN", 637 feet," $137,349 ",38.6 years, 29.6 ,37.5 years, 82.6 ," $39,745 "," 36,071 (96% urban, 4% rural). "," 1,219 "
32,"Concord, TN",," $317,819 ",35.9 years, 26.4 ,40.4 years, 94.5 ," $106,345 "," 28,138."," 1,066 "
33,Cookeville, 1133 feet," $164,426 ",38.6 years, 21.9 ,30.3 years, 84.1 ," $30,795 "," 31,335 (95% urban, 5% rural). "," 1,434 "
34,"Covington, TN", 339 feet," $105,853 ",38.6 years, 10.3 ,39.6 years, 85.4 ," $33,138 "," 9,010 (90% urban, 10% rural). ", 875 
35,"Crossville, TN", 1863 feet," $147,871 ",38.6 years, 14.7 ,36.6 years, 83.9 ," $27,805 "," 11,330 (92% urban, 8% rural). ", 769 
36,"Dayton, TN", 694 feet," $123,028 ",38.6 years, 6.13 ,35.5 years, 82.2 ," $32,694 "," 7,395 (97% urban, 3% rural). "," 1,206 "
37,Dibrell,," $111,012 ",35.9 years, 98.3 ,36.8 years, 82.9 ," $43,067 "," 6,640.", 68 
