,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Abilene, TX", 1718 feet," $107,200 ",34.5 years, 105.1 ,32.3 years, 83.1 ," $45,713 "," 128,272"," 1,220 "
1,Abram-Perezville,," $69,086 ",32.3 years, 5.07 ,29.3 years, 83.2 ," $32,784 "," 6,663."," 1,314 "
2,"Addison, TX",," $342,110 ",34.5 years, 4.43 ,32.7 years, 97.5 ," $74,660 "," 15,457 (100% urban, 0% rural). "," 3,492 "
3,Alamo Heights,," $574,314 ",34.5 years, 1.85 ,43.9 years, 93.7 ," $112,797 "," 7,806 (100% urban, 0% rural). "," 4,229 "
4,"Alamo, TX", 101 feet," $71,698 ",34.5 years, 5.72 ,33.8 years, 81.0 ," $35,986 "," 19,224 (100% urban, 0% rural). "," 3,361 "
5,Aldine, 81 feet," $92,111 ",34.5 years, 8.09 ,28.5 years, 92.6 ," $35,251 "," 15,869. "," 1,960 "
6,"Alice, TX", 202 feet," $88,502 ",34.5 years, 11.9 ,34.9 years, 79.0 ," $40,537 "," 19,395 (98% urban, 2% rural). "," 1,630 "
7,"Allen, TX", 650 feet," $292,900 ",34.5 years, 26.3 ,38.6 years, 94.6 ," $102,064 "," 99,166"," 3,765 "
8,Alton North,," $56,491 ",32.3 years, 4.19 ,22.8 years, 82.5 ," $25,406 "," 6,182."," 1,475 "
9,"Alton, TX",," $84,991 ",34.5 years, 2.11 ,26.6 years, 82.1 ," $31,693 "," 15,497 (100% urban, 0% rural). "," 7,337 "
10,"Alvin, TX",," $126,622 ",34.5 years, 16.4 ,33.2 years, 88.8 ," $47,731 "," 25,525 (96% urban, 4% rural). "," 1,553 "
11,"Amarillo, TX",," $126,800 ",34.5 years, 89.9 ,34.0 years, 83.8 ," $51,466 "," 197,812"," 2,201 "
12,Anderson Mill,," $211,726 ",32.3 years, 1.41 ,32.7 years, 98.2 ," $74,629 "," 13,106."," 9,286 "
13,Anderson-Bedias,," $119,948 ",32.3 years, 512.8 ,39.0 years, 82.9 ," $50,761 "," 8,192.", 16 
