,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Alpine, UT", 4957 feet," $527,422 ",30.7 years, 7.20 ,28.5 years, 88.8 ," $110,819 "," 10,131 (97% urban, 3% rural). "," 1,407 "
1,American Fork, 4566 feet," $267,661 ",30.7 years, 7.54 ,27.5 years, 86.7 ," $75,411 "," 28,152 (99% urban, 1% rural). "," 3,735 "
2,"Bingham, UT",," $299,554 ",27.1 years, 105.1 ,24.6 years, 97.8 ," $86,968 "," 24,210.", 230 
3,Bluffdale, 4435 feet," $444,075 ",30.7 years, 16.4 ,28.3 years, 91.0 ," $97,334 "," 9,887 (94% urban, 6% rural). ", 602 
4,Bountiful, 4408 feet," $283,985 ",30.7 years, 13.5 ,34.6 years, 87.3 ," $69,554 "," 43,385 (99% urban, 1% rural). "," 3,220 "
5,Brigham City, 4439 feet," $171,064 ",30.7 years, 14.3 ,33.4 years, 82.5 ," $50,313 "," 18,631 (98% urban, 2% rural). "," 1,302 "
6,Canyon Rim,," $304,012 ",27.1 years, 2.07 ,34.8 years, 100.4 ," $72,985 "," 11,601."," 5,600 "
7,Cedar City, 5834 feet," $200,708 ",30.7 years, 20.1 ,26.2 years, 83.7 ," $42,827 "," 29,483 (94% urban, 6% rural). "," 1,468 "
8,"Cedar Hills, UT", 4960 feet," $371,751 ",30.7 years, 1.97 ,23.0 years, 89.1 ," $96,292 "," 10,261 (100% urban, 0% rural). "," 5,218 "
9,"Centerville, UT", 4246 feet," $278,688 ",30.7 years, 6.04 ,36.5 years, 87.5 ," $85,444 "," 16,819 (100% urban, 0% rural). "," 2,786 "
10,"Clearfield, UT", 4487 feet," $174,166 ",30.7 years, 7.75 ,28.7 years, 86.7 ," $53,648 "," 30,484 (100% urban, 0% rural). "," 3,934 "
11,"Clinton, UT",," $212,134 ",30.7 years, 5.50 ,30.7 years, 87.8 ," $78,368 "," 21,104 (99% urban, 1% rural). "," 3,834 "
12,Cottonwood Heights, 4900 feet," $373,993 ",30.7 years, 6.80 ,36.4 years, 91.7 ," $87,167 "," 34,166 (100% urban, 0% rural). "," 5,023 "
13,Cottonwood West,," $310,788 ",27.1 years, 4.02 ,39.5 years, 100.1 ," $69,051 "," 20,833."," 5,179 "
14,"Draper, UT", 4525 feet," $442,951 ",30.7 years, 30.3 ,32.3 years, 92.0 ," $111,731 "," 46,202 (95% urban, 5% rural). "," 1,523 "
15,"Eagle Mountain, UT",," $254,417 ",30.7 years, 41.7 ,20.4 years, 87.8 ," $77,179 "," 25,593 (93% urban, 7% rural). ", 614 
16,East Millcreek, 4800 feet," $365,171 ",27.1 years, 4.45 ,37.5 years, 100.8 ," $81,873 "," 23,790."," 5,342 "
17,Emigration,," $490,699 ",27.1 years, 123.5 ,43.2 years, 103.9 ," $125,963 "," 9,626.", 78 
18,Enoch, 5500 feet," $163,598 ",30.7 years, 3.31 ,24.0 years, 83.9 ," $58,445 "," 6,115 (90% urban, 10% rural). "," 1,847 "
19,"Ephraim, UT", 5543 feet," $215,196 ",30.7 years, 3.57 ,22.2 years, 84.2 ," $40,758 "," 6,463 (93% urban, 7% rural). "," 1,811 "
20,"Farmington, UT", 4302 feet," $346,456 ",30.7 years, 7.76 ,30.0 years, 87.1 ," $101,145 "," 22,159 (99% urban, 1% rural). "," 2,857 "
21,Farr West, 4260 feet," $276,466 ",30.7 years, 5.84 ,36.9 years, 86.1 ," $90,961 "," 6,329 (94% urban, 6% rural). "," 1,084 "
22,"Grantsville, UT", 4304 feet," $222,551 ",30.7 years, 17.8 ,32.6 years, 89.3 ," $68,229 "," 9,838 (76% urban, 24% rural). ", 552 
23,"Harrisville, UT", 4290 feet," $184,200 ",30.7 years, 2.70 ,31.6 years, 85.7 ," $70,899 "," 6,069 (100% urban, 0% rural). "," 2,244 "
24,"Heber, UT", 5595 feet," $302,121 ",30.7 years, 3.45 ,28.6 years, 89.3 ," $67,147 "," 13,599 (99% urban, 1% rural). "," 3,942 "
25,Herriman, 4941 feet," $341,985 ",30.7 years, 9.12 ,23.7 years, 91.6 ," $88,443 "," 28,556 (94% urban, 6% rural). "," 3,133 "
26,"Highland, UT", 5000 feet," $536,135 ",30.7 years, 6.96 ,23.0 years, 89.2 ," $133,113 "," 17,456 (99% urban, 1% rural). "," 2,508 "
27,"Holladay, UT", 4500 feet," $399,038 ",30.7 years, 5.34 ,39.9 years, 92.0 ," $82,644 "," 27,129 (100% urban, 0% rural). "," 5,079 "
28,"Hooper, UT", 4240 feet," $303,350 ",30.7 years, 11.5 ,31.9 years, 87.8 ," $93,219 "," 8,107 (83% urban, 17% rural). ", 703 
29,"Hurricane, UT", 3266 feet," $217,571 ",30.7 years, 31.1 ,36.3 years, 87.9 ," $50,510 "," 15,032 (86% urban, 14% rural). ", 483 
30,Hyrum, 4706 feet," $182,677 ",30.7 years, 3.91 ,25.4 years, 87.4 ," $66,731 "," 7,818 (97% urban, 3% rural). "," 2,002 "
31,Ivins, 3074 feet," $265,239 ",30.7 years, 10.2 ,43.5 years, 89.7 ," $55,597 "," 7,665 (78% urban, 22% rural). ", 752 
32,Kaysville, 4349 feet," $310,695 ",30.7 years, 10.1 ,29.4 years, 85.8 ," $93,113 "," 29,494 (99% urban, 1% rural). "," 2,922 "
33,Kearns, 4525 feet," $173,070 ",30.7 years, 4.81 ,30.1 years, 91.0 ," $61,796 "," 35,731. "," 7,425 "
34,"Layton, UT", 4356 feet," $235,000 ",30.7 years, 20.7 ,30.9 years, 86.4 ," $68,892 "," 75,658"," 3,654 "
35,Lehi, 4562 feet," $308,786 ",30.7 years, 20.3 ,24.9 years, 87.6 ," $87,913 "," 56,275 (98% urban, 2% rural). "," 2,769 "
36,Lindon, 4640 feet," $387,899 ",30.7 years, 8.40 ,27.0 years, 86.8 ," $91,607 "," 10,723 (100% urban, 0% rural). "," 1,277 "
37,Little Cottonwood Creek Valley,," $491,590 ",27.1 years, 2.60 ,34.7 years, 100.7 ," $110,226 "," 8,033."," 3,089 "
38,"Logan, UT", 4535 feet," $179,181 ",30.7 years, 16.5 ,24.2 years, 88.2 ," $40,492 "," 48,997 (100% urban, 0% rural). "," 2,966 "
39,Magna, 4261 feet," $169,139 ",30.7 years, 7.43 ,30.6 years, 90.2 ," $59,039 "," 26,505. "," 3,569 "
40,"Mapleton, UT", 4724 feet," $405,673 ",30.7 years, 9.23 ,31.4 years, 87.5 ," $105,510 "," 9,071 (94% urban, 6% rural). ", 983 
41,"Midvale, UT", 4354 feet," $225,968 ",30.7 years, 5.84 ,31.2 years, 91.5 ," $55,825 "," 31,725 (100% urban, 0% rural). "," 5,431 "
42,Millcreek,," $333,337 ",30.7 years, 4.93 ,36.7 years, 92.5 ," $63,021 "," 62,139. "," 12,602 "
43,Mount Olympus,," $467,875 ",27.1 years, 3.39 ,44.1 years, 105.6 ," $120,208 "," 7,902."," 2,333 "
44,"Murray, UT", 4350 feet," $265,277 ",30.7 years, 9.61 ,36.1 years, 91.6 ," $58,973 "," 48,822 (100% urban, 0% rural). "," 5,083 "
45,Nibley, 4553 feet," $239,490 ",30.7 years, 3.32 ,22.9 years, 87.6 ," $85,159 "," 6,172 (96% urban, 4% rural). "," 1,860 "
46,"North Davis, UT",," $238,500 ",27.1 years, 186.7 ,25.7 years, 92.2 ," $73,906 "," 179,550.", 962 
47,"North Logan, UT", 4640 feet," $258,501 ",30.7 years, 6.92 ,25.4 years, 88.1 ," $73,879 "," 9,874 (94% urban, 6% rural). "," 1,428 "
48,North Ogden, 4275 feet," $234,316 ",30.7 years, 6.50 ,34.5 years, 86.5 ," $83,206 "," 18,172 (100% urban, 0% rural). "," 2,794 "
