,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Abingdon, VA", 2069 feet," $166,541 ",38.2 years, 8.34 ,45.9 years, 81.8 ," $36,413 "," 8,146 (96% urban, 4% rural). ", 977 
1,"Alexandria, VA", 30 feet," $578,500 ",38.2 years, 15.2 ,36.6 years, 140.0 ," $87,920 "," 155,810"," 10,266 "
2,"Annandale, VA", 360 feet," $476,664 ",38.2 years, 13.8 ,39.2 years, 136.8 ," $81,697 "," 41,008. "," 2,971 "
3,Aquia Harbour, 50 feet," $358,835 ",38.2 years, 7.74 ,43.3 years, 133.0 ," $118,618 "," 6,727. ", 869 
4,"Arlington, VA",," $678,100 ",38.2 years, 25.9 ,34.8 years, 140.7 ," $110,388 "," 230,050"," 8,893 "
5,"Ashburn, VA", 300 feet," $482,700
",38.2 years,,35.5 years, 133.6 ," $134,464"," 43,511.",
6,"Ashland, VA", 221 feet," $187,343 ",38.2 years, 7.18 ,33.6 years, 94.2 ," $44,114 "," 7,328 (96% urban, 4% rural). "," 1,021 "
7,Bailey's Crossroads,," $368,978 ",38.2 years, 2.05 ,36.8 years, 137.5 ," $66,830 "," 23,643. "," 11,508 "
8,"Bedford, VA", 1017 feet," $148,012 ",38.2 years, 6.89 ,43.2 years, 84.7 ," $39,529 "," 6,466 (97% urban, 3% rural). ", 939 
9,"Bellwood, VA", 95 feet," $141,163 ",38.2 years, 5.94 ,37.9 years, 93.4 ," $40,376 "," 6,352. "," 1,069 "
10,"Blacksburg, VA",," $301,847 ",38.2 years, 19.4 ,22.2 years, 90.1 ," $39,067 "," 43,985 (99% urban, 1% rural). "," 2,272 "
11,"Bon Air, VA",," $228,317 ",38.2 years, 8.84 ,41.8 years, 93.4 ," $75,006 "," 16,366. "," 1,851 "
12,Brambleton,," $482,700
",38.2 years,,34.3 years, 135.9 ," $134,464"," 9,845.",
13,Brandermill, 200 feet," $231,600
",38.2 years,,42.4 years, 94.5 ," $76,059"," 13,173.",
