,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,"Aberdeen, WA", 10 feet," $114,469 ",37.7 years, 10.6 ,37.2 years, 81.2 ," $45,117 "," 16,255 (99% urban, 1% rural). "," 1,529 "
1,Agnew-Carlsborg,," $262,434 ",35.3 years, 106.4 ,51.1 years, 96.2 ," $51,089 "," 9,934.", 93 
2,Airway Heights, 2370 feet," $162,767 ",37.7 years, 4.88 ,34.5 years, 92.8 ," $44,086 "," 6,545 (100% urban, 0% rural). "," 1,343 "
3,Alderwood Manor, 360 feet," $369,580 ",37.7 years, 4.80 ,36.6 years, 114.7 ," $76,804 "," 8,442. "," 1,759 "
4,Anacortes, 100 feet," $358,221 ",37.7 years, 11.8 ,49.5 years, 100.7 ," $66,915 "," 16,232 (97% urban, 3% rural). "," 1,378 "
5,"Arlington, WA", 120 feet," $285,192 ",37.7 years, 7.56 ,37.3 years, 112.2 ," $71,315 "," 18,808 (100% urban, 0% rural). "," 2,486 "
6,Artondale, 55 feet," $425,422 ",37.7 years, 10.1 ,43.1 years, 113.3 ," $98,141 "," 12,653. "," 1,254 "
7,"Auburn, WA", 85 feet," $279,800 ",37.7 years, 21.3 ,36.5 years, 112.7 ," $60,430 "," 75,968"," 3,573 "
8,Bainbridge Island,," $627,017 ",37.7 years, 27.6 ,47.6 years, 112.9 ," $109,481 "," 23,293 (89% urban, 11% rural). ", 844 
9,Bangor Base,," $288,800
",37.7 years,,22.3 years, 109.8 ," $69,171"," 6,054.",
10,Bangor Trident Base,," $511,367 ",35.3 years, 11.0 ,24.8 years, 141.9 ," $47,619 "," 7,431.", 673 
11,"Battle Ground, WA", 295 feet," $263,237 ",37.7 years, 3.64 ,33.0 years, 102.7 ," $66,607 "," 18,930 (99% urban, 1% rural). "," 5,198 "
12,Belfair,," $284,903 ",35.3 years, 44.9 ,42.5 years, 94.4 ," $64,559 "," 6,221.", 138 
13,"Bellevue, WA", 100 feet," $756,800 ",37.7 years, 30.7 ,39.1 years, 120.2 ," $113,877 "," 141,415"," 4,599 "
14,"Bellingham, WA", 100 feet," $352,700 ",37.7 years, 25.6 ,28.9 years, 101.1 ," $47,652 "," 87,577"," 3,415 "
15,Birch Bay, 10 feet," $263,096 ",37.7 years, 15.8 ,50.8 years, 98.2 ," $56,358 "," 8,413. ", 532 
16,Boistfort,," $201,850 ",35.3 years, 273.3 ,38.5 years, 93.0 ," $48,121 "," 6,742.", 25 
17,Bonney Lake, 605 feet," $308,697 ",37.7 years, 5.44 ,34.1 years, 111.6 ," $90,124 "," 18,809 (100% urban, 0% rural). "," 3,458 "
18,Bothell East,," $362,100
",37.7 years,,34.7 years, 112.9 ," $78,716"," 8,018.",
19,Bothell West,," $362,100
",37.7 years,,35.9 years, 112.9 ," $78,716"," 16,607.",
20,Bothell, 90 feet," $449,454 ",37.7 years, 12.1 ,37.4 years, 115.9 ," $94,144 "," 36,567 (100% urban, 0% rural). "," 3,034 "
21,"Bow, WA", 12 feet," $317,912 ",35.3 years, 73.9 ,40.8 years, 95.1 ," $76,411 "," 6,099.", 83 
22,Bremerton, 100 feet," $196,569 ",37.7 years, 22.7 ,31.3 years, 109.0 ," $50,384 "," 38,572 (99% urban, 1% rural). "," 1,702 "
23,Brier, 440 feet," $434,801 ",37.7 years, 2.13 ,47.8 years, 115.1 ," $113,373 "," 6,434 (100% urban, 0% rural). "," 3,021 "
24,Bryn Mawr-Skyway,," $355,632 ",37.7 years, 3.17 ,39.5 years, 115.9 ," $69,817 "," 15,645. "," 4,934 "
25,Burien, 250 feet," $350,326 ",37.7 years, 7.44 ,37.4 years, 115.8 ," $59,596 "," 50,188 (100% urban, 0% rural). "," 6,749 "
26,"Burlington, WA", 30 feet," $205,433 ",37.7 years, 4.20 ,35.6 years, 98.8 ," $51,330 "," 8,568 (100% urban, 0% rural). "," 2,041 "
27,Camano, 47 feet," $343,929 ",37.7 years, 39.8 ,53.8 years, 112.5 ," $78,437 "," 15,021.", 378 
28,"Camas, WA",," $402,882 ",37.7 years, 10.9 ,39.5 years, 103.0 ," $103,628 "," 21,220 (99% urban, 1% rural). "," 1,946 "
29,Cascade-Fairwood,," $400,592 ",35.3 years, 8.87 ,35.4 years, 124.4 ," $93,932 "," 36,930."," 4,163 "
30,Central Whidbey,," $333,888 ",35.3 years, 52.6 ,46.0 years, 109.7 ," $67,976 "," 12,168.", 231 
31,"Centralia, WA", 189 feet," $157,844 ",37.7 years, 7.41 ,36.5 years, 85.5 ," $41,000 "," 16,623 (98% urban, 2% rural). "," 2,245 "
32,Chehalis, 226 feet," $178,092 ",37.7 years, 5.61 ,34.1 years, 87.6 ," $35,024 "," 7,261 (99% urban, 1% rural). "," 1,295 "
33,"Cheney, WA", 2400 feet," $190,075 ",37.7 years, 4.09 ,23.0 years, 93.5 ," $32,533 "," 11,420 (100% urban, 0% rural). "," 2,794 "
34,Clarkston Heights-Vineland,," $244,506 ",37.7 years, 5.95 ,49.3 years, 89.4 ," $74,921 "," 6,326. "," 1,062 "
35,"Clarkston, WA", 820 feet," $145,065 ",37.7 years, 1.93 ,36.1 years, 88.7 ," $35,613 "," 7,359 (100% urban, 0% rural). "," 3,817 "
36,Clover Creek,," $271,300
",37.7 years,,43.5 years, 109.4 ," $64,434"," 6,522.",
37,"Colbert, WA", 1830 feet," $295,795 ",35.3 years, 151.5 ,37.8 years, 94.1 ," $73,704 "," 10,222.", 67 
38,College Place, 790 feet," $196,947 ",37.7 years, 2.42 ,33.8 years, 87.1 ," $43,508 "," 8,997 (100% urban, 0% rural). "," 3,720 "
39,Cottage Lake,," $753,592 ",37.7 years, 22.8 ,43.1 years, 117.0 ," $146,522 "," 22,494. ", 986 
40,"Covington, WA", 352 feet," $327,051 ",37.7 years, 5.77 ,35.4 years, 114.5 ," $97,027 "," 19,134 (100% urban, 0% rural). "," 3,318 "
41,"Des Moines, WA", 100 feet," $321,383 ",37.7 years, 6.34 ,41.1 years, 114.6 ," $65,498 "," 31,011 (100% urban, 0% rural). "," 4,892 "
42,"Discovery Bay, WA", 40 feet," $334,685 ",35.3 years, 70.6 ,46.8 years, 108.9 ," $54,546 "," 15,589.", 221 
43,Dishman, 1990 feet," $178,491 ",35.3 years, 3.38 ,36.6 years, 98.7 ," $46,224 "," 10,925."," 3,234 "
44,DuPont, 245 feet," $351,987 ",37.7 years, 5.69 ,31.4 years, 113.9 ," $80,676 "," 9,313 (100% urban, 0% rural). "," 1,636 "
