,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Allouez, 600 feet," $155,144 ",39.4 years, 4.63 ,40.9 years, 92.9 ," $70,558 "," 13,943 (100% urban, 0% rural). "," 3,015 "
1,"Altoona, WI", 890 feet," $153,262 ",39.4 years, 4.09 ,37.3 years, 91.8 ," $49,853 "," 7,155 (100% urban, 0% rural). "," 1,750 "
2,Antigo, 1500 feet," $80,274 ",39.4 years, 6.44 ,43.0 years, 78.0 ," $37,139 "," 7,921 (96% urban, 4% rural). "," 1,229 "
3,"Appleton, WI", 790 feet," $143,000 ",39.4 years, 20.9 ,34.4 years, 93.1 ," $52,057 "," 75,465"," 3,613 "
4,"Ashland, WI", 671 feet," $111,802 ",39.4 years, 13.4 ,39.7 years, 79.8 ," $39,445 "," 8,179 (89% urban, 11% rural). ", 610 
5,Ashwaubenon, 590 feet," $156,694 ",39.4 years, 12.4 ,41.8 years, 92.4 ," $56,675 "," 17,111 (99% urban, 1% rural). "," 1,383 "
6,Baraboo, 894 feet," $145,924 ",39.4 years, 5.28 ,39.4 years, 81.1 ," $44,016 "," 12,085 (99% urban, 1% rural). "," 2,291 "
7,"Beaver Dam, WI", 879 feet," $126,581 ",39.4 years, 5.22 ,39.5 years, 80.1 ," $47,813 "," 16,536 (100% urban, 0% rural). "," 3,166 "
8,Bellevue Town,," $189,992 ",36.0 years, 14.3 ,32.9 years, 96.8 ," $66,771 "," 12,651.", 887 
9,"Bellevue, WI", 759 feet," $183,671 ",39.4 years, 14.3 ,37.7 years, 93.3 ," $56,917 "," 15,215 (94% urban, 6% rural). "," 1,066 "
10,"Beloit, WI", 780 feet," $89,042 ",39.4 years, 16.4 ,35.4 years, 93.2 ," $37,602 "," 36,881 (100% urban, 0% rural). "," 2,244 "
11,"Bloomfield, WI",," $149,358 ",42.6 years, 32.6 ,36.5 years, 90.1 ," $53,209 "," 6,278. ", 193 
12,"Brookfield, WI", 828 feet," $308,157 ",39.4 years, 27.2 ,46.9 years, 101.6 ," $100,382 "," 37,982 (100% urban, 0% rural). "," 1,397 "
13,Brown Deer, 679 feet," $147,351 ",39.4 years, 4.40 ,43.8 years, 99.0 ," $61,500 "," 12,102 (100% urban, 0% rural). "," 2,753 "
14,"Buchanan, WI",," $228,991 ",42.6 years, 16.6 ,38.8 years, 100.0 ," $80,619 "," 6,755. ", 407 
15,"Burlington, WI", 800 feet," $175,806 ",39.4 years, 5.96 ,40.3 years, 97.9 ," $53,237 "," 10,541 (100% urban, 0% rural). "," 1,770 "
16,"Caledonia, WI", 730 feet," $197,266 ",39.4 years, 45.5 ,45.4 years, 97.4 ," $68,695 "," 24,708 (80% urban, 20% rural). ", 543 
17,Cedarburg, 790 feet," $280,512 ",39.4 years, 3.69 ,43.1 years, 99.4 ," $85,331 "," 11,506 (100% urban, 0% rural). "," 3,122 "
18,Chippewa Falls, 900 feet," $122,173 ",39.4 years, 10.9 ,39.5 years, 91.4 ," $40,829 "," 13,965 (97% urban, 3% rural). "," 1,287 "
19,"Cottage Grove, WI", 888 feet," $279,104 ",39.4 years, 2.29 ,34.3 years, 97.1 ," $95,512 "," 6,664 (98% urban, 2% rural). "," 2,915 "
20,"Cudahy, WI", 700 feet," $152,105 ",39.4 years, 4.75 ,42.3 years, 99.4 ," $49,406 "," 18,341 (100% urban, 0% rural). "," 3,862 "
21,De Pere, 610 feet," $173,025 ",39.4 years, 10.6 ,35.3 years, 92.9 ," $68,536 "," 24,555 (100% urban, 0% rural). "," 2,315 "
22,DeForest,," $224,563 ",39.4 years, 4.83 ,35.7 years, 96.7 ," $79,103 "," 9,466 (96% urban, 4% rural). "," 1,960 "
23,Delafield, 910 feet," $371,074 ",39.4 years, 9.52 ,43.5 years, 101.7 ," $84,437 "," 7,166 (92% urban, 8% rural). ", 753 
24,"Delavan, WI", 940 feet," $145,200 ",39.4 years, 6.41 ,36.0 years, 81.6 ," $46,872 "," 8,443 (97% urban, 3% rural). "," 1,318 "
25,"Eau Claire, WI", 850 feet," $147,700 ",39.4 years, 30.3 ,31.1 years, 92.3 ," $44,013 "," 67,776"," 2,238 "
26,"Elkhorn, WI", 1033 feet," $164,925 ",39.4 years, 7.27 ,37.9 years, 82.5 ," $51,406 "," 9,975 (99% urban, 1% rural). "," 1,373 "
27,"Elm Grove, WI", 746 feet," $380,506 ",39.4 years, 3.26 ,46.8 years, 99.5 ," $125,024 "," 6,176 (100% urban, 0% rural). "," 1,896 "
28,"Fitchburg, WI", 1020 feet," $299,490 ",39.4 years, 34.8 ,34.5 years, 97.8 ," $71,847 "," 27,154 (90% urban, 10% rural). ", 780 
29,Fond du Lac, 760 feet," $130,237 ",39.4 years, 16.9 ,38.0 years, 91.9 ," $48,694 "," 42,917 (99% urban, 1% rural). "," 2,544 "
30,"Fort Atkinson, WI", 790 feet," $152,277 ",39.4 years, 5.39 ,38.8 years, 81.8 ," $47,751 "," 12,430 (100% urban, 0% rural). "," 2,305 "
31,Fox Point, 672 feet," $312,502 ",39.4 years, 2.92 ,46.2 years, 100.6 ," $119,750 "," 6,740 (100% urban, 0% rural). "," 2,306 "
32,"Franklin, WI", 790 feet," $227,348 ",39.4 years, 34.6 ,42.3 years, 99.7 ," $77,401 "," 36,278 (95% urban, 5% rural). "," 1,048 "
33,"Genesee, WI", 896 feet," $336,162 ",42.6 years, 31.9 ,46.3 years, 98.8 ," $102,597 "," 7,340. ", 230 
34,"Germantown, WI",," $243,372 ",39.4 years, 34.4 ,43.1 years, 99.8 ," $81,490 "," 19,901 (88% urban, 12% rural). ", 578 
35,"Glendale, WI", 660 feet," $209,548 ",39.4 years, 5.79 ,46.4 years, 100.4 ," $68,492 "," 12,887 (100% urban, 0% rural). "," 2,225 "
36,"Grafton, WI", 780 feet," $218,478 ",39.4 years, 4.04 ,41.8 years, 99.7 ," $71,519 "," 11,531 (99% urban, 1% rural). "," 2,854 "
37,Grand Chute,," $198,377 ",42.6 years, 24.9 ,38.8 years, 98.7 ," $62,577 "," 20,919. ", 841 
38,"Grand Rapids, WI",," $178,109 ",42.6 years, 20.8 ,44.8 years, 87.3 ," $77,983 "," 7,646. ", 368 
39,"Green Bay, WI", 594 feet," $129,500 ",39.4 years, 43.9 ,34.2 years, 92.6 ," $46,020 "," 105,142"," 2,397 "
40,"Greendale, WI", 760 feet," $202,570 ",39.4 years, 5.60 ,45.1 years, 99.3 ," $67,670 "," 14,332 (100% urban, 0% rural). "," 2,559 "
