,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
0,Beckley, 2416 feet," $128,415 ",42.3 years, 9.20 ,40.1 years, 84.3 ," $41,171 "," 17,238 (100% urban, 0% rural). "," 1,873 "
1,"Bluefield, WV", 2611 feet," $84,638 ",42.3 years, 8.73 ,42.2 years, 80.6 ," $38,677 "," 10,448 (97% urban, 3% rural). "," 1,196 "
2,"Bridgeport, WV", 987 feet," $219,113 ",42.3 years, 8.30 ,44.1 years, 87.1 ," $84,695 "," 8,358 (98% urban, 2% rural). "," 1,007 "
3,"Charleston, WV", 606 feet," $167,000 ",42.3 years, 31.6 ,42.1 years, 87.0 ," $45,187 "," 50,404 (98% urban, 2% rural). "," 1,595 "
4,Cheat Lake, 960 feet," $288,015 ",42.3 years, 14.4 ,38.6 years, 88.6 ," $100,842 "," 7,988. ", 553 
5,"Clarksburg, WV", 1011 feet," $89,187 ",42.3 years, 9.52 ,38.7 years, 82.3 ," $39,146 "," 16,242 (100% urban, 0% rural). "," 1,706 "
6,Cross Lanes, 700 feet," $159,778 ",42.3 years, 6.49 ,35.4 years, 86.5 ," $57,048 "," 9,995. "," 1,539 "
7,"Dunbar, WV", 603 feet," $101,444 ",42.3 years, 2.84 ,43.3 years, 86.3 ," $40,850 "," 7,749 (100% urban, 0% rural). "," 2,732 "
8,"Elkins, WV", 1930 feet," $114,716 ",42.3 years, 3.19 ,37.1 years, 82.6 ," $40,003 "," 7,286 (100% urban, 0% rural). "," 2,287 "
9,"Fairmont, WV", 991 feet," $113,728 ",42.3 years, 7.83 ,35.1 years, 84.7 ," $39,236 "," 18,740 (100% urban, 0% rural). "," 2,393 "
10,"Huntington, WV", 569 feet," $102,502 ",42.3 years, 15.9 ,34.3 years, 84.2 ," $30,674 "," 48,807 (100% urban, 0% rural). "," 3,067 "
11,"Hurricane, WV", 700 feet," $164,116 ",42.3 years, 2.96 ,39.4 years, 86.9 ," $51,346 "," 6,396 (98% urban, 2% rural). "," 2,162 "
12,Kabletown district,," $275,277 ",38.9 years, 71.4 ,36.7 years, 140.3 ," $85,673 "," 12,110.", 170 
13,"Martinsburg, WV", 457 feet," $151,461 ",42.3 years, 5.03 ,34.0 years, 105.9 ," $37,111 "," 17,743 (100% urban, 0% rural). "," 3,528 "
14,Middletown district,," $117,571 ",38.9 years, 21.0 ,38.9 years, 91.7 ," $42,153 "," 18,006.", 859 
15,"Morgantown, WV", 947 feet," $200,041 ",42.3 years, 9.80 ,24.6 years, 89.3 ," $38,439 "," 31,073 (100% urban, 0% rural). "," 3,171 "
16,Moundsville, 692 feet," $89,468 ",42.3 years, 2.94 ,46.4 years, 90.7 ," $32,512 "," 8,891 (99% urban, 1% rural). "," 3,023 "
17,Nitro, 590 feet," $107,111 ",42.3 years, 3.75 ,46.4 years, 86.0 ," $46,630 "," 6,837 (98% urban, 2% rural). "," 1,825 "
18,"Oak Hill, WV",," $97,811 ",42.3 years, 4.83 ,41.8 years, 82.2 ," $38,956 "," 8,175 (96% urban, 4% rural). "," 1,692 "
19,"Parkersburg, WV", 649 feet," $95,886 ",42.3 years, 11.8 ,42.5 years, 91.6 ," $37,973 "," 30,981 (100% urban, 0% rural). "," 2,621 "
20,"Pea Ridge, WV", 690 feet," $157,806 ",42.3 years, 2.31 ,41.2 years, 84.7 ," $50,870 "," 6,650. "," 2,880 "
21,"Princeton, WV", 2460 feet," $95,506 ",42.3 years, 3.00 ,40.6 years, 83.8 ," $35,710 "," 6,359 (100% urban, 0% rural). "," 2,121 "
22,Shepherdstown district,," $348,427 ",38.9 years, 50.1 ,36.8 years, 112.1 ," $83,476 "," 10,445.", 208 
23,"South Charleston, WV", 604 feet," $124,333 ",42.3 years, 7.43 ,43.8 years, 85.8 ," $45,460 "," 13,214 (100% urban, 0% rural). "," 1,779 "
24,"St. Albans, WV", 590 feet," $120,222 ",42.3 years, 3.62 ,47.1 years, 86.0 ," $45,007 "," 10,835 (100% urban, 0% rural). "," 2,994 "
25,Teays Valley, 670 feet," $235,800 ",42.3 years, 7.34 ,40.3 years, 87.5 ," $75,129 "," 13,175. "," 1,794 "
26,"Vienna, WV", 653 feet," $136,423 ",42.3 years, 3.75 ,43.7 years, 91.8 ," $51,935 "," 10,562 (100% urban, 0% rural). "," 2,816 "
27,Weirton, 800 feet," $95,945 ",42.3 years, 17.9 ,47.5 years, 91.7 ," $40,011 "," 19,362 (97% urban, 3% rural). "," 1,084 "
28,"Wheeling, WV", 672 feet," $109,008 ",42.3 years, 13.9 ,45.9 years, 91.0 ," $38,744 "," 27,790 (100% urban, 0% rural). "," 1,998 "
